,Year,Week,H/A,Opp,Result,Score,QB Rat,Cmp,Pa-Att,Pa-Pct,Pa-Yds,Pa-Y/A,Pa-TD,Int,Sacks,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2013,1,Away,SF,L,28-34,102.6,21,37,56.8,333,9,3,1,2,2,13,6.5,7,0,0,0
1,2013,2,Home,WAS,W,20-38,146,34,42,81,480,11.4,4,0,4,3,-3,-1,-1,0,0,0
2,2013,3,Away,CIN,L,30-34,64.5,26,43,60.5,244,5.7,1,2,4,3,24,8,18,0,0,0
3,2013,5,Home,DET,W,9-22,106.8,20,30,66.7,274,9.1,1,0,1,5,8,1.6,6,0,1,0
4,2013,6,Away,BAL,W,19-17,84.8,17,32,53.1,315,9.8,1,1,3,5,21,4.2,12,0,2,0
5,2013,7,Home,CLE,W,13-31,117.8,25,36,69.4,260,7.2,3,0,1,4,12,3,5,0,0,0
6,2013,8,Away,MIN,W,44-31,130.6,24,29,82.8,285,9.8,2,0,2,6,31,5.2,14,0,0,0
7,2013,9,Home,CHI,L,27-20,95.8,1,2,50,27,13.5,0,0,1,1,9,9,9,0,0,0
8,2013,10,Home,PHI,L,27-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2013,11,Away,NYG,L,13-27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2013,12,Home,MIN,T,26-26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2013,13,Away,DET,L,10-40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2013,14,Home,ATL,W,21-22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2013,15,Away,DAL,W,37-36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2013,16,Home,PIT,L,38-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2013,17,Away,CHI,W,33-28,85.2,25,39,64.1,318,8.2,2,2,3,1,5,5,5,0,1,0
0,2014,1,Away,SEA,L,16-36,81.5,23,33,69.7,189,5.7,1,1,3,0,0,0,0,0,1,0
1,2014,2,Home,NYJ,W,24-31,109.8,25,42,59.5,346,8.2,3,0,4,6,28,4.7,11,0,2,1
2,2014,3,Away,DET,L,7-19,88.8,16,27,59.3,162,6,1,0,2,0,0,0,0,0,0,0
3,2014,4,Away,CHI,W,38-17,151.2,22,28,78.6,302,10.8,4,0,1,1,8,8,8,0,0,0
4,2014,5,Home,MIN,W,10-42,138.7,12,17,70.6,156,9.2,3,0,2,0,0,0,0,0,0,0
5,2014,6,Away,MIA,W,27-24,99.7,24,42,57.1,264,6.3,3,0,3,7,34,4.9,9,0,1,0
6,2014,7,Home,CAR,W,17-38,154.5,19,22,86.4,255,11.6,3,0,2,3,21,7,16,0,0,0
7,2014,8,Away,NO,L,23-44,93.8,28,39,71.8,418,10.7,1,2,3,2,21,10.5,14,1,0,0
8,2014,10,Home,CHI,W,14-55,145.8,18,27,66.7,315,11.7,6,0,0,0,0,0,0,0,0,0
9,2014,11,Home,PHI,W,20-53,120.3,22,36,61.1,341,9.5,3,0,1,3,32,10.7,16,0,2,0
10,2014,12,Away,MIN,W,24-21,109.7,19,29,65.5,209,7.2,2,0,1,6,34,5.7,18,0,0,0
11,2014,13,Home,NE,W,21-26,112.6,24,38,63.2,368,9.7,2,0,3,5,22,4.4,17,0,1,0
12,2014,14,Home,ATL,W,37-43,123.3,24,36,66.7,327,9.1,3,0,1,5,28,5.6,12,0,1,0
13,2014,15,Away,BUF,L,13-21,34.3,17,42,40.5,185,4.4,0,2,1,3,27,9,19,0,1,0
14,2014,16,Away,TB,W,20-3,108.1,31,40,77.5,318,8,1,0,1,0,0,0,0,0,1,1
15,2014,17,Home,DET,W,20-30,139.6,17,22,77.3,226,10.3,2,0,0,2,14,7,13,1,0,0
0,2015,1,Away,CHI,W,31-23,140.5,18,23,78.3,189,8.2,3,0,0,8,35,4.4,15,0,0,0
1,2015,2,Home,SEA,W,17-27,116.9,25,33,75.8,249,7.5,2,0,2,6,23,3.8,9,0,0,0
2,2015,3,Home,KC,W,28-38,138.5,24,35,68.6,333,9.5,5,0,1,2,16,8,11,0,0,0
3,2015,4,Away,SF,W,17-3,99,22,32,68.8,224,7,1,0,3,3,33,11,17,0,0,0
4,2015,5,Home,STL,W,10-24,82.8,19,30,63.3,241,8,2,2,2,8,39,4.9,18,0,1,1
5,2015,6,Home,SD,W,20-27,107.7,16,29,55.2,255,8.8,2,0,3,2,14,7,15,0,0,0
6,2015,8,Away,DEN,L,10-29,69.7,14,22,63.6,77,3.5,0,0,3,2,31,15.5,17,0,1,0
7,2015,9,Away,CAR,L,29-37,96.6,25,48,52.1,369,7.7,4,1,5,4,22,5.5,8,0,1,0
8,2015,10,Home,DET,L,18-16,83.6,35,61,57.4,333,5.5,2,0,3,2,8,4,9,0,0,0
9,2015,11,Away,MIN,W,30-13,86.9,16,34,47.1,212,6.2,2,0,2,3,6,2,8,0,0,0
10,2015,12,Home,CHI,L,17-13,62.4,22,43,51.2,202,4.7,1,1,2,4,33,8.3,18,0,0,0
11,2015,13,Away,DET,W,27-23,96.2,24,36,66.7,273,7.6,2,1,3,4,27,6.8,17,1,1,0
12,2015,14,Home,DAL,W,7-28,99.5,22,35,62.9,218,6.2,2,0,2,3,27,9,16,0,0,0
13,2015,15,Away,OAK,W,30-20,68.8,22,39,56.4,204,5.2,1,1,2,1,-1,-1,-1,0,0,0
14,2015,16,Away,ARI,L,8-38,66.2,15,28,53.6,151,5.4,1,1,8,3,19,6.3,10,0,3,2
15,2015,17,Home,MIN,L,20-13,80.8,28,44,63.6,291,6.6,1,1,5,3,12,4,11,0,1,1
0,2016,1,Away,JAC,W,27-23,95.1,20,34,58.8,199,5.9,2,0,1,4,16,4,8,1,0,0
1,2016,2,Away,MIN,L,14-17,70.7,20,36,55.6,213,5.9,1,1,5,3,29,9.7,10,1,3,1
2,2016,3,Home,DET,W,27-34,129.3,15,24,62.5,205,8.5,4,0,2,5,22,4.4,14,0,0,0
3,2016,5,Home,NYG,W,16-23,65,23,45,51.1,259,5.8,2,2,0,5,15,3,11,0,0,0
4,2016,6,Home,DAL,L,30-16,90.8,31,42,73.8,294,7,1,1,1,3,7,2.3,9,0,2,1
5,2016,7,Home,CHI,W,10-26,102.2,39,56,69.6,326,5.8,3,0,2,2,7,3.5,8,0,1,1
6,2016,8,Away,ATL,L,32-33,125.5,28,38,73.7,246,6.5,4,0,3,6,60,10,23,0,0,0
7,2016,9,Home,IND,L,31-26,94.8,26,43,60.5,297,6.9,3,1,3,6,43,7.2,21,0,0,0
8,2016,10,Away,TEN,L,25-47,79.8,31,51,60.8,371,7.3,2,2,5,3,27,9,20,1,0,0
9,2016,11,Away,WAS,L,24-42,115,26,41,63.4,351,8.6,3,0,2,3,33,11,17,0,1,0
10,2016,12,Away,PHI,W,27-13,116.7,30,39,76.9,313,8,2,0,0,6,26,4.3,16,0,0,0
11,2016,13,Home,HOU,W,13-21,108.9,20,30,66.7,209,7,2,0,1,3,16,5.3,11,0,1,1
12,2016,14,Home,SEA,W,10-38,150.8,18,23,78.3,246,10.7,3,0,1,3,-6,-2,-1,0,0,0
13,2016,15,Away,CHI,W,30-27,87,19,31,61.3,252,8.1,0,0,4,3,19,6.3,8,0,0,0
14,2016,16,Home,MIN,W,25-38,136.6,28,38,73.7,347,9.1,4,0,4,2,13,6.5,7,1,0,0
15,2016,17,Away,DET,W,31-24,126,27,39,69.2,300,7.7,4,0,1,10,42,4.2,13,0,0,0
0,2017,1,Home,SEA,W,9-17,86.5,28,42,66.7,311,7.4,1,1,4,7,21,3,13,0,0,0
1,2017,2,Away,ATL,L,23-34,90.7,33,50,66,343,6.9,2,1,3,2,8,4,9,0,1,1
2,2017,3,Home,CIN,W,24-27,102.6,28,42,66.7,313,7.5,3,1,6,4,23,5.8,13,0,0,0
3,2017,4,Home,CHI,W,14-35,128,18,26,69.2,179,6.9,4,0,2,1,-1,-1,-1,0,0,0
4,2017,5,Away,DAL,W,35-31,122.9,19,29,65.5,221,7.6,3,0,4,4,32,8,18,0,0,0
5,2017,6,Away,MIN,L,10-23,62.5,2,4,50,18,4.5,0,0,0,0,0,0,0,0,0,0
6,2017,7,Home,NO,L,26-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2017,9,Home,DET,L,30-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2017,10,Away,CHI,W,23-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2017,11,Home,BAL,L,23-0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2017,12,Away,PIT,L,28-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2017,13,Home,TB,W,20-26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2017,14,Away,CLE,W,27-21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2017,15,Away,CAR,L,24-31,71.5,26,45,57.8,290,6.4,3,3,3,6,43,7.2,12,0,0,0
14,2017,16,Home,MIN,L,16-0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2017,17,Away,DET,L,11-35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2018,1,Home,CHI,W,23-24,130.7,20,30,66.7,286,9.5,3,0,2,1,15,15,15,0,1,0
1,2018,2,Home,MIN,T,29-29,97.4,30,42,71.4,281,6.7,1,0,4,3,8,2.7,7,0,1,0
2,2018,3,Away,WAS,L,17-31,93.5,27,44,61.4,265,6,2,0,4,2,13,6.5,10,0,0,0
3,2018,4,Home,BUF,W,0-22,76.9,22,40,55,298,7.5,1,1,2,5,31,6.2,15,0,1,1
4,2018,5,Away,DET,L,23-31,108,32,52,61.5,442,8.5,3,0,4,3,10,3.3,6,0,2,2
5,2018,6,Home,SF,W,30-33,100.4,25,46,54.3,425,9.2,2,0,3,3,34,11.3,21,0,0,0
6,2018,8,Away,LAR,L,27-29,102.9,18,30,60,286,9.5,1,0,3,1,5,5,5,0,0,0
7,2018,9,Away,NE,L,17-31,89.2,24,43,55.8,259,6,2,0,1,4,8,2,6,0,1,0
8,2018,10,Home,MIA,W,12-31,112.1,19,28,67.9,199,7.1,2,0,2,6,21,3.5,9,0,0,0
9,2018,11,Away,SEA,L,24-27,128.8,21,30,70,332,11.1,2,0,5,1,3,3,3,0,0,0
10,2018,12,Away,MIN,L,17-24,94,17,28,60.7,198,7.1,1,0,4,0,0,0,0,0,0,0
11,2018,13,Home,ARI,L,20-17,79.8,31,50,62,233,4.7,1,0,1,3,20,6.7,11,0,0,0
12,2018,14,Home,ATL,W,20-34,103.1,21,32,65.6,196,6.1,2,0,4,3,44,14.7,21,0,0,0
13,2018,15,Away,CHI,L,17-24,68.9,25,42,59.5,274,6.5,0,1,5,3,25,8.3,10,0,0,0
14,2018,16,Away,NYJ,W,44-38,103.8,37,55,67.3,442,8,2,0,4,5,32,6.4,23,2,0,0
15,2018,17,Home,DET,L,31-0,73.8,3,5,60,26,5.2,0,0,1,0,0,0,0,0,0,0
0,2019,1,Away,CHI,W,10-3,91.4,18,30,60,203,6.8,1,0,5,3,8,2.7,10,0,0,0
1,2019,2,Home,MIN,W,16-21,101.2,22,34,64.7,209,6.1,2,0,2,1,0,0,0,0,1,1
2,2019,3,Home,DEN,W,16-27,96.2,17,29,58.6,235,8.1,1,0,0,1,-1,-1,-1,0,0,0
3,2019,4,Home,PHI,L,34-27,93.4,34,53,64.2,422,8,2,1,1,5,46,9.2,14,0,1,1
4,2019,5,Away,DAL,W,34-24,85.2,22,34,64.7,238,7,0,0,2,4,-1,-0.2,3,0,0,0
5,2019,6,Home,DET,W,22-23,90,24,39,61.5,283,7.3,2,1,1,3,10,3.3,12,0,0,0
6,2019,7,Home,OAK,W,24-42,158.3,25,31,80.6,429,13.8,5,0,1,2,6,3,3,1,0,0
7,2019,8,Away,KC,W,31-24,129,23,33,69.7,305,9.2,3,0,5,6,29,4.8,15,0,0,0
8,2019,9,Away,LAC,L,11-26,85.5,23,35,65.7,161,4.6,1,0,3,1,5,5,5,0,0,0
9,2019,10,Home,CAR,W,16-24,84.4,17,29,58.6,233,8,0,0,2,1,7,7,7,0,0,0
10,2019,12,Away,SF,L,8-37,75.8,20,33,60.6,104,3.2,1,0,5,3,13,4.3,5,0,1,1
11,2019,13,Away,NYG,W,31-13,125.4,21,33,63.6,243,7.4,4,0,0,3,24,8,15,0,0,0
12,2019,14,Home,WAS,W,15-20,96.6,18,28,64.3,195,7,1,0,4,5,16,3.2,13,0,1,1
13,2019,15,Home,CHI,W,13-21,78.2,16,33,48.5,203,6.2,1,0,1,3,23,7.7,17,0,0,0
14,2019,16,Away,MIN,W,23-10,68.3,26,40,65,216,5.4,0,1,3,3,-3,-1,-1,0,0,0
15,2019,17,Away,DET,W,23-20,72,27,55,49.1,323,5.9,2,1,1,2,1,0.5,2,0,0,0
