,Year,Week,H/A,Opp,Result,Score,QB Rat,Cmp,Pa-Att,Pa-Pct,Pa-Yds,Pa-Y/A,Pa-TD,Int,Sacks,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2013,1,Home,TEN,L,16-9,76.7,21,33,63.6,191,5.8,1,1,5,1,0,0,0,0,1,1
1,2013,2,Away,CIN,L,10-20,73.1,20,37,54.1,251,6.8,1,1,2,1,6,6,6,0,0,0
2,2013,3,Home,CHI,L,40-23,92.1,26,41,63.4,406,9.9,2,2,3,2,7,3.5,5,0,3,2
3,2013,4,Away,MIN,L,27-34,90.6,36,51,70.6,383,7.5,1,1,5,0,0,0,0,0,1,1
4,2013,6,Away,NYJ,W,19-6,113.8,23,30,76.7,264,8.8,1,0,3,2,11,5.5,10,0,0,0
5,2013,7,Home,BAL,W,16-19,107.2,17,23,73.9,160,7,1,0,3,3,25,8.3,19,0,0,0
6,2013,8,Away,OAK,L,18-21,70.1,29,45,64.4,275,6.1,1,2,5,1,1,1,1,0,0,0
7,2013,9,Away,NE,L,31-55,95.8,28,48,58.3,400,8.3,4,2,5,2,-1,-0.5,0,0,1,1
8,2013,10,Home,BUF,W,10-23,77.6,18,30,60,204,6.8,1,1,4,0,0,0,0,0,1,0
9,2013,11,Home,DET,W,27-37,119.4,29,45,64.4,367,8.2,4,0,1,6,12,2,10,0,0,0
10,2013,12,Away,CLE,W,27-11,102.2,22,34,64.7,217,6.4,2,0,0,2,-3,-1.5,-1,0,0,0
11,2013,13,Away,BAL,L,20-22,94.6,28,44,63.6,257,5.8,2,0,0,1,11,11,11,0,0,0
12,2013,14,Home,MIA,L,34-28,114.2,23,39,59,349,8.9,3,0,3,1,8,8,8,0,1,1
13,2013,15,Home,CIN,W,20-30,95.2,20,25,80,191,7.6,1,1,1,0,0,0,0,0,0,0
14,2013,16,Away,GB,W,38-31,83.5,16,28,57.1,167,6,2,1,1,1,13,13,13,1,0,0
15,2013,17,Home,CLE,W,7-20,61.1,19,31,61.3,179,5.8,1,2,1,4,9,2.3,9,0,1,0
0,2014,1,Home,CLE,W,27-30,100.7,23,34,67.6,365,10.7,1,1,3,3,8,2.7,7,0,1,0
1,2014,2,Away,BAL,L,6-26,64.8,22,37,59.5,217,5.9,0,1,2,0,0,0,0,0,0,0
2,2014,3,Away,CAR,W,37-19,112.6,22,30,73.3,196,6.5,2,0,1,1,1,1,1,0,0,0
3,2014,4,Home,TB,L,27-24,120.2,29,40,72.5,314,7.9,3,0,5,2,4,2,2,0,2,1
4,2014,5,Away,JAC,W,17-9,103.1,26,36,72.2,273,7.6,1,0,4,3,-2,-0.7,0,0,1,1
5,2014,6,Away,CLE,L,10-31,64.4,21,42,50,228,5.4,1,1,2,1,7,7,7,0,0,0
6,2014,7,Home,HOU,W,23-30,113.8,23,33,69.7,265,8,2,0,3,4,3,0.8,5,0,1,1
7,2014,8,Home,IND,W,34-51,150.6,40,49,81.6,522,10.7,6,0,0,1,-1,-1,-1,0,0,0
8,2014,9,Home,BAL,W,23-43,136.3,25,37,67.6,340,9.2,6,0,3,2,1,0.5,1,0,1,1
9,2014,10,Away,NYJ,L,13-20,81.8,30,43,69.8,343,8,1,2,2,1,0,0,0,0,1,0
10,2014,11,Away,TEN,W,27-24,81.1,21,32,65.6,207,6.5,1,1,5,3,2,0.7,4,0,0,0
11,2014,13,Home,NO,L,35-32,76.4,32,58,55.2,435,7.5,2,2,1,1,8,8,8,0,0,0
12,2014,14,Away,CIN,W,42-21,118.5,25,39,64.1,350,9,3,0,0,1,-1,-1,-1,0,0,0
13,2014,15,Away,ATL,W,27-20,109.2,27,35,77.1,360,10.3,0,0,1,2,-2,-1,-1,0,0,0
14,2014,16,Home,KC,W,12-20,112.1,18,25,72,220,8.8,1,0,1,4,-4,-1,-1,0,0,0
15,2014,17,Home,CIN,W,17-27,96.1,24,38,63.2,317,8.3,2,1,0,4,3,0.8,4,0,2,1
0,2015,1,Away,NE,L,21-28,95.4,26,38,68.4,351,9.2,1,1,2,0,0,0,0,0,0,0
1,2015,2,Home,SF,W,18-43,155.8,21,27,77.8,369,13.7,3,0,0,1,-1,-1,-1,0,0,0
