,Year,Week,H/A,Opp,Result,Score,QB Rat,Cmp,Pa-Att,Pa-Pct,Pa-Yds,Pa-Y/A,Pa-TD,Int,Sacks,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2016,1,Away,JAC,W,27-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2016,2,Away,MIN,L,14-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2016,3,Away,GB,W,27-34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2016,5,Away,GB,W,16-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2016,6,Away,GB,L,30-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2016,7,Away,GB,W,10-26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2016,8,Away,ATL,L,32-33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2016,9,Away,GB,L,31-26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2016,10,Away,TEN,L,25-47,39.6,1,4,25,8,2,0,0,0,0,0,0,0,0,0,0
9,2016,11,Away,WAS,L,24-42,2.8,1,3,33.3,9,3,0,1,0,1,0,0,0,0,1,0
10,2016,12,Away,PHI,W,27-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2016,13,Away,GB,W,13-21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2016,14,Home,SEA,W,10-38,39.6,0,2,0,0,0,0,0,0,2,-2,-1,-1,0,0,0
13,2016,15,Away,CHI,W,30-27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2016,16,Home,MIN,W,25-38,39.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2016,17,Away,DET,W,31-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2017,1,Away,GB,W,9-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2017,2,Away,ATL,L,23-34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2017,3,Away,GB,W,24-27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2017,4,Home,CHI,W,14-35,79.2,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0
4,2017,5,Away,DAL,W,35-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2017,6,Away,MIN,L,10-23,39.6,18,33,54.5,157,4.8,1,3,4,1,3,3,3,0,1,0
6,2017,7,Home,NO,L,26-17,39.9,12,25,48,87,3.5,0,1,1,3,44,14.7,22,1,1,0
7,2017,9,Home,DET,L,30-17,86,26,38,68.4,245,6.4,0,0,3,4,22,5.5,12,1,0,0
8,2017,10,Away,CHI,W,23-16,110.8,18,25,72,212,8.5,1,0,3,2,16,8,17,0,0,0
9,2017,11,Home,BAL,L,23-0,43.6,21,36,58.3,239,6.6,0,3,6,3,19,6.3,12,0,1,1
10,2017,12,Away,PIT,L,28-31,134.3,17,26,65.4,245,9.4,3,0,4,1,6,6,6,0,0,0
11,2017,13,Home,TB,W,20-26,48.3,13,22,59.1,84,3.8,0,1,2,7,66,9.4,18,0,0,0
12,2017,14,Away,CLE,W,27-21,111.2,35,46,76.1,265,5.8,3,0,1,7,31,4.4,19,0,0,0
13,2017,15,Away,CAR,L,24-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2017,16,Home,MIN,L,16-0,30.2,17,40,42.5,130,3.3,0,2,1,5,48,9.6,24,0,0,0
15,2017,17,Away,DET,L,11-35,59.7,14,24,58.3,172,7.2,1,2,4,3,15,5,6,0,1,1
0,2019,1,Home,DET,T,27-27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2019,2,Away,BAL,L,17-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2019,3,Home,CAR,L,38-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2019,4,Home,SEA,L,27-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2019,5,Away,CIN,W,26-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2019,6,Home,ATL,W,33-34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2019,7,Away,NYG,W,27-21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2019,8,Away,NO,L,9-31,39.6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
8,2019,9,Home,SF,L,28-25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2019,10,Away,TB,L,27-30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2019,11,Away,SF,L,26-36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2019,13,Home,LAR,L,34-7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2019,14,Home,PIT,L,23-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2019,15,Home,CLE,W,24-38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2019,16,Away,SEA,W,27-13,61.8,4,9,44.4,49,5.4,0,0,1,6,35,5.8,14,0,0,0
15,2019,17,Away,LAR,L,24-31,79.2,1,1,100,0,0,0,0,0,1,6,6,6,0,0,0
