,Year,Week,H/A,Opp,Result,Score,QB Rat,Cmp,Pa-Att,Pa-Pct,Pa-Yds,Pa-Y/A,Pa-TD,Int,Sacks,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2013,1,Away,CLE,L,23-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2013,2,Away,BAL,L,6-14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2013,3,Away,MIN,W,31-27,68.5,30,54,55.6,321,5.9,3,3,3,1,-2,-2,-2,0,0,0
3,2013,4,Home,CIN,W,6-17,103.9,25,38,65.8,269,7.1,2,0,3,4,7,1.8,8,0,0,0
4,2013,5,Home,BUF,W,24-37,69.8,2,4,50,25,6.3,0,0,0,1,11,11,11,0,0,0
5,2013,6,Away,CLE,L,31-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2013,7,Away,GB,L,13-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2013,8,Away,KC,L,17-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2013,9,Away,CLE,W,18-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2013,11,Away,CIN,L,20-41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2013,12,Away,CLE,L,27-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2013,13,Away,CLE,L,32-28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2013,14,Home,CLE,L,26-27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2013,15,Away,CLE,L,38-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2013,16,Away,NYJ,L,13-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2013,17,Away,PIT,L,7-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2014,1,Away,PIT,L,27-30,94,18,30,60,222,7.4,1,0,3,1,-2,-2,-2,0,0,0
1,2014,2,Home,NO,W,24-26,81.7,24,40,60,204,5.1,1,0,1,0,0,0,0,0,0,0
2,2014,3,Home,BAL,L,23-21,127.1,19,25,76,290,11.6,1,0,0,3,-2,-0.7,3,0,0,0
3,2014,5,Away,TEN,W,29-28,97.9,21,37,56.8,291,7.9,3,1,1,1,2,2,2,0,0,0
4,2014,6,Home,PIT,W,10-31,113,8,17,47.1,217,12.8,1,0,1,1,0,0,0,0,1,0
5,2014,7,Away,JAC,L,6-24,46.3,16,41,39,215,5.2,0,1,3,1,-1,-1,-1,0,1,1
6,2014,8,Home,OAK,W,13-23,111.5,19,28,67.9,275,9.8,1,0,1,2,1,0.5,2,0,0,0
7,2014,9,Home,TB,W,17-22,85.4,21,34,61.8,300,8.8,2,2,4,2,5,2.5,3,0,0,0
8,2014,10,Away,CIN,W,24-3,92.3,15,23,65.2,198,8.6,0,0,0,4,1,0.3,3,0,0,0
9,2014,11,Home,HOU,L,23-7,61.2,20,50,40,330,6.6,1,1,3,2,1,0.5,2,0,1,0
10,2014,12,Away,ATL,W,26-24,52.3,23,40,57.5,322,8.1,0,3,1,3,12,4,9,0,1,0
11,2014,13,Away,BUF,L,10-26,51,18,30,60,192,6.4,0,2,2,0,0,0,0,0,0,0
12,2014,14,Home,IND,L,25-24,29.3,13,30,43.3,136,4.5,0,2,1,2,3,1.5,4,0,0,0
13,2014,15,Away,CLE,L,30-0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2014,16,Away,CAR,L,13-17,83.5,7,13,53.8,134,10.3,1,1,3,2,19,9.5,11,0,0,0
15,2014,17,Away,BAL,L,10-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2015,1,Home,KC,L,27-20,72.7,18,34,52.9,236,6.9,1,1,4,0,0,0,0,0,1,1
1,2015,2,Away,CAR,L,17-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2015,3,Away,HOU,W,9-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2015,4,Away,ATL,L,21-48,103.8,17,30,56.7,232,7.7,2,0,1,0,0,0,0,0,0,0
4,2015,5,Home,IND,L,27-20,116.6,24,31,77.4,312,10.1,2,1,0,1,14,14,14,0,0,0
5,2015,6,Away,JAC,W,31-20,119.3,24,36,66.7,293,8.1,3,0,1,5,5,1,6,0,0,0
6,2015,7,Away,MIA,L,26-44,76.3,23,49,46.9,273,5.6,3,1,4,0,0,0,0,0,2,0
7,2015,8,Home,TEN,W,6-20,103.9,23,35,65.7,235,6.7,2,0,3,1,-1,-1,-1,0,0,0
8,2015,10,Away,CIN,W,10-6,51.9,12,22,54.5,123,5.6,0,1,2,1,15,15,15,0,0,0
9,2015,11,Away,HOU,W,17-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2015,12,Home,NO,W,6-24,107.6,21,27,77.8,205,7.6,2,1,1,3,-3,-1,-1,0,0,0
11,2015,13,Away,BUF,L,21-30,94.4,26,43,60.5,293,6.8,3,1,2,3,15,5,14,0,0,0
12,2015,14,Home,NE,L,27-6,73.1,11,22,50,155,7,0,0,5,1,-1,-1,-1,0,2,1
13,2015,15,Away,IND,W,16-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2015,16,Away,TEN,W,34-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2015,17,Home,JAC,W,6-30,78,25,40,62.5,249,6.2,1,1,2,0,0,0,0,0,1,0
0,2016,1,Away,HOU,L,14-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2016,2,Home,PHI,L,29-14,91.7,9,12,75,78,6.5,0,0,0,0,0,0,0,0,0,0
2,2016,3,Away,DAL,L,17-31,93.7,30,49,61.2,317,6.5,2,0,1,2,2,1,3,0,2,1
3,2016,4,Home,DET,W,14-17,120.1,28,36,77.8,302,8.4,2,0,2,3,-3,-1,-1,0,0,0
4,2016,5,Away,IND,L,23-29,120,33,43,76.7,397,9.2,2,0,0,1,-1,-1,-1,0,0,0
5,2016,6,Home,JAC,L,17-16,78.8,30,49,61.2,302,6.2,0,0,1,1,0,0,0,0,1,0
6,2016,7,Away,GB,L,10-26,50.9,4,11,36.4,49,4.5,0,0,0,0,0,0,0,0,0,0
7,2016,8,Away,CHI,W,10-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2016,10,Away,TB,L,10-36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2016,11,Away,NYG,L,16-22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2016,12,Away,CHI,L,27-21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
