,Year,Week,H/A,Opp,Result,Score,QB Rat,Cmp,Pa-Att,Pa-Pct,Pa-Yds,Pa-Y/A,Pa-TD,Int,Sacks,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2017,1,Home,CAR,L,23-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2017,2,Away,SEA,L,9-12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2017,3,Home,LAR,L,41-39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2017,4,Away,ARI,L,15-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2017,5,Away,IND,L,23-26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2017,6,Away,WAS,L,24-26,72.1,19,36,52.8,245,6.8,1,1,2,1,14,14,14,0,0,0
6,2017,7,Home,DAL,L,40-10,76.1,22,38,57.9,235,6.2,0,0,5,5,30,6,16,1,2,2
7,2017,8,Away,PHI,L,10-33,46.9,17,36,47.2,167,4.6,1,2,4,6,40,6.7,9,0,0,0
8,2017,9,Home,ARI,L,20-10,57.1,24,51,47.1,294,5.8,0,1,5,3,16,5.3,10,1,0,0
9,2017,10,Home,NYG,W,21-31,123.4,19,25,76,288,11.5,2,1,0,5,15,3,11,1,0,0
10,2017,12,Home,SEA,L,24-13,61.4,22,38,57.9,201,5.3,0,1,3,6,21,3.5,7,0,1,0
11,2017,13,Away,CHI,W,15-14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2017,14,Away,HOU,W,26-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2017,15,Home,TEN,W,23-25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2017,16,Home,JAC,W,33-44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2017,17,Away,LAR,W,34-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2018,1,Away,MIN,L,16-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2018,2,Home,DET,W,27-30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2018,3,Away,KC,L,27-38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2018,4,Away,LAC,L,27-29,82.9,23,37,62.2,298,8.1,2,2,1,7,19,2.7,9,0,1,0
4,2018,5,Home,ARI,L,28-18,78.4,34,54,63,349,6.5,2,2,4,2,7,3.5,6,1,2,2
5,2018,6,Away,GB,L,30-33,115.3,16,23,69.6,245,10.7,2,1,2,3,21,7,11,0,0,0
6,2018,7,Home,LAR,L,39-10,56.1,15,27,55.6,170,6.3,1,2,7,2,13,6.5,13,0,2,1
7,2018,8,Away,ARI,L,15-18,83.9,14,28,50,190,6.8,1,0,4,5,9,1.8,4,0,0,0
8,2018,9,Home,OAK,W,3-34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2018,10,Home,NYG,L,27-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2018,12,Away,TB,L,9-27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2018,13,Away,SEA,L,16-43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2018,14,Home,DEN,W,14-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2018,15,Home,SEA,W,23-26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2018,16,Home,CHI,L,14-9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2018,17,Away,LAR,L,32-48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2019,1,Away,TB,W,31-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019,2,Away,CIN,W,41-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2019,3,Home,PIT,W,20-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2019,5,Home,CLE,W,3-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2019,6,Away,LAR,W,20-7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2019,7,Away,WAS,W,9-0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2019,8,Home,CAR,W,13-51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2019,9,Away,ARI,W,28-25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2019,10,Home,SEA,L,27-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2019,11,Home,ARI,W,26-36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2019,12,Home,GB,W,8-37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2019,13,Away,BAL,L,17-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2019,14,Away,NO,W,48-46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2019,15,Home,ATL,L,29-22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2019,16,Home,LAR,W,31-34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2019,17,Away,SEA,W,26-21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
