,Year,Week,H/A,Opp,Result,Score,QB Rat,Cmp,Pa-Att,Pa-Pct,Pa-Yds,Pa-Y/A,Pa-TD,Int,Sacks,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2013,1,Home,SEA,L,12-7,97.2,16,23,69.6,125,5.4,1,0,1,5,38,7.6,11,0,0,0
1,2013,2,Away,BUF,L,23-24,79.8,21,38,55.3,229,6,2,1,6,4,15,3.8,6,0,0,0
2,2013,3,Home,NYG,W,0-38,104.4,15,27,55.6,223,8.3,3,1,1,7,45,6.4,15,1,0,0
3,2013,5,Away,ARI,L,6-22,47.8,21,39,53.8,308,7.9,0,3,7,4,25,6.3,11,0,1,1
4,2013,6,Away,MIN,W,35-10,143.4,20,26,76.9,242,9.3,3,0,1,9,30,3.3,9,1,0,0
5,2013,7,Home,STL,W,15-30,136.3,15,17,88.2,204,12,1,0,2,10,26,2.6,13,0,1,0
6,2013,8,Away,TB,W,31-13,111.6,23,32,71.9,221,6.9,2,0,3,11,50,4.5,19,1,0,0
7,2013,9,Home,ATL,W,10-34,68.4,23,37,62.2,249,6.7,1,2,1,5,22,4.4,12,1,0,0
8,2013,10,Away,SF,W,10-9,52.7,16,32,50,169,5.3,0,1,3,8,15,1.9,6,0,1,0
9,2013,11,Home,NE,W,20-24,125.4,19,28,67.9,209,7.5,3,0,3,7,62,8.9,24,0,0,0
10,2013,12,Away,MIA,W,20-16,60.6,19,38,50,174,4.6,1,1,3,7,51,7.3,14,1,0,0
11,2013,13,Home,TB,W,6-27,85.8,18,29,62.1,263,9.1,2,2,0,5,68,13.6,56,1,0,0
12,2013,14,Away,NO,L,13-31,85.4,22,34,64.7,160,4.7,1,0,5,6,48,8,19,0,0,0
13,2013,15,Home,NYJ,W,20-30,118.9,16,24,66.7,273,11.4,1,0,2,7,12,1.7,7,0,0,0
14,2013,16,Home,NO,W,13-17,81.8,13,22,59.1,181,8.2,1,1,4,4,6,1.5,5,0,0,0
15,2013,17,Away,ATL,W,21-20,80.6,15,27,55.6,149,5.5,2,1,1,12,72,6,16,0,0,0
0,2014,1,Away,TB,W,20-14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2014,2,Home,DET,W,7-24,100.2,22,34,64.7,281,8.3,1,0,4,4,19,4.8,13,0,0,0
2,2014,3,Home,PIT,L,37-19,98.5,24,35,68.6,250,7.1,1,0,3,2,7,3.5,5,0,1,1
3,2014,4,Away,BAL,L,10-38,94.9,14,25,56,197,7.9,1,0,2,2,7,3.5,7,0,1,0
4,2014,5,Home,CHI,W,24-31,84.8,19,35,54.3,255,7.3,2,1,2,6,9,1.5,3,0,1,1
5,2014,6,Away,CIN,T,37-37,85.8,29,46,63,284,6.2,2,1,0,17,107,6.3,12,1,0,0
6,2014,7,Away,GB,L,17-38,72.6,17,31,54.8,205,6.6,1,1,3,7,41,5.9,10,0,0,0
7,2014,8,Home,SEA,L,13-9,61,12,22,54.5,171,7.8,0,1,3,12,24,2,8,0,1,1
8,2014,9,Home,NO,L,28-10,39.4,10,28,35.7,151,5.4,0,1,4,7,43,6.1,14,1,1,1
9,2014,10,Away,PHI,L,21-45,71.5,25,40,62.5,306,7.7,2,3,9,2,6,3,4,0,2,1
10,2014,11,Home,ATL,L,19-17,82.3,23,37,62.2,292,7.9,2,2,2,5,30,6,15,0,0,0
11,2014,13,Away,MIN,L,13-31,65.7,18,35,51.4,194,5.5,1,1,4,9,49,5.4,10,0,0,0
12,2014,14,Away,NO,W,41-10,114,21,33,63.6,226,6.8,3,0,0,12,83,6.9,22,1,1,0
13,2014,15,Away,CAR,W,17-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2014,16,Home,CLE,W,13-17,74.8,18,31,58.1,201,6.5,1,1,1,12,63,5.3,15,1,1,0
15,2014,17,Away,ATL,W,34-3,104.7,10,16,62.5,114,7.1,1,0,1,6,51,8.5,13,1,0,0
0,2015,1,Away,JAC,W,20-9,71.3,18,31,58.1,175,5.6,1,1,2,14,35,2.5,10,0,0,0
1,2015,2,Home,HOU,W,17-24,71.3,18,37,48.6,195,5.3,2,1,2,10,76,7.6,19,1,0,0
2,2015,3,Home,NO,W,22-27,119.7,20,31,64.5,315,10.2,2,0,1,7,33,4.7,13,1,0,0
3,2015,4,Away,TB,W,37-23,97.5,11,22,50,124,5.6,2,0,2,12,51,4.3,12,0,1,1
4,2015,6,Away,SEA,W,27-23,65.6,20,36,55.6,269,7.5,1,2,3,7,30,4.3,9,1,0,0
5,2015,7,Home,PHI,W,16-27,59.2,14,24,58.3,197,8.2,1,3,1,4,20,5,16,1,0,0
6,2015,8,Home,IND,W,26-29,76.8,16,35,45.7,248,7.1,2,1,2,10,41,4.1,11,0,1,1
7,2015,9,Home,GB,W,29-37,104.4,15,30,50,297,9.9,3,1,0,9,57,6.3,23,1,0,0
8,2015,10,Away,TEN,W,27-10,116.2,21,25,84,217,8.7,1,0,5,9,23,2.6,7,1,0,0
9,2015,11,Home,WAS,W,16-44,123.3,21,34,61.8,246,7.2,5,0,2,4,16,4,9,0,0,0
10,2015,12,Away,DAL,W,33-14,79.7,16,27,59.3,183,6.8,0,0,1,12,45,3.8,11,1,1,0
11,2015,13,Away,NO,W,41-38,122.1,28,41,68.3,331,8.1,5,1,1,10,49,4.9,30,0,0,0
12,2015,14,Home,ATL,W,0-38,153.3,15,21,71.4,265,12.6,3,0,2,3,4,1.3,3,0,0,0
13,2015,15,Away,NYG,W,38-35,116.9,25,45,55.6,340,7.6,5,0,3,8,100,12.5,47,0,1,1
14,2015,16,Away,ATL,L,13-20,69,17,30,56.7,142,4.7,0,0,2,7,46,6.6,18,1,1,1
15,2015,17,Home,TB,W,10-38,139.3,21,26,80.8,293,11.3,2,0,4,6,10,1.7,4,2,0,0
0,2016,1,Away,DEN,L,20-21,69.5,18,33,54.5,194,5.9,1,1,3,11,54,4.9,12,1,0,0
1,2016,2,Home,SF,W,27-46,111.8,24,40,60,353,8.8,4,1,1,6,37,6.2,16,0,1,1
2,2016,3,Home,MIN,L,22-10,47.6,21,35,60,262,7.5,0,3,8,7,26,3.7,11,1,0,0
3,2016,4,Away,ATL,L,33-48,89.6,14,25,56,165,6.6,1,0,1,5,30,6,21,0,0,0
4,2016,5,Away,CAR,L,17-14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2016,6,Away,NO,L,38-41,83.8,27,47,57.4,322,6.9,2,1,2,2,1,0.5,2,1,0,0
6,2016,8,Home,ARI,W,20-30,78,14,27,51.9,212,7.9,0,0,1,7,43,6.1,19,0,0,0
7,2016,9,Away,LAR,W,13-10,93.9,20,32,62.5,225,7,1,0,5,7,16,2.3,6,0,0,0
8,2016,10,Home,KC,L,20-17,78.9,23,38,60.5,261,6.9,1,1,2,12,54,4.5,28,1,0,0
9,2016,11,Home,NO,W,20-23,71.8,14,33,42.4,192,5.8,1,0,2,5,7,1.4,12,0,0,0
10,2016,12,Away,OAK,L,32-35,86.3,14,29,48.3,246,8.5,2,1,2,3,6,2,3,1,2,1
11,2016,13,Away,SEA,L,7-40,72.7,14,32,43.8,182,5.7,1,0,0,3,12,4,9,0,0,0
12,2016,14,Home,SD,W,16-28,54.6,10,27,37,160,5.9,1,1,2,8,31,3.9,8,0,0,0
13,2016,15,Away,WAS,W,26-15,101.2,21,37,56.8,300,8.1,2,0,2,3,0,0,1,0,0,0
14,2016,16,Home,ATL,L,33-16,44.5,18,43,41.9,198,4.6,1,2,2,8,36,4.5,9,0,0,0
15,2016,17,Away,TB,L,16-17,51.2,18,32,56.3,237,7.4,1,3,3,3,6,2,5,0,0,0
0,2017,1,Away,SF,W,23-3,87.2,14,25,56,171,6.8,2,1,0,6,3,0.5,5,0,1,0
1,2017,2,Home,BUF,W,3-9,83.9,20,32,62.5,228,7.1,0,0,6,5,27,5.4,15,0,0,0
2,2017,3,Home,NO,L,34-13,43.8,17,26,65.4,167,6.4,0,3,4,3,16,5.3,10,1,2,0
3,2017,4,Away,NE,W,33-30,130.8,22,29,75.9,316,10.9,3,1,2,8,44,5.5,13,1,0,0
4,2017,5,Away,DET,W,27-24,141.8,26,33,78.8,355,10.8,3,0,3,7,0,0,5,0,1,0
5,2017,6,Home,PHI,L,28-23,48.5,28,52,53.8,239,4.6,1,3,2,11,71,6.5,16,1,0,0
6,2017,7,Away,CHI,L,3-17,54.9,21,34,61.8,211,6.2,0,2,5,9,50,5.6,14,0,1,1
7,2017,8,Away,TB,W,17-3,66.4,18,32,56.3,154,4.8,1,1,0,11,44,4,20,0,0,0
8,2017,9,Home,ATL,W,17-20,71,13,24,54.2,137,5.7,0,0,1,9,86,9.6,34,1,0,0
9,2017,10,Home,MIA,W,21-45,120.4,21,35,60,254,7.3,4,0,0,5,95,19,69,0,0,0
10,2017,12,Away,NYJ,W,35-27,59.8,11,28,39.3,168,6,0,0,3,9,28,3.1,7,1,1,0
11,2017,13,Away,NO,L,21-31,107.5,17,27,63,183,6.8,2,0,2,6,51,8.5,32,0,0,0
12,2017,14,Home,MIN,W,24-31,64.9,13,25,52,137,5.5,1,1,2,11,70,6.4,62,0,0,0
13,2017,15,Home,GB,W,24-31,128,20,31,64.5,242,7.8,4,0,1,14,58,4.1,13,0,0,0
14,2017,16,Home,TB,W,19-22,65.4,16,25,64,160,6.4,0,1,2,14,52,3.7,17,1,1,0
15,2017,17,Away,ATL,L,10-22,31.5,14,34,41.2,180,5.3,1,3,2,11,59,5.4,17,0,2,0
0,2018,1,Home,DAL,W,8-16,82.4,17,26,65.4,161,6.2,0,0,3,13,58,4.5,29,1,0,0
1,2018,2,Away,ATL,L,24-31,105.3,32,45,71.1,335,7.4,3,1,2,5,42,8.4,16,0,0,0
2,2018,3,Home,CIN,W,21-31,108,15,24,62.5,150,6.3,2,0,1,10,36,3.6,12,2,1,0
3,2018,5,Home,NYG,W,31-33,75.5,21,35,60,237,6.8,2,2,1,8,29,3.6,9,0,1,0
4,2018,6,Away,WAS,L,17-23,93.2,27,40,67.5,275,6.9,2,1,1,9,43,4.8,15,0,1,0
5,2018,7,Away,PHI,W,21-17,101.3,25,39,64.1,269,6.9,2,0,2,7,49,7,14,0,0,0
6,2018,8,Home,BAL,W,21-36,116.9,21,29,72.4,219,7.6,2,0,0,10,52,5.2,12,1,1,0
7,2018,9,Home,TB,W,28-42,133.2,19,25,76,247,9.9,2,0,2,11,33,3,12,0,0,0
8,2018,10,Away,PIT,L,21-52,103,23,29,79.3,193,6.7,2,1,5,2,10,5,8,0,1,0
9,2018,11,Away,DET,L,19-20,114.4,25,37,67.6,357,9.6,3,1,3,2,2,1,2,0,0,0
10,2018,12,Home,SEA,L,30-27,110.6,25,30,83.3,256,8.5,2,1,0,8,63,7.9,26,0,1,0
11,2018,13,Away,TB,L,17-24,66.2,28,41,68.3,300,7.3,2,4,4,6,33,5.5,15,0,0,0
12,2018,14,Away,CLE,L,20-26,70,26,42,61.9,265,6.3,0,1,1,5,23,4.6,11,0,0,0
