,Year,Week,H/A,Opp,Result,Score,QB Rat,Cmp,Pa-Att,Pa-Pct,Pa-Yds,Pa-Y/A,Pa-TD,Int,Sacks,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2016,1,Home,CLE,W,10-29,101,22,37,59.5,278,7.5,2,0,2,2,1,0.5,1,0,2,0
1,2016,2,Away,CHI,W,29-14,86.6,21,34,61.8,190,5.6,1,0,2,6,10,1.7,7,0,0,0
2,2016,3,Home,PIT,W,3-34,125.9,23,31,74.2,301,9.7,2,0,0,1,10,10,10,0,1,0
3,2016,5,Away,DET,L,23-24,102.8,25,33,75.8,238,7.2,2,1,3,2,14,7,10,0,0,0
4,2016,6,Away,WAS,L,20-27,77.7,11,22,50,179,8.1,0,0,5,2,2,1,3,0,0,0
5,2016,7,Home,MIN,W,10-21,52.4,16,28,57.1,138,4.9,1,2,0,5,6,1.2,6,0,3,1
6,2016,8,Away,DAL,L,23-29,91.4,32,43,74.4,202,4.7,1,0,3,1,-3,-3,-3,0,2,0
7,2016,9,Away,NYG,L,23-28,64.5,27,47,57.4,364,7.7,0,2,2,4,-4,-1,3,0,0,0
8,2016,10,Home,ATL,W,15-24,86.7,25,36,69.4,231,6.4,0,0,2,4,10,2.5,13,0,1,1
9,2016,11,Away,SEA,L,15-26,61.2,23,45,51.1,218,4.8,2,2,2,1,2,2,2,0,1,0
10,2016,12,Home,GB,L,27-13,75.5,24,36,66.7,254,7.1,0,1,4,4,33,8.3,17,1,0,0
11,2016,13,Away,CIN,L,14-32,58.2,36,60,60,308,5.1,1,3,1,3,16,5.3,10,0,0,0
12,2016,14,Home,WAS,L,27-22,86.7,32,46,69.6,314,6.8,1,1,4,2,5,2.5,3,0,2,1
13,2016,15,Away,BAL,L,26-27,52.7,22,42,52.4,170,4,0,1,1,4,8,2,5,1,2,0
14,2016,16,Home,NYG,W,19-24,70.1,13,24,54.2,152,6.3,1,1,0,4,27,6.8,11,0,0,0
15,2016,17,Home,DAL,W,13-27,93.7,27,43,62.8,245,5.7,2,0,2,1,13,13,13,0,0,0
0,2017,1,Away,WAS,W,30-17,96.8,26,39,66.7,307,7.9,2,1,2,4,6,1.5,4,0,1,1
1,2017,2,Away,KC,L,20-27,83,25,46,54.3,333,7.2,2,1,6,4,55,13.8,24,0,2,0
2,2017,3,Home,NYG,W,24-27,92.9,21,31,67.7,176,5.7,1,0,3,6,22,3.7,11,0,0,0
3,2017,4,Away,LAC,W,26-24,91.1,17,31,54.8,242,7.8,1,0,1,6,14,2.3,12,0,1,0
