,Year,Week,H/A,Opp,Result,Score,QB Rat,Cmp,Pa-Att,Pa-Pct,Pa-Yds,Pa-Y/A,Pa-TD,Int,Sacks,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2018,1,Away,DEN,W,24-27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2018,2,Away,DEN,W,19-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2018,3,Away,BAL,L,14-27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2018,4,Away,DEN,L,27-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2018,5,Away,NYJ,L,16-34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2018,6,Home,LAR,L,23-20,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,0,0,0
6,2018,7,Away,ARI,W,45-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2018,8,Away,KC,L,23-30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2018,9,Away,DEN,L,19-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2018,11,Away,LAC,W,23-22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2018,12,Away,DEN,W,17-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2018,13,Away,CIN,W,24-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2018,14,Away,SF,L,14-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2018,15,Away,DEN,L,17-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2018,16,Away,OAK,L,14-27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2018,17,Away,DEN,L,23-9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2019,1,Away,LAC,L,24-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019,2,Away,TEN,W,19-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2019,3,Home,ATL,W,24-27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2019,4,Home,OAK,L,31-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2019,5,Away,KC,W,19-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2019,7,Home,HOU,W,23-30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2019,8,Home,DEN,W,13-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2019,9,Away,PIT,L,24-26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2019,10,Home,MIA,L,16-12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2019,11,Home,JAC,W,13-33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2019,12,Away,HOU,L,17-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2019,13,Home,TEN,L,31-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2019,14,Away,TB,L,35-38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2019,15,Away,NO,L,7-34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2019,16,Home,CAR,W,6-38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2019,17,Away,JAC,L,20-38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
