,Year,Week,H/A,Opp,Result,Score,QB Rat,Cmp,Pa-Att,Pa-Pct,Pa-Yds,Pa-Y/A,Pa-TD,Int,Sacks,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2013,1,Away,JAC,W,28-2,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,0,0,0
1,2013,2,Away,KC,W,16-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2013,3,Away,PHI,W,26-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2013,4,Home,NYG,W,7-31,0,0,0,0,0,0,0,0,0,2,-2,-1,-1,0,0,0
4,2013,5,Away,TEN,W,26-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2013,6,Away,KC,W,7-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2013,7,Away,KC,W,16-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2013,8,Away,KC,W,17-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2013,9,Away,BUF,W,23-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2013,11,Away,DEN,L,17-27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2013,12,Away,KC,L,41-38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2013,13,Away,KC,L,35-28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2013,14,Away,WAS,W,45-10,13.9,1,3,33.3,17,5.7,0,1,0,3,-3,-1,-1,0,0,0
13,2013,15,Away,OAK,W,56-31,77.9,3,5,60,31,6.2,0,0,0,1,-1,-1,-1,0,0,0
14,2013,16,Away,KC,L,23-7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2013,17,Away,SD,L,24-27,99.3,21,30,70,200,6.7,1,0,2,7,59,8.4,29,0,0,0
0,2014,1,Away,KC,L,26-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2014,2,Away,DEN,L,17-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2014,3,Away,MIA,W,34-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
