,Year,Week,H/A,Opp,Result,Score,QB Rat,Cmp,Pa-Att,Pa-Pct,Pa-Yds,Pa-Y/A,Pa-TD,Int,Sacks,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2013,1,Away,SF,W,28-34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2013,2,Away,SEA,L,3-29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2013,3,Away,SF,L,27-7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2013,4,Away,STL,W,35-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2013,5,Home,HOU,W,3-34,0,0,0,0,0,0,0,0,0,3,-3,-1,-1,0,0,0
5,2013,6,Away,SF,W,20-32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2013,7,Away,TEN,W,31-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2013,8,Away,JAC,W,42-10,118.8,1,1,100,13,13,0,0,0,0,0,0,0,0,0,0
8,2013,10,Away,SF,L,10-9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2013,11,Away,NO,L,20-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2013,12,Away,WAS,W,27-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2013,13,Away,SF,W,13-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2013,14,Away,SF,W,17-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2013,15,Away,TB,W,33-14,0,0,0,0,0,0,0,0,0,3,-3,-1,-1,0,0,0
14,2013,16,Away,SF,W,24-34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2013,17,Away,ARI,W,23-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2014,1,Away,HOU,L,6-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2014,2,Away,WAS,W,10-41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2014,3,Away,PHI,L,34-37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2014,4,Away,WAS,L,45-14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2014,5,Away,WAS,L,27-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2014,6,Away,ARI,L,20-30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2014,7,Home,TEN,W,17-19,138.9,11,12,91.7,128,10.7,1,0,2,2,3,1.5,4,0,0,0
7,2014,8,Away,DAL,W,20-17,94.3,25,30,83.3,299,10,0,1,3,7,16,2.3,7,1,1,0
8,2014,9,Away,MIN,L,26-29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2014,11,Away,WAS,L,27-7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2014,12,Away,SF,L,13-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2014,13,Away,IND,L,27-49,113.1,31,47,66,392,8.3,3,0,6,3,12,4,11,0,4,1
12,2014,14,Home,STL,L,24-0,54,20,32,62.5,199,6.2,0,2,6,2,11,5.5,7,0,1,0
13,2014,15,Away,NYG,L,13-24,72.9,4,7,57.1,39,5.6,0,0,0,2,24,12,20,0,0,0
14,2014,16,Away,WAS,W,24-27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2014,17,Away,WAS,L,44-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2015,1,Away,WAS,L,17-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2015,2,Away,WAS,W,10-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2015,3,Home,WAS,L,21-32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2015,4,Away,WAS,W,20-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2015,5,Away,ATL,L,19-25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2015,6,Away,NYJ,L,20-34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2015,7,Away,WAS,W,30-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2015,9,Away,NE,L,10-27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2015,10,Home,NO,W,14-47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2015,11,Away,CAR,L,16-44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2015,12,Away,WAS,W,14-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2015,13,Away,WAS,L,19-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
