,Year,Week,H/A,Opp,Result,Score,QB Rat,Cmp,Pa-Att,Pa-Pct,Pa-Yds,Pa-Y/A,Pa-TD,Int,Sacks,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2017,1,Home,PIT,L,21-18,85.7,20,30,66.7,222,7.4,1,1,7,5,17,3.4,11,1,0,0
1,2017,2,Away,BAL,L,10-24,27.3,15,31,48.4,182,5.9,0,3,2,5,26,5.2,13,0,1,1
2,2017,3,Away,IND,L,28-31,50.1,22,47,46.8,242,5.1,2,3,1,7,44,6.3,13,1,1,0
3,2017,4,Home,CIN,L,31-7,43.5,16,34,47.1,118,3.5,0,1,1,5,10,2,4,0,0,0
4,2017,5,Home,NYJ,L,17-14,38.1,8,17,47.1,87,5.1,0,1,1,6,29,4.8,18,0,1,1
5,2017,6,Away,HOU,L,17-33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2017,7,Home,TEN,L,12-9,36.2,12,20,60,114,5.7,0,2,0,0,0,0,0,0,0,0
7,2017,8,Home,MIN,L,33-16,68.1,18,34,52.9,179,5.3,0,0,3,5,18,3.6,9,1,0,0
8,2017,10,Away,DET,L,24-38,73.3,21,37,56.8,232,6.3,1,1,1,7,57,8.1,20,1,0,0
9,2017,11,Home,JAC,L,19-7,51.4,16,32,50,179,5.6,1,2,5,5,22,4.4,10,0,3,2
10,2017,12,Away,CIN,L,16-30,86.5,18,31,58.1,268,8.6,0,0,3,9,39,4.3,12,1,1,0
11,2017,13,Away,LAC,L,10-19,66.5,15,32,46.9,215,6.7,1,1,3,5,46,9.2,17,0,1,1
12,2017,14,Home,GB,L,27-21,99.4,20,28,71.4,214,7.6,3,2,2,2,7,3.5,8,0,0,0
13,2017,15,Home,BAL,L,27-10,41,20,37,54.1,146,3.9,0,2,2,7,35,5,9,0,1,1
14,2017,16,Away,CHI,L,3-20,41.7,18,36,50,182,5.1,0,2,1,3,8,2.7,4,0,0,0
15,2017,17,Away,PIT,L,24-28,98.5,16,30,53.3,314,10.5,2,1,6,6,61,10.2,20,0,0,0
0,2018,1,Home,CHI,W,23-24,42.9,4,7,57.1,55,7.9,0,1,2,0,0,0,0,0,1,1
1,2018,2,Away,GB,T,29-29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2018,3,Away,WAS,L,17-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2018,4,Away,GB,W,0-22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2018,5,Away,DET,L,23-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2018,6,Away,GB,W,30-33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2018,8,Away,LAR,L,27-29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2018,9,Away,NE,L,17-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2018,10,Away,GB,W,12-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2018,11,Away,SEA,L,24-27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2018,12,Away,MIN,L,17-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2018,13,Away,GB,L,20-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2018,14,Home,ATL,W,20-34,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,0,0,0
13,2018,15,Away,CHI,L,17-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2018,16,Away,NYJ,W,44-38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2018,17,Home,DET,L,31-0,44,16,35,45.7,132,3.8,0,1,2,4,40,10,12,0,0,0
