,Year,Week,H/A,Opp,Result,Score,QB Rat,Cmp,Pa-Att,Pa-Pct,Pa-Yds,Pa-Y/A,Pa-TD,Int,Sacks,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2014,1,Away,NYJ,L,14-19,94.7,20,32,62.5,151,4.7,2,0,2,1,-1,-1,-1,0,0,0
1,2014,2,Home,HOU,L,30-14,69.8,27,42,64.3,263,6.3,1,2,0,4,58,14.5,41,0,0,0
2,2014,3,Away,NE,L,9-16,62.6,21,34,61.8,174,5.1,0,1,0,0,0,0,0,0,0,0
3,2014,4,Home,MIA,L,38-14,76.4,16,25,64,146,5.8,1,1,1,2,9,4.5,8,0,0,0
4,2014,6,Home,SD,L,31-28,107.7,18,34,52.9,282,8.3,4,1,0,1,2,2,2,0,0,0
5,2014,7,Home,ARI,L,24-13,75.4,16,28,57.1,173,6.2,0,0,1,2,2,1,3,0,0,0
6,2014,8,Away,CLE,L,13-23,86,34,54,63,328,6.1,1,0,4,1,2,2,2,0,2,1
7,2014,9,Away,SEA,L,24-30,66.5,24,41,58.5,194,4.7,2,2,1,2,9,4.5,7,0,1,0
8,2014,10,Home,DEN,L,41-17,68.8,30,47,63.8,192,4.1,2,2,0,0,0,0,0,0,1,0
9,2014,11,Away,SD,L,6-13,62.4,16,34,47.1,172,5.1,0,0,2,2,0,0,0,0,2,1
10,2014,12,Home,KC,W,20-24,75.2,18,35,51.4,174,5,1,0,1,3,2,0.7,2,0,0,0
11,2014,13,Away,STL,L,0-52,50.5,24,39,61.5,173,4.4,0,2,3,1,1,1,1,0,0,0
12,2014,14,Home,SF,W,13-24,140.2,22,28,78.6,254,9.1,3,0,1,2,2,1,11,0,0,0
13,2014,15,Away,KC,L,13-31,64.7,27,56,48.2,222,4,1,0,4,1,0,0,0,0,1,1
14,2014,16,Home,BUF,W,24-26,89.6,17,34,50,214,6.3,2,0,1,4,0,0,2,0,1,0
15,2014,17,Away,DEN,L,14-47,59.7,18,36,50,158,4.4,1,1,3,3,6,2,5,0,2,1
0,2015,1,Home,CIN,L,33-13,71.9,7,12,58.3,61,5.1,0,0,0,1,8,8,8,0,1,0
1,2015,2,Home,BAL,W,33-37,100.9,30,46,65.2,351,7.6,3,1,1,2,23,11.5,24,0,0,0
2,2015,3,Away,CLE,W,27-20,115.9,20,32,62.5,314,9.8,2,0,0,1,-1,-1,-1,0,0,0
3,2015,4,Away,CHI,L,20-22,84.9,20,33,60.6,196,5.9,2,1,2,1,0,0,0,0,1,1
4,2015,5,Home,DEN,L,16-10,82.1,26,39,66.7,249,6.4,1,1,4,1,-1,-1,-1,0,1,1
5,2015,7,Away,SD,W,37-29,137.7,24,31,77.4,289,9.3,3,0,1,2,3,1.5,4,0,0,0
6,2015,8,Home,NYJ,W,20-34,130.9,23,36,63.9,333,9.3,4,0,0,2,-2,-1,-1,0,0,0
7,2015,9,Away,PIT,L,35-38,96.9,24,44,54.5,301,6.8,4,1,0,2,3,1.5,4,0,0,0
8,2015,10,Home,MIN,L,30-14,83.7,29,43,67.4,302,7,2,2,2,2,12,6,11,0,0,0
9,2015,11,Away,DET,L,13-18,73.6,13,25,52,169,6.8,0,0,1,1,8,8,8,0,1,0
10,2015,12,Away,TEN,W,24-21,120.3,24,37,64.9,330,8.9,3,0,1,4,5,1.3,5,0,2,1
11,2015,13,Home,KC,L,34-20,68.3,31,48,64.6,283,5.9,2,3,4,0,0,0,0,0,1,0
12,2015,14,Away,DEN,W,15-12,79,12,29,41.4,135,4.7,2,0,3,4,-4,-1,-1,0,1,0
13,2015,15,Home,GB,L,30-20,63.8,23,47,48.9,276,5.9,2,2,3,4,42,10.5,19,0,0,0
14,2015,16,Home,SD,W,20-23,72.7,23,38,60.5,204,5.4,1,1,3,4,30,7.5,11,0,0,0
15,2015,17,Away,KC,L,17-23,77.1,21,33,63.6,194,5.9,1,1,6,2,12,6,7,0,2,0
0,2016,1,Away,NO,W,35-34,98.5,24,38,63.2,319,8.4,1,0,0,2,16,8,11,0,0,0
1,2016,2,Home,ATL,L,35-28,115,34,45,75.6,299,6.6,3,0,1,2,10,5,5,0,0,0
2,2016,3,Away,TEN,W,17-10,79.3,21,35,60,249,7.1,1,1,1,1,-1,-1,-1,0,0,0
3,2016,4,Away,BAL,W,28-27,123.4,25,35,71.4,199,5.7,4,0,0,3,-2,-0.7,0,0,0,0
4,2016,5,Home,SD,W,31-34,93.4,25,40,62.5,317,7.9,2,1,3,2,13,6.5,7,0,0,0
5,2016,6,Home,KC,L,26-10,81.1,22,34,64.7,225,6.6,1,1,2,3,8,2.7,6,0,2,1
6,2016,7,Away,JAC,W,33-16,85.4,23,37,62.2,200,5.4,1,0,0,4,4,1,5,0,0,0
7,2016,8,Away,TB,W,30-24,117.4,40,59,67.8,513,8.7,4,0,2,1,13,13,13,0,1,1
8,2016,9,Home,DEN,W,20-30,80.6,20,31,64.5,184,5.9,0,0,2,4,3,0.8,6,0,0,0
