,Year,Week,H/A,Opp,Result,Score,QB Rat,Cmp,Pa-Att,Pa-Pct,Pa-Yds,Pa-Y/A,Pa-TD,Int,Sacks,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2013,1,Home,ATL,W,17-23,113.6,26,35,74.3,357,10.2,2,1,2,3,2,0.7,4,0,0,0
1,2013,2,Away,TB,W,16-14,67.5,26,46,56.5,322,7,1,2,4,0,0,0,0,0,1,0
2,2013,3,Home,ARI,W,7-31,98.3,29,46,63,342,7.4,3,1,4,6,21,3.5,13,1,0,0
3,2013,4,Home,MIA,W,17-38,144.5,30,39,76.9,413,10.6,4,0,2,4,2,0.5,5,0,0,0
4,2013,5,Away,CHI,W,26-18,120,29,35,82.9,288,8.2,2,0,1,1,-2,-2,-2,0,0,0
5,2013,6,Away,NE,L,27-30,75.7,17,36,47.2,236,6.6,2,1,1,2,11,5.5,16,0,0,0
6,2013,8,Home,BUF,W,17-35,146.1,26,34,76.5,332,9.8,5,0,4,4,-1,-0.2,2,0,0,0
7,2013,9,Away,NYJ,L,20-26,79,30,51,58.8,382,7.5,2,2,2,1,-1,-1,-1,0,1,0
8,2013,10,Home,DAL,W,17-49,139,34,41,82.9,392,9.6,4,0,1,0,0,0,0,0,0,0
9,2013,11,Home,SF,W,20-23,87.8,30,43,69.8,305,7.1,1,1,1,1,-1,-1,-1,0,1,0
10,2013,12,Away,ATL,W,17-13,115.5,23,33,69.7,278,8.4,2,0,1,4,-6,-1.5,8,0,0,0
11,2013,13,Away,SEA,L,7-34,77.4,23,38,60.5,147,3.9,1,0,1,1,-1,-1,-1,0,1,1
12,2013,14,Home,CAR,W,13-31,124.4,30,42,71.4,313,7.5,4,0,2,3,3,1,4,0,1,0
13,2013,15,Away,STL,L,16-27,80.4,39,56,69.6,393,7,1,2,4,2,8,4,7,1,1,1
14,2013,16,Away,CAR,L,13-17,74.1,30,44,68.2,281,6.4,1,2,6,1,9,9,9,0,0,0
15,2013,17,Home,TB,W,17-42,157.4,24,31,77.4,381,12.3,4,0,1,2,8,4,9,1,0,0
0,2014,1,Away,ATL,L,34-37,90.7,29,42,69,333,7.9,1,1,0,1,2,2,2,0,0,0
1,2014,2,Away,CLE,L,24-26,89.3,27,40,67.5,237,5.9,2,1,2,1,3,3,3,0,0,0
2,2014,3,Home,MIN,W,9-20,120.3,27,35,77.1,293,8.4,2,0,1,3,-2,-0.7,0,0,1,0
3,2014,4,Away,DAL,L,17-38,100.6,32,44,72.7,340,7.7,2,1,1,1,6,6,6,0,0,0
4,2014,5,Home,TB,W,31-37,70.1,35,57,61.4,371,6.5,2,3,0,1,-1,-1,-1,0,0,0
5,2014,7,Away,DET,L,23-24,91.2,28,45,62.2,342,7.6,2,1,1,1,13,13,13,0,0,0
6,2014,8,Home,GB,W,23-44,138.4,27,32,84.4,311,9.7,3,0,2,1,6,6,6,0,0,0
7,2014,9,Away,CAR,W,28-10,94.9,24,34,70.6,297,8.7,1,1,4,4,2,0.5,3,1,2,1
8,2014,10,Home,SF,L,27-24,81.2,28,47,59.6,292,6.2,3,2,2,2,7,3.5,5,0,1,1
9,2014,11,Home,CIN,L,27-10,100.7,33,41,80.5,255,6.2,1,0,0,1,3,3,3,0,0,0
10,2014,12,Home,BAL,L,34-27,118.5,35,45,77.8,420,9.3,3,1,4,3,15,5,9,0,0,0
11,2014,13,Away,PIT,W,35-32,140,19,27,70.4,257,9.5,5,0,1,0,0,0,0,0,0,0
12,2014,14,Home,CAR,L,41-10,69.7,29,49,59.2,235,4.8,1,1,2,1,6,6,6,0,0,0
13,2014,15,Away,CHI,W,31-15,137.8,29,36,80.6,375,10.4,3,0,2,3,2,0.7,3,0,1,0
14,2014,16,Home,ATL,L,30-14,72.4,30,47,63.8,313,6.7,1,2,5,2,8,4,9,0,2,1
15,2014,17,Away,TB,W,23-20,61.4,24,38,63.2,281,7.4,1,3,2,2,-2,-1,-1,0,0,0
