,Year,Week,H/A,Opp,Result,Score,QB Rat,Cmp,Pa-Att,Pa-Pct,Pa-Yds,Pa-Y/A,Pa-TD,Int,Sacks,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2019,1,Away,OAK,L,16-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2019,2,Home,CHI,L,16-14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2019,3,Away,GB,L,16-27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2019,4,Home,JAC,L,26-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2019,5,Away,LAC,W,20-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2019,6,Home,TEN,W,0-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2019,7,Home,KC,L,30-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2019,8,Away,IND,L,13-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2019,9,Home,CLE,W,19-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2019,11,Away,MIN,L,23-27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2019,12,Away,BUF,L,3-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2019,13,Home,LAC,W,20-23,84.5,18,28,64.3,134,4.8,2,1,0,3,15,5,8,0,0,0
12,2019,14,Away,HOU,W,38-24,136,22,27,81.5,309,11.4,3,1,1,3,15,5,11,0,0,0
13,2019,15,Away,KC,L,3-23,50.8,18,40,45,208,5.2,0,1,2,2,3,1.5,3,0,1,0
14,2019,16,Home,DET,W,17-27,99.6,25,33,75.8,192,5.8,1,0,0,4,10,2.5,10,0,0,0
15,2019,17,Home,OAK,W,15-16,90.9,17,28,60.7,177,6.3,1,0,2,6,29,4.8,12,0,2,1
