,Year,Week,H/A,Opp,Result,Score,QB Rat,Cmp,Pa-Att,Pa-Pct,Pa-Yds,Pa-Y/A,Pa-TD,Int,Sacks,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2019,1,Away,PHI,L,27-32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2019,2,Home,DAL,L,31-21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2019,3,Home,CHI,L,31-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2019,4,Away,NYG,L,3-24,32.8,9,17,52.9,107,6.3,0,3,2,2,23,11.5,14,0,0,0
4,2019,5,Home,NE,L,33-7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2019,6,Away,MIA,W,17-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2019,7,Home,SF,L,9-0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2019,8,Away,MIN,L,9-19,40,3,5,60,33,6.6,0,1,2,0,0,0,0,0,0,0
8,2019,9,Away,BUF,L,9-24,86.2,15,22,68.2,144,6.5,0,0,4,3,14,4.7,9,0,0,0
9,2019,11,Home,NYJ,L,34-17,79.9,19,35,54.3,214,6.1,2,1,6,4,5,1.3,4,0,2,0
10,2019,12,Home,DET,W,16-19,47.5,13,29,44.8,156,5.4,0,1,3,3,28,9.3,18,0,1,1
11,2019,13,Away,CAR,W,29-21,69.9,13,25,52,147,5.9,0,0,5,4,6,1.5,5,0,2,0
12,2019,14,Away,GB,L,15-20,74.6,16,27,59.3,170,6.3,1,1,4,1,-1,-1,-1,0,0,0
13,2019,15,Home,PHI,L,37-27,121.3,19,28,67.9,261,9.3,2,0,1,3,26,8.7,23,0,1,1
14,2019,16,Home,NYG,L,41-35,143.2,12,15,80,133,8.9,2,0,2,0,0,0,0,0,0,0
15,2019,17,Away,DAL,L,16-47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
