,Year,Week,H/A,Opp,Result,Score,QB Rat,Cmp,Pa-Att,Pa-Pct,Pa-Yds,Pa-Y/A,Pa-TD,Int,Sacks,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2013,1,Away,DAL,L,31-36,102.3,27,42,64.3,450,10.7,4,3,3,2,8,4,9,0,0,0
1,2013,2,Home,DEN,L,41-23,53.3,28,49,57.1,362,7.4,1,4,1,0,0,0,0,0,0,0
2,2013,3,Away,CAR,L,0-38,49,12,23,52.2,119,5.2,0,1,7,1,14,14,14,0,0,0
3,2013,4,Away,KC,L,7-31,64.8,18,37,48.6,217,5.9,1,1,3,2,12,6,12,0,2,2
4,2013,5,Home,PHI,L,36-21,56.1,24,52,46.2,334,6.4,2,3,1,0,0,0,0,0,0,0
5,2013,6,Away,CHI,L,21-27,58.5,14,26,53.8,239,9.2,1,3,1,0,0,0,0,0,0,0
6,2013,7,Home,MIN,W,7-23,81.1,23,39,59,200,5.1,1,0,2,3,5,1.7,6,0,1,0
7,2013,8,Away,PHI,W,15-7,81.8,25,39,64.1,246,6.3,0,0,1,1,-1,-1,-1,0,0,0
8,2013,10,Home,OAK,W,20-24,70.3,12,22,54.5,140,6.4,1,1,3,3,-3,-1,-1,0,1,0
9,2013,11,Home,GB,W,13-27,92.4,25,35,71.4,279,8,1,1,4,1,3,3,3,0,0,0
10,2013,12,Home,DAL,L,24-21,92.9,16,30,53.3,174,5.8,2,0,2,0,0,0,0,0,0,0
11,2013,13,Away,WAS,W,24-17,98.7,22,28,78.6,235,8.4,1,1,3,3,0,0,2,0,0,0
12,2013,14,Away,SD,L,14-37,72.3,20,32,62.5,259,8.1,1,2,2,0,0,0,0,0,0,0
13,2013,15,Home,SEA,L,23-0,31.9,18,31,58.1,156,5,0,5,3,0,0,0,0,0,2,0
14,2013,16,Away,DET,W,23-20,71.1,23,42,54.8,256,6.1,1,1,2,2,-2,-1,0,0,1,0
15,2013,17,Home,WAS,W,6-20,59.7,10,24,41.7,152,6.3,1,1,1,0,0,0,0,0,0,0
0,2014,1,Away,DET,L,14-35,53,18,33,54.5,163,4.9,1,2,2,0,0,0,0,0,0,0
1,2014,2,Home,ARI,L,25-14,83,26,39,66.7,277,7.1,2,2,2,1,5,5,5,0,0,0
2,2014,3,Home,HOU,W,17-30,123.2,21,28,75,234,8.4,2,0,1,1,-1,-1,-1,0,0,0
3,2014,4,Away,WAS,W,45-14,117.5,28,39,71.8,300,7.7,4,1,1,1,1,1,1,1,0,0
4,2014,5,Home,ATL,W,20-30,104.9,19,30,63.3,200,6.7,2,0,1,2,-3,-1.5,-1,0,0,0
5,2014,6,Away,PHI,L,0-27,76.5,13,23,56.5,151,6.6,0,0,6,2,3,1.5,2,0,1,0
6,2014,7,Away,DAL,L,21-31,116.7,21,33,63.6,248,7.5,3,0,0,1,11,11,11,0,0,0
7,2014,9,Home,IND,L,40-24,86.9,27,52,51.9,359,6.9,2,0,3,1,18,18,18,0,2,1
