,Year,Week,H/A,Opp,Result,Score,QB Rat,Cmp,Pa-Att,Pa-Pct,Pa-Yds,Pa-Y/A,Pa-TD,Int,Sacks,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2016,1,Away,ARI,W,23-21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2016,2,Home,MIA,W,24-31,100.2,6,9,66.7,92,10.2,0,0,2,4,12,3,10,0,1,0
2,2016,3,Home,HOU,W,0-27,72.9,11,19,57.9,103,5.4,0,0,1,8,48,6,27,1,0,0
3,2016,4,Home,BUF,L,16-0,86.2,17,27,63,205,7.6,0,0,3,4,23,5.8,10,0,2,1
4,2016,5,Away,CLE,W,33-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2016,6,Away,NE,W,17-35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2016,7,Away,PIT,W,27-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2016,8,Away,BUF,W,41-25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2016,10,Away,NE,L,31-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2016,11,Away,SF,W,30-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2016,12,Away,NYJ,W,22-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2016,13,Away,NE,W,10-26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2016,14,Away,NE,W,23-30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2016,15,Away,DEN,W,16-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2016,16,Away,NE,W,3-41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2016,17,Away,MIA,W,35-14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2017,1,Away,LAR,L,9-46,109.7,2,3,66.7,51,17,0,0,0,0,0,0,0,0,0,0
1,2017,2,Home,ARI,L,16-13,60.2,20,37,54.1,216,5.8,0,1,4,6,22,3.7,11,0,1,0
2,2017,3,Home,CLE,W,28-31,120,17,24,70.8,259,10.8,1,0,3,5,14,2.8,8,2,0,0
3,2017,4,Away,SEA,L,18-46,67.7,16,29,55.2,157,5.4,1,1,3,3,33,11,25,0,2,1
4,2017,5,Home,SF,W,23-26,82.2,22,34,64.7,314,9.2,0,1,4,8,14,1.8,5,1,0,0
5,2017,6,Away,TEN,L,22-36,82.3,21,37,56.8,212,5.7,1,0,1,4,15,3.8,7,0,0,0
6,2017,7,Home,JAC,L,27-0,74.2,22,37,59.5,200,5.4,0,0,10,5,31,6.2,14,0,2,0
7,2017,8,Away,CIN,L,23-24,86.8,25,39,64.1,233,6,2,1,4,1,6,6,6,0,0,0
8,2017,9,Away,HOU,W,20-14,122.6,20,30,66.7,308,10.3,2,0,3,2,12,6,13,0,1,1
9,2017,10,Home,PIT,L,20-17,99.7,14,24,58.3,222,9.3,2,1,3,4,7,1.8,4,0,0,0
10,2017,12,Home,TEN,L,20-16,79.1,17,29,58.6,196,6.8,0,0,8,3,16,5.3,12,0,2,1
11,2017,13,Away,JAC,L,10-30,56.9,21,36,58.3,174,4.8,1,2,4,6,36,6,12,0,0,0
12,2017,14,Away,BUF,L,7-13,72,11,22,50,69,3.1,1,0,1,3,10,3.3,8,0,0,0
13,2017,15,Home,DEN,L,25-13,71.2,17,30,56.7,158,5.3,0,0,1,5,18,3.6,7,1,0,0
14,2017,16,Away,BAL,L,16-23,79.7,16,33,48.5,215,6.5,1,0,2,3,8,2.7,7,0,0,0
15,2017,17,Home,HOU,W,13-22,84.4,15,25,60,114,4.6,1,0,1,5,18,3.6,15,0,0,0
0,2018,1,Home,CIN,L,34-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2018,2,Away,WAS,W,21-9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2018,3,Away,PHI,L,16-20,39.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2018,4,Home,HOU,L,37-34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2018,5,Away,NE,L,24-38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2018,6,Away,NYJ,L,34-42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2018,7,Home,BUF,W,5-37,0,0,0,0,0,0,0,0,0,4,-4,-1,-1,0,0,0
7,2018,8,Away,OAK,W,42-28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2018,10,Home,JAC,W,26-29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2018,11,Home,TEN,W,10-38,56.2,1,2,50,-2,-1,0,0,0,3,-3,-1,-1,0,0,0
10,2018,12,Home,MIA,W,24-27,83.3,1,1,100,4,4,0,0,0,0,0,0,0,0,0,0
11,2018,13,Away,JAC,L,0-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2018,14,Away,HOU,W,24-21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2018,15,Home,DAL,W,0-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2018,16,Home,NYG,W,27-28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2018,17,Away,TEN,W,33-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2019,1,Away,LAC,L,24-30,120.7,21,27,77.8,190,7,2,0,2,3,9,3,6,0,1,0
1,2019,2,Away,TEN,W,19-17,95.2,17,28,60.7,146,5.2,3,1,3,7,25,3.6,7,0,1,1
2,2019,3,Home,ATL,W,24-27,118.1,28,37,75.7,310,8.4,2,0,1,3,4,1.3,6,0,0,0
3,2019,4,Home,OAK,L,31-24,82.2,24,46,52.2,265,5.8,3,1,0,5,19,3.8,9,0,0,0
4,2019,5,Away,KC,W,19-13,61.1,18,29,62.1,151,5.2,0,1,0,6,9,1.5,7,1,0,0
5,2019,7,Home,HOU,W,23-30,126.7,26,39,66.7,326,8.4,4,0,1,5,6,1.2,5,0,1,1
6,2019,8,Home,DEN,W,13-15,85.8,15,25,60,202,8.1,0,0,4,6,34,5.7,8,0,1,1
7,2019,9,Away,PIT,L,24-26,115.8,4,5,80,59,11.8,0,0,1,2,4,2,7,0,0,0
8,2019,10,Home,MIA,L,16-12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2019,11,Home,JAC,W,13-33,76.4,15,24,62.5,148,6.2,1,1,3,2,12,6,7,1,1,0
10,2019,12,Away,HOU,L,17-20,76.9,16,25,64,129,5.2,0,0,1,4,20,5,8,1,0,0
11,2019,13,Home,TEN,L,31-17,74.9,25,40,62.5,319,8,1,2,3,1,-1,-1,-1,0,0,0
12,2019,14,Away,TB,L,35-38,93.6,19,36,52.8,251,7,2,0,1,4,26,6.5,9,0,0,0
13,2019,15,Away,NO,L,7-34,66.4,18,34,52.9,165,4.9,0,0,1,1,7,7,7,0,0,0
14,2019,16,Home,CAR,W,6-38,63.7,14,27,51.9,119,4.4,0,0,3,3,37,12.3,24,1,0,0
15,2019,17,Away,JAC,L,20-38,69.1,12,25,48,162,6.5,0,0,3,4,17,4.3,9,0,2,2
