,Year,Week,H/A,Opp,Result,Score,QB Rat,Cmp,Pa-Att,Pa-Pct,Pa-Yds,Pa-Y/A,Pa-TD,Int,Sacks,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2016,1,Away,SF,L,0-28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2016,2,Home,SEA,W,3-9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2016,3,Away,TB,W,37-32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2016,4,Away,ARI,W,17-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2016,5,Home,BUF,L,30-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2016,6,Away,DET,L,28-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2016,7,Home,NYG,L,17-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2016,9,Home,CAR,L,13-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2016,10,Away,NYJ,W,9-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2016,11,Home,MIA,L,14-10,65.8,17,31,54.8,134,4.3,0,0,1,4,11,2.8,6,0,0,0
10,2016,12,Away,NO,L,21-49,100.3,20,32,62.5,214,6.7,3,1,3,0,0,0,0,0,1,1
11,2016,13,Away,NE,L,10-26,43.9,14,32,43.8,161,5,1,2,4,1,-1,-1,-1,0,0,0
12,2016,14,Home,ATL,L,42-14,54.4,24,41,58.5,235,5.7,0,2,3,1,2,2,2,1,1,1
13,2016,15,Away,SEA,L,3-24,67.9,13,25,52,135,5.4,0,0,4,0,0,0,0,0,1,0
14,2016,16,Home,SF,L,22-21,35.1,11,24,45.8,90,3.8,1,2,4,2,4,2,5,0,0,0
15,2016,17,Home,ARI,L,44-6,81.2,13,20,65,120,6,0,0,7,0,0,0,0,0,2,0
0,2017,1,Home,IND,W,9-46,117.9,21,29,72.4,306,10.6,1,0,1,1,2,2,2,0,0,0
1,2017,2,Home,WAS,L,27-20,85.2,14,24,58.3,219,9.1,1,1,2,3,1,0.3,1,0,1,0
2,2017,3,Away,SF,W,41-39,145.8,22,28,78.6,292,10.4,3,0,0,1,-1,-1,-1,0,0,0
3,2017,4,Away,DAL,W,35-30,98.7,21,36,58.3,255,7.1,2,0,1,1,-1,-1,-1,0,1,0
4,2017,5,Home,SEA,L,16-10,48.9,22,47,46.8,288,6.1,0,2,2,1,22,22,22,0,1,1
5,2017,6,Away,JAC,W,27-17,86.2,11,21,52.4,124,5.9,1,0,3,4,9,2.3,6,0,0,0
6,2017,7,Home,ARI,W,0-33,75.8,22,37,59.5,235,6.4,1,1,1,2,13,6.5,9,1,0,0
7,2017,9,Away,NYG,W,51-17,146.8,14,22,63.6,311,14.1,4,0,0,0,0,0,0,0,0,0
8,2017,10,Home,HOU,W,7-33,125.4,25,37,67.6,355,9.6,3,0,3,4,3,0.8,6,0,0,0
