,Year,Week,H/A,Opp,Result,Score,QB Rat,Cmp,Pa-Att,Pa-Pct,Pa-Yds,Pa-Y/A,Pa-TD,Int,Sacks,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2013,1,Away,DEN,L,27-49,69.4,34,62,54.8,362,5.8,2,2,4,0,0,0,0,0,1,0
1,2013,2,Home,CLE,W,6-14,94.4,22,33,66.7,211,6.4,1,0,2,4,6,1.5,9,0,0,0
2,2013,3,Home,HOU,W,9-30,87.3,16,24,66.7,171,7.1,0,0,2,0,0,0,0,0,1,0
3,2013,4,Away,BUF,L,20-23,46.4,25,50,50,347,6.9,2,5,4,0,0,0,0,0,0,0
4,2013,5,Away,MIA,W,26-23,73.6,19,32,59.4,269,8.4,0,1,2,2,13,6.5,14,0,0,0
5,2013,6,Home,GB,L,19-17,112.6,20,34,58.8,342,10.1,2,0,5,1,6,6,6,0,2,1
6,2013,7,Away,PIT,L,16-19,97.1,24,34,70.6,215,6.3,1,0,1,2,14,7,12,0,0,0
7,2013,9,Away,CLE,L,18-24,82.4,24,41,58.5,250,6.1,2,1,5,3,25,8.3,15,0,0,0
8,2013,10,Home,CIN,W,17-20,60,20,36,55.6,140,3.9,2,2,5,1,4,4,4,0,1,1
9,2013,11,Away,CHI,L,20-23,53.4,17,31,54.8,162,5.2,1,2,3,4,20,5,11,0,1,0
10,2013,12,Home,NYJ,W,3-19,97.1,17,26,65.4,273,10.5,1,1,4,0,0,0,0,0,0,0
11,2013,13,Home,PIT,W,20-22,98.6,24,35,68.6,251,7.2,1,0,2,4,7,1.8,9,0,1,0
12,2013,14,Home,MIN,W,26-29,64.2,28,50,56,245,4.9,3,3,2,1,22,22,22,0,0,0
13,2013,15,Away,DET,W,18-16,70.3,20,38,52.6,222,5.8,0,0,1,2,13,6.5,7,0,1,0
14,2013,16,Home,NE,L,41-7,56.9,22,38,57.9,260,6.8,0,2,4,2,0,0,1,1,0,0
15,2013,17,Away,CIN,L,17-34,49.8,30,50,60,192,3.8,1,3,2,1,1,1,1,0,0,0
0,2014,1,Home,CIN,L,23-16,71,35,62,56.5,345,5.6,1,1,3,3,7,2.3,3,0,0,0
1,2014,2,Home,PIT,W,6-26,109.3,21,29,72.4,166,5.7,2,0,0,5,3,0.6,3,0,0,0
2,2014,3,Away,CLE,W,23-21,79.6,19,31,61.3,217,7,1,1,0,4,6,1.5,7,0,0,0
3,2014,4,Home,CAR,W,10-38,137.4,22,31,71,327,10.5,3,0,0,1,3,3,3,0,1,0
4,2014,5,Away,IND,L,13-20,65.1,22,38,57.9,235,6.2,0,1,4,0,0,0,0,0,0,0
5,2014,6,Away,TB,W,48-17,149.7,21,28,75,306,10.9,5,0,0,0,0,0,0,0,0,0
6,2014,7,Home,ATL,W,7-29,91.8,16,25,64,258,10.3,2,2,1,1,4,4,4,0,0,0
7,2014,8,Away,CIN,L,24-27,43.1,17,34,50,195,5.7,0,2,1,2,12,6,13,0,0,0
8,2014,9,Away,PIT,L,23-43,91.3,30,45,66.7,303,6.7,2,1,4,1,2,2,2,0,0,0
9,2014,10,Home,TEN,W,7-21,89.9,16,27,59.3,169,6.3,1,0,1,3,-2,-0.7,0,0,1,0
10,2014,12,Away,NO,W,34-27,120.7,18,24,75,243,10.1,1,0,1,2,2,1,3,0,0,0
11,2014,13,Home,SD,L,34-33,104.9,19,31,61.3,225,7.3,2,0,0,2,3,1.5,2,1,0,0
12,2014,14,Away,MIA,W,28-13,106.8,25,33,75.8,269,8.2,2,1,1,7,16,2.3,15,1,0,0
13,2014,15,Home,JAC,W,12-20,99.4,20,30,66.7,221,7.4,1,0,0,4,8,2,10,0,0,0
14,2014,16,Away,HOU,L,13-25,41.7,21,50,42,195,3.9,2,3,2,1,5,5,5,0,1,0
15,2014,17,Home,CLE,W,10-20,107.6,22,36,61.1,312,8.7,2,0,1,3,1,0.3,3,0,2,0
0,2015,1,Away,DEN,L,13-19,38.2,18,32,56.3,117,3.7,0,2,2,0,0,0,0,0,0,0
1,2015,2,Away,OAK,L,33-37,102.5,32,45,71.1,384,8.5,2,1,0,2,2,1,2,0,0,0
2,2015,3,Home,CIN,L,28-24,92.4,32,49,65.3,362,7.4,2,1,0,0,0,0,0,0,0,0
3,2015,4,Away,PIT,W,23-20,73.9,20,33,60.6,189,5.7,1,1,5,3,0,0,0,0,3,1
4,2015,5,Home,CLE,L,33-30,81.8,19,35,54.3,210,6,1,0,1,2,2,1,1,2,0,0
5,2015,6,Away,SF,L,20-25,77.8,33,53,62.3,343,6.5,2,2,0,0,0,0,0,0,0,0
6,2015,7,Away,ARI,L,18-26,80.4,26,40,65,252,6.3,1,1,3,0,0,0,0,0,0,0
7,2015,8,Home,SD,W,26-29,103.3,25,37,67.6,319,8.6,1,0,3,4,2,0.5,2,1,1,0
8,2015,10,Home,JAC,L,22-20,98,34,45,75.6,316,7,3,2,1,2,17,8.5,16,0,1,1
9,2015,11,Home,STL,W,13-16,70.2,27,44,61.4,299,6.8,1,2,1,0,0,0,0,0,0,0
10,2015,12,Away,CLE,W,33-27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2015,13,Away,MIA,L,13-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2015,14,Away,BAL,L,35-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2015,15,Away,BAL,L,34-14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2015,16,Away,BAL,W,17-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2015,17,Away,CIN,L,16-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2016,1,Home,BUF,W,7-13,100.3,22,33,66.7,258,7.8,1,0,4,4,-3,-0.7,0,0,1,1
1,2016,2,Away,CLE,W,25-20,72.6,25,45,55.6,302,6.7,2,2,0,1,1,1,1,0,0,0
2,2016,3,Away,JAC,W,19-17,64,29,40,72.5,214,5.4,0,2,2,3,12,4,7,1,1,0
3,2016,4,Home,OAK,L,28-27,83.7,32,52,61.5,298,5.7,1,0,2,1,1,1,1,1,1,1
4,2016,5,Home,WAS,L,16-10,82.7,30,46,65.2,210,4.6,1,0,3,1,6,6,6,0,0,0
5,2016,6,Away,NYG,L,23-27,73.9,26,48,54.2,307,6.4,0,0,2,1,0,0,0,0,0,0
6,2016,7,Away,NYJ,L,16-24,54,25,44,56.8,248,5.6,0,2,2,1,1,1,1,0,0,0
7,2016,9,Home,PIT,W,14-21,82.8,18,30,60,241,8,1,1,3,3,12,4,14,0,1,0
