,Year,Week,H/A,Opp,Result,Score,QB Rat,Cmp,Pa-Att,Pa-Pct,Pa-Yds,Pa-Y/A,Pa-TD,Int,Sacks,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2018,1,Away,BAL,L,3-47,56,6,15,40,74,4.9,0,0,3,4,26,6.5,14,0,0,0
1,2018,2,Home,LAC,L,31-20,63.3,18,33,54.5,245,7.4,1,2,5,8,32,4,14,0,0,0
2,2018,3,Away,MIN,W,27-6,111.2,15,22,68.2,196,8.9,1,0,3,10,39,3.9,10,2,3,0
3,2018,4,Away,GB,L,0-22,36.3,16,33,48.5,151,4.6,0,2,7,5,19,3.8,8,0,1,1
4,2018,5,Home,TEN,W,12-13,42,10,19,52.6,82,4.3,0,1,1,4,19,4.8,14,1,0,0
5,2018,6,Away,HOU,L,13-20,71.7,10,17,58.8,84,4.9,0,0,2,4,20,5,11,0,0,0
6,2018,7,Away,IND,L,5-37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2018,8,Home,NE,L,25-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2018,9,Home,CHI,L,41-9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2018,10,Away,NYJ,W,41-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2018,12,Home,JAC,W,21-24,89.8,8,19,42.1,160,8.4,1,0,0,13,99,7.6,45,1,1,0
11,2018,13,Away,MIA,L,17-21,71.7,18,33,54.5,231,7,2,2,2,9,135,15,28,0,1,0
12,2018,14,Home,NYJ,L,27-23,44.4,18,36,50,206,5.7,0,2,3,9,101,11.2,31,1,1,1
13,2018,15,Home,DET,W,13-14,89.3,13,26,50,204,7.8,1,0,1,9,16,1.8,10,1,1,0
14,2018,16,Away,NE,L,12-24,52.6,20,41,48.8,217,5.3,1,2,0,5,30,6,13,0,0,0
15,2018,17,Home,MIA,W,17-42,114.9,17,26,65.4,224,8.6,3,1,1,9,95,10.6,35,2,0,0
0,2019,1,Away,NYJ,W,17-16,71.2,24,37,64.9,254,6.9,1,2,1,10,38,3.8,8,1,2,2
1,2019,2,Away,NYG,W,28-14,101.1,19,30,63.3,253,8.4,1,0,3,7,21,3,9,1,0,0
2,2019,3,Home,CIN,W,17-21,81.1,23,36,63.9,243,6.8,1,1,1,9,46,5.1,11,0,2,0
3,2019,4,Home,NE,L,16-10,24,13,28,46.4,153,5.5,0,3,4,5,26,5.2,15,1,1,0
4,2019,5,Away,TEN,W,14-7,98.3,23,32,71.9,219,6.8,2,1,4,10,27,2.7,6,0,0,0
5,2019,7,Home,MIA,W,21-31,111.4,16,26,61.5,202,7.8,2,0,2,4,32,8,15,0,0,0
6,2019,8,Home,PHI,L,31-13,81.6,16,34,47.1,169,5,2,0,4,8,45,5.6,14,0,3,1
7,2019,9,Home,WAS,W,9-24,110.4,14,20,70,160,8,1,0,2,8,12,1.5,6,1,2,0
8,2019,10,Away,CLE,L,16-19,73.8,22,41,53.7,266,6.5,0,0,1,6,28,4.7,12,2,1,0
9,2019,11,Away,MIA,W,37-20,117.7,21,33,63.6,256,7.8,3,0,0,7,56,8,36,1,0,0
10,2019,12,Home,DEN,W,3-20,92.9,15,25,60,185,7.4,2,1,1,9,56,6.2,18,0,0,0
11,2019,13,Away,DAL,W,26-15,120.7,19,24,79.2,231,9.6,1,0,4,10,43,4.3,15,1,1,0
12,2019,14,Home,BAL,L,24-17,62.6,17,39,43.6,146,3.7,1,0,6,2,9,4.5,7,0,2,1
13,2019,15,Away,PIT,W,17-10,65.2,13,25,52,139,5.6,1,1,1,7,28,4,12,1,0,0
14,2019,16,Away,NE,L,17-24,102.7,13,26,50,208,8,2,0,4,7,43,6.1,16,0,0,0
15,2019,17,Home,NYJ,L,13-6,64.6,3,5,60,5,1,0,0,0,0,0,0,0,0,0,0
