,Year,Week,H/A,Opp,Result,Score,QB Rat,Cmp,Pa-Att,Pa-Pct,Pa-Yds,Pa-Y/A,Pa-TD,Int,Sacks,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2018,1,Away,CAR,W,8-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2018,2,Away,ATL,L,24-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2018,3,Away,CAR,W,21-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2018,5,Away,CAR,W,31-33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2018,6,Home,CAR,L,17-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2018,7,Away,PHI,W,21-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2018,8,Away,CAR,W,21-36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2018,9,Away,CAR,W,28-42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2018,10,Away,PIT,L,21-52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2018,11,Away,DET,L,19-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2018,12,Away,CAR,L,30-27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2018,13,Away,TB,L,17-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2018,14,Away,CLE,L,20-26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2018,15,Away,CAR,L,12-9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2018,16,Home,ATL,L,24-10,106.2,4,4,100,38,9.5,0,0,0,0,0,0,0,0,0,0
15,2018,17,Away,NO,W,33-14,111.3,16,27,59.3,228,8.4,2,0,0,5,19,3.8,10,1,0,0
0,2019,1,Home,LAR,L,30-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019,2,Away,CAR,L,20-14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2019,3,Away,ARI,W,38-20,144.4,19,26,73.1,261,10,4,0,2,3,-1,-0.3,1,0,2,1
3,2019,4,Away,HOU,W,16-10,89.3,24,34,70.6,232,6.8,0,0,3,0,0,0,0,0,3,3
4,2019,5,Home,JAC,W,27-34,85.6,17,30,56.7,181,6,1,0,3,1,4,4,4,0,1,0
5,2019,6,Away,TB,W,37-26,104.6,20,32,62.5,227,7.1,2,0,2,3,3,1,4,0,0,0
6,2019,8,Away,SF,L,13-51,28.9,19,37,51.4,158,4.3,0,3,7,0,0,0,0,0,0,0
7,2019,9,Home,TEN,W,20-30,84.4,17,32,53.1,232,7.3,2,1,3,3,-4,-1.3,-1,0,0,0
8,2019,10,Away,GB,L,16-24,84.2,28,43,65.1,307,7.1,1,1,3,3,12,4,8,0,1,1
9,2019,11,Home,ATL,L,29-3,47.5,31,50,62,325,6.5,0,4,5,1,7,7,7,0,0,0
10,2019,12,Away,NO,L,31-34,112.7,23,36,63.9,256,7.1,3,0,4,1,9,9,9,0,1,0
11,2019,13,Home,WAS,L,29-21,81.6,27,46,58.7,278,6,2,1,7,4,22,5.5,17,1,2,1
12,2019,14,Away,ATL,L,20-40,76.6,28,41,68.3,293,7.1,1,2,5,6,24,4,8,1,2,1
13,2019,15,Home,SEA,L,30-24,58.7,25,41,61,277,6.8,1,3,1,5,25,5,10,0,1,0
14,2019,16,Away,IND,L,6-38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2019,17,Home,NO,L,42-10,72.7,25,41,61,295,7.2,0,1,1,2,5,2.5,4,0,0,0
