,Year,Week,H/A,Opp,Result,Score,QB Rat,Cmp,Pa-Att,Pa-Pct,Pa-Yds,Pa-Y/A,Pa-TD,Int,Sacks,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2019,1,Away,NE,L,3-33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2019,2,Home,SEA,L,28-26,92.4,12,19,63.2,112,5.9,2,1,0,1,7,7,7,0,0,0
2,2019,3,Away,SF,L,20-24,81.4,14,27,51.9,174,6.4,2,1,2,4,15,3.8,7,0,1,0
3,2019,4,Home,CIN,W,3-27,124.6,24,28,85.7,229,8.2,2,0,0,3,-3,-1,-1,0,0,0
4,2019,5,Home,BAL,L,26-23,100.2,13,20,65,131,6.6,1,0,1,0,0,0,0,0,0,0
5,2019,6,Away,LAC,W,24-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2019,8,Home,MIA,W,14-27,84.4,20,36,55.6,251,7,2,1,2,0,0,0,0,0,1,0
7,2019,9,Home,IND,W,24-26,84.3,26,35,74.3,191,5.5,1,1,1,3,5,1.7,7,0,1,0
8,2019,10,Home,LAR,W,12-17,85.6,22,38,57.9,242,6.4,1,0,3,2,-1,-0.5,0,0,0,0
9,2019,11,Away,CLE,L,7-21,36.3,23,44,52.3,221,5,1,4,4,2,15,7.5,13,0,1,0
10,2019,12,Away,CIN,W,16-10,39.8,8,16,50,85,5.3,0,1,1,4,4,1,2,0,0,0
11,2019,13,Home,CLE,W,13-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2019,14,Away,ARI,W,23-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2019,15,Home,BUF,L,17-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2019,16,Away,NYJ,L,10-16,104,14,20,70,129,6.5,1,0,1,2,0,0,5,0,0,0
15,2019,17,Away,BAL,L,10-28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
