,Year,Week,H/A,Opp,Result,Score,QB Rat,Cmp,Pa-Att,Pa-Pct,Pa-Yds,Pa-Y/A,Pa-TD,Int,Sacks,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2013,1,Away,WAS,W,33-27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2013,2,Away,PHI,L,33-30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2013,3,Away,PHI,L,26-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2013,4,Away,DEN,L,20-52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2013,5,Away,NYG,W,36-21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2013,6,Away,TB,W,31-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2013,7,Home,DAL,L,17-3,35.2,11,20,55,129,6.5,0,3,0,0,0,0,0,0,0,0
7,2013,8,Home,NYG,L,15-7,65.9,17,26,65.4,158,6.1,0,1,3,0,0,0,0,0,3,1
8,2013,9,Away,OAK,W,49-20,75.7,2,3,66.7,13,4.3,0,0,0,2,-2,-1,-1,0,0,0
9,2013,10,Away,GB,W,27-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2013,11,Away,PHI,W,16-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2013,13,Away,PHI,W,21-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2013,14,Away,PHI,W,20-34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2013,15,Away,MIN,L,30-48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2013,16,Away,PHI,W,11-54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2013,17,Away,DAL,W,24-22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2014,1,Away,PHI,W,17-34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2014,2,Away,IND,W,30-27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2014,3,Away,PHI,W,34-37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2014,4,Away,SF,L,21-26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2014,5,Away,PHI,W,28-34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2014,6,Away,PHI,W,0-27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2014,8,Away,ARI,L,20-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2014,9,Away,HOU,W,31-21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2014,10,Home,CAR,W,21-45,39.6,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0
9,2014,11,Away,GB,L,20-53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2014,12,Away,PHI,W,24-43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2014,13,Away,DAL,W,33-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2014,14,Away,PHI,L,24-14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2014,15,Away,PHI,L,38-27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2014,16,Away,WAS,L,24-27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2014,17,Away,NYG,W,34-26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2016,1,Away,HOU,L,14-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2016,2,Away,CHI,L,29-14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2016,3,Away,DAL,L,17-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2016,4,Away,CHI,W,14-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2016,5,Away,IND,L,23-29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2016,6,Away,CHI,L,17-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2016,7,Away,GB,L,10-26,18.3,6,15,40,81,5.4,0,2,1,1,-1,-1,-1,0,0,0
7,2016,8,Away,CHI,W,10-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2016,10,Away,TB,L,10-36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2016,11,Away,NYG,L,16-22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2016,12,Home,TEN,L,27-21,72.8,28,54,51.9,316,5.9,3,2,0,2,0,0,0,0,1,0
11,2016,13,Home,SF,W,6-26,97.5,11,18,61.1,192,10.7,0,0,1,4,3,0.8,5,0,1,0
12,2016,14,Away,DET,L,17-20,92.2,20,32,62.5,212,6.6,1,0,1,0,0,0,0,0,0,0
13,2016,15,Home,GB,L,30-27,81.7,30,43,69.8,362,8.4,2,3,1,0,0,0,0,0,1,1
14,2016,16,Home,WAS,L,41-21,62.8,24,40,60,323,8.1,2,5,1,0,0,0,0,0,0,0
15,2016,17,Away,MIN,L,10-38,59.2,10,14,71.4,125,8.9,0,2,1,0,0,0,0,0,1,1
0,2018,10,Away,NYJ,W,41-10,117.4,15,25,60,232,9.3,2,0,1,3,-2,-0.7,0,0,0,0
0,2019,1,Away,NYJ,W,17-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019,2,Away,NYG,W,28-14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2019,3,Home,CIN,W,17-21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2019,4,Home,NE,L,16-10,56,9,16,56.3,127,7.9,0,1,1,0,0,0,0,0,1,0
4,2019,5,Away,TEN,W,14-7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2019,7,Home,MIA,W,21-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2019,8,Home,PHI,L,31-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2019,9,Home,WAS,W,9-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2019,10,Away,CLE,L,16-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2019,11,Away,MIA,W,37-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2019,12,Home,DEN,W,3-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2019,13,Away,DAL,W,26-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2019,14,Home,BAL,L,24-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2019,15,Away,PIT,W,17-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2019,16,Away,NE,L,17-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2019,17,Home,NYJ,L,13-6,48.8,18,35,51.4,232,6.6,0,2,1,2,-4,-2,0,0,2,1
