,Year,Week,H/A,Opp,Result,Score,QB Rat,Cmp,Pa-Att,Pa-Pct,Pa-Yds,Pa-Y/A,Pa-TD,Int,Sacks,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2013,1,Away,CLE,W,23-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2013,2,Away,IND,W,24-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2013,3,Away,MIA,W,23-27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2013,4,Away,NO,L,17-38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2013,5,Away,MIA,L,26-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2013,7,Away,MIA,L,23-21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2013,8,Away,NE,L,17-27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2013,9,Away,MIA,W,20-22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2013,10,Away,TB,L,19-22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2013,11,Away,MIA,W,16-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2013,12,Away,MIA,L,20-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2013,13,Away,NYJ,W,23-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2013,14,Away,PIT,W,34-28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2013,15,Away,MIA,W,20-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2013,16,Away,BUF,L,0-19,27.1,2,6,33.3,53,8.8,0,2,0,0,0,0,0,0,1,0
15,2013,17,Away,MIA,L,20-7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2014,1,Away,MIA,W,20-33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2014,2,Away,BUF,L,10-29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2014,3,Away,MIA,L,34-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2014,4,Away,OAK,W,38-14,0,0,0,0,0,0,0,0,0,2,-2,-1,-1,0,0,0
4,2014,6,Away,MIA,L,27-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2014,7,Away,CHI,W,27-14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2014,8,Away,JAC,W,27-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2014,9,Home,SD,W,0-37,65.6,2,4,50,21,5.3,0,0,0,0,0,0,0,0,0,0
8,2014,10,Away,DET,L,16-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2014,11,Away,MIA,W,9-22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2014,12,Away,DEN,L,36-39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2014,13,Away,NYJ,W,16-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2014,14,Away,MIA,L,28-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2014,15,Away,NE,L,13-41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2014,16,Away,MIA,W,35-37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2014,17,Away,MIA,L,37-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2015,1,Away,WAS,W,17-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2015,2,Away,JAC,L,20-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2015,3,Away,MIA,L,41-14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2015,4,Away,MIA,L,27-14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2015,6,Away,TEN,W,38-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2015,7,Home,HOU,W,26-44,118.8,1,1,100,14,14,0,0,0,3,-2,-0.7,0,0,0,0
6,2015,8,Away,NE,L,7-36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2015,9,Away,BUF,L,17-33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2015,10,Away,PHI,W,20-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2015,11,Away,MIA,L,24-14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2015,12,Away,NYJ,L,20-38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2015,13,Away,MIA,W,13-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2015,14,Away,MIA,L,31-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2015,15,Away,SD,L,14-30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2015,16,Away,MIA,L,18-12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2015,17,Away,MIA,W,10-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2016,1,Away,SEA,L,10-12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2016,2,Away,NE,L,24-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
