,Year,Week,H/A,Opp,Result,Score,QB Rat,Cmp,Pa-Att,Pa-Pct,Pa-Yds,Pa-Y/A,Pa-TD,Int,Sacks,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2013,1,Away,NO,L,17-23,96.8,25,38,65.8,304,8,2,1,3,1,12,12,12,0,0,0
1,2013,2,Home,STL,W,24-31,117.8,33,43,76.7,374,8.7,2,0,2,0,0,0,0,0,0,0
2,2013,3,Away,MIA,L,23-27,84.4,23,38,60.5,231,6.1,2,1,0,0,0,0,0,0,0,0
3,2013,4,Home,NE,L,30-23,91.7,34,54,63,421,7.8,2,1,2,0,0,0,0,0,0,0
4,2013,5,Home,NYJ,L,30-28,111,36,45,80,319,7.1,2,0,2,0,0,0,0,0,1,1
5,2013,7,Home,TB,W,23-31,148.4,20,26,76.9,273,10.5,3,0,0,3,-12,-4,-4,0,0,0
6,2013,8,Away,ARI,L,13-27,47.2,34,61,55.7,301,4.9,1,4,4,1,13,13,13,0,0,0
7,2013,9,Away,CAR,L,10-34,70.4,20,27,74.1,219,8.1,1,3,1,2,2,1,3,0,0,0
8,2013,10,Home,SEA,L,33-10,84.5,23,36,63.9,172,4.8,1,0,2,3,15,5,10,0,1,0
9,2013,11,Away,TB,L,28-41,70.8,19,36,52.8,254,7.1,2,2,3,0,0,0,0,0,0,0
10,2013,12,Home,NO,L,17-13,97.4,30,39,76.9,292,7.5,0,0,5,2,10,5,6,0,0,0
11,2013,13,Away,BUF,W,34-31,86.4,28,47,59.6,311,6.6,1,0,6,2,17,8.5,17,0,1,1
12,2013,14,Away,GB,L,21-22,81.4,20,35,57.1,206,5.9,2,1,1,0,0,0,0,0,1,1
13,2013,15,Home,WAS,W,26-27,86.5,29,38,76.3,210,5.5,1,1,3,1,-1,-1,-1,0,1,1
14,2013,16,Away,SF,L,24-34,93.1,37,48,77.1,348,7.3,2,2,1,0,0,0,0,0,0,0
15,2013,17,Home,CAR,L,21-20,95.8,28,40,70,280,7,2,1,9,2,-1,-0.5,0,0,0,0
0,2014,1,Home,NO,W,34-37,128.8,31,43,72.1,448,10.4,3,0,1,3,15,5,9,0,0,0
1,2014,2,Away,CIN,L,10-24,48.6,24,44,54.5,231,5.3,1,3,2,3,28,9.3,12,0,0,0
2,2014,3,Home,TB,W,14-56,155.9,21,24,87.5,286,11.9,3,0,1,1,2,2,2,0,0,0
3,2014,4,Away,MIN,L,28-41,87.2,25,41,61,298,7.3,3,2,1,2,2,1,1,0,0,0
4,2014,5,Away,NYG,L,20-30,83.2,29,45,64.4,316,7,1,1,1,0,0,0,0,0,0,0
5,2014,6,Home,CHI,L,27-13,73.1,19,37,51.4,271,7.3,1,1,4,1,-1,-1,-1,0,0,0
6,2014,7,Away,BAL,L,7-29,86.2,29,44,65.9,228,5.2,1,0,5,1,7,7,7,0,1,1
7,2014,8,Home,DET,L,22-21,108.3,20,27,74.1,228,8.4,2,1,2,1,6,6,6,0,2,0
8,2014,10,Away,TB,W,27-17,96,20,31,64.5,219,7.1,1,0,1,3,9,3,8,0,0,0
9,2014,11,Away,CAR,W,19-17,91.7,31,45,68.9,268,6,1,0,2,1,4,4,4,0,0,0
10,2014,12,Home,CLE,L,26-24,86.7,27,43,62.8,273,6.3,2,1,3,2,6,3,4,0,1,1
