,Year,Week,H/A,Opp,Result,Score,QB Rat,Cmp,Pa-Att,Pa-Pct,Pa-Yds,Pa-Y/A,Pa-TD,Int,Sacks,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2013,1,Away,NYJ,L,17-18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2013,2,Away,TB,L,16-14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2013,3,Away,NE,L,3-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2013,4,Home,ARI,L,13-10,55.7,24,43,55.8,193,4.5,1,2,2,2,-1,-0.5,0,0,1,1
4,2013,6,Home,PHI,L,31-20,84.7,26,43,60.5,273,6.3,2,1,2,3,20,6.7,16,0,1,0
5,2013,7,Away,ATL,L,23-31,90.7,26,44,59.1,256,5.8,2,0,3,1,13,13,13,0,1,1
6,2013,8,Home,CAR,L,31-13,80.1,30,51,58.8,275,5.4,1,0,3,3,2,0.7,2,0,2,0
7,2013,9,Away,SEA,L,24-27,123.1,17,23,73.9,168,7.3,2,0,3,4,13,3.3,10,0,0,0
8,2013,10,Home,MIA,W,19-22,69.3,11,21,52.4,139,6.6,1,1,2,4,-3,-0.7,5,0,0,0
9,2013,11,Home,ATL,W,28-41,137.5,20,23,87,231,10,2,0,2,1,4,4,4,0,0,0
10,2013,12,Away,DET,W,24-21,138.4,14,21,66.7,247,11.8,2,0,4,4,-17,-4.2,-1,0,0,0
11,2013,13,Away,CAR,L,6-27,73.5,14,21,66.7,180,8.6,0,1,5,2,3,1.5,4,0,1,1
12,2013,14,Home,BUF,W,6-27,40.4,9,25,36,90,3.6,2,2,1,1,0,0,0,0,0,0
13,2013,15,Home,SF,L,33-14,75.5,18,34,52.9,179,5.3,2,1,4,0,0,0,0,0,0,0
14,2013,16,Away,STL,L,13-23,78.7,16,26,61.5,158,6.1,0,0,7,2,3,1.5,3,0,1,1
15,2013,17,Away,NO,L,17-42,75.2,22,41,53.7,219,5.3,2,1,2,0,0,0,0,0,0,0
0,2014,1,Away,TB,L,20-14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2014,2,Away,TB,L,19-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2014,3,Away,ATL,L,14-56,96,17,24,70.8,121,5,1,0,2,3,19,6.3,19,0,0,0
3,2014,4,Away,PIT,W,27-24,79.7,21,42,50,302,7.2,2,1,1,0,0,0,0,0,0,0
4,2014,5,Away,NO,L,31-37,91.8,19,32,59.4,249,7.8,2,1,1,1,0,0,0,0,1,0
5,2014,6,Home,BAL,L,48-17,83,24,44,54.5,314,7.1,2,1,5,0,0,0,0,0,1,0
6,2014,8,Home,MIN,L,19-13,81.1,19,28,67.9,171,6.1,1,1,5,3,13,4.3,6,0,0,0
7,2014,9,Away,CLE,L,17-22,72.8,17,33,51.5,260,7.9,2,2,2,3,17,5.7,9,0,0,0
8,2014,10,Away,TB,L,27-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2014,11,Away,WAS,W,27-7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2014,12,Away,CHI,L,13-21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2014,13,Away,TB,L,14-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2014,14,Away,DET,L,17-34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2014,15,Away,CAR,L,17-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2014,16,Away,TB,L,20-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2014,17,Away,TB,L,23-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2016,1,Away,ATL,W,31-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2016,2,Away,ARI,L,7-40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2016,3,Away,TB,L,37-32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2016,4,Away,TB,L,27-7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2016,5,Away,CAR,W,17-14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2016,7,Away,SF,W,34-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2016,8,Away,TB,L,30-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2016,9,Home,ATL,L,43-28,125.4,10,11,90.9,75,6.8,1,0,0,0,0,0,0,0,0,0
8,2016,10,Home,CHI,W,10-36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2016,11,Away,KC,W,19-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2016,12,Away,TB,W,5-14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2016,13,Away,SD,W,28-21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2016,14,Away,TB,W,11-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2016,15,Away,DAL,L,20-26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2016,16,Away,NO,L,24-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2016,17,Away,TB,W,16-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2017,1,Home,ATL,L,23-17,86.8,26,40,65,213,5.3,1,0,4,0,0,0,0,0,1,0
1,2017,2,Away,TB,L,7-29,76.2,31,45,68.9,301,6.7,1,2,1,0,0,0,0,0,1,1
2,2017,3,Home,PIT,W,17-23,74.2,15,22,68.2,101,4.6,1,1,2,3,4,1.3,2,0,1,0
3,2017,4,Away,GB,L,14-35,67.5,21,33,63.6,218,6.6,1,2,1,1,0,0,0,0,2,2
4,2017,5,Away,CHI,L,20-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2017,6,Away,BAL,W,27-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2017,7,Away,CHI,W,3-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2017,8,Away,NO,L,12-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2017,10,Away,CHI,L,23-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2017,11,Away,CHI,L,27-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2017,12,Away,PHI,L,3-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2017,13,Away,CHI,L,15-14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2017,14,Away,CIN,W,33-7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2017,15,Away,DET,L,10-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2017,16,Away,CHI,W,3-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2017,17,Away,MIN,L,10-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2018,1,Away,ARI,L,24-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2018,2,Away,LAR,L,0-34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2018,3,Away,ARI,L,16-14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2018,4,Away,ARI,L,20-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2018,5,Away,SF,W,28-18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2018,6,Away,MIN,L,17-27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2018,7,Away,ARI,L,45-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2018,8,Away,ARI,W,15-18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2018,10,Away,KC,L,14-26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2018,11,Away,ARI,L,23-21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2018,12,Away,LAC,L,10-45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2018,13,Away,GB,W,20-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2018,14,Away,ARI,L,17-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2018,15,Away,ATL,L,14-40,118.5,10,14,71.4,111,7.9,1,0,1,0,0,0,0,0,0,0
14,2018,16,Home,LAR,L,31-9,99.1,5,7,71.4,63,9,0,0,0,0,0,0,0,0,0,0
15,2018,17,Away,SEA,L,24-27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2019,1,Away,OAK,W,16-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
