,Year,Week,H/A,Opp,Result,Score,QB Rat,Cmp,Pa-Att,Pa-Pct,Pa-Yds,Pa-Y/A,Pa-TD,Int,Sacks,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2017,1,Home,ATL,L,23-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2017,2,Away,TB,L,7-29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2017,3,Home,PIT,W,17-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2017,4,Away,GB,L,14-35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2017,5,Home,MIN,L,20-17,60.1,12,25,48,128,5.1,1,1,1,3,22,7.3,13,0,1,1
5,2017,6,Away,BAL,W,27-24,94,8,16,50,113,7.1,1,0,4,4,32,8,19,0,2,1
6,2017,7,Home,CAR,W,3-17,101.8,4,7,57.1,107,15.3,0,0,4,5,3,0.6,7,0,0,0
7,2017,8,Away,NO,L,12-20,46.9,14,32,43.8,164,5.1,0,1,2,3,53,17.7,46,0,0,0
8,2017,10,Home,GB,L,23-16,97,21,35,60,297,8.5,1,0,5,0,0,0,0,0,0,0
9,2017,11,Home,DET,L,27-24,88.1,18,30,60,179,6,1,0,1,6,53,8.8,19,0,1,1
10,2017,12,Away,PHI,L,3-31,38.3,17,33,51.5,147,4.5,0,2,2,4,12,3,11,0,2,0
11,2017,13,Home,SF,L,15-14,117.2,12,15,80,102,6.8,1,0,2,4,19,4.8,9,0,2,0
12,2017,14,Away,CIN,W,33-7,112.4,25,32,78.1,271,8.5,1,0,2,2,5,2.5,4,1,0,0
13,2017,15,Away,DET,L,10-20,66.8,31,46,67.4,314,6.8,1,3,2,2,3,1.5,5,0,1,0
14,2017,16,Home,CLE,W,3-20,87.8,14,23,60.9,193,8.4,0,0,5,7,44,6.3,14,1,1,0
15,2017,17,Away,MIN,L,10-23,69,20,36,55.6,178,4.9,0,0,1,1,2,2,2,0,0,0
0,2018,1,Away,GB,L,23-24,77.2,23,35,65.7,171,4.9,0,0,4,7,32,4.6,9,1,2,1
1,2018,2,Home,SEA,W,17-24,83,25,34,73.5,200,5.9,2,2,2,5,24,4.8,17,0,0,0
2,2018,3,Away,ARI,W,16-14,73.5,24,35,68.6,220,6.3,0,1,3,2,8,4,7,0,1,1
3,2018,4,Home,TB,W,10-48,154.6,19,26,73.1,354,13.6,6,0,1,3,53,17.7,26,0,0,0
4,2018,6,Away,MIA,L,28-31,122.5,22,31,71,316,10.2,3,1,2,8,47,5.9,28,0,0,0
5,2018,7,Home,NE,L,38-31,69.8,26,50,52,333,6.7,2,2,2,6,81,13.5,39,1,0,0
6,2018,8,Home,NYJ,W,10-24,102.7,16,29,55.2,220,7.6,2,0,2,6,51,8.5,13,0,0,0
7,2018,9,Away,BUF,W,41-9,76,12,20,60,135,6.8,1,1,1,1,6,6,6,0,1,0
8,2018,10,Home,DET,W,22-34,148.6,23,30,76.7,355,11.8,3,0,1,3,18,6,8,1,0,0
9,2018,11,Home,MIN,W,20-25,61.9,20,31,64.5,165,5.3,1,2,1,10,43,4.3,13,0,0,0
10,2018,12,Away,DET,W,23-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2018,13,Away,NYG,L,27-30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2018,14,Home,LAR,W,6-15,33.3,16,30,53.3,110,3.7,1,3,1,6,23,3.8,13,0,0,0
13,2018,15,Home,GB,W,17-24,120.4,20,28,71.4,235,8.4,2,0,1,3,16,5.3,14,0,1,0
14,2018,16,Away,SF,W,14-9,113.5,25,29,86.2,246,8.5,1,0,3,5,3,0.6,3,0,1,1
