,Year,Week,H/A,Opp,Result,Score,QB Rat,Cmp,Pa-Att,Pa-Pct,Pa-Yds,Pa-Y/A,Pa-TD,Int,Sacks,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2017,1,Away,BUF,W,12-21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2017,2,Away,CAR,L,3-9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2017,3,Away,BUF,W,16-26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2017,4,Away,ATL,W,23-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2017,5,Away,CIN,L,16-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2017,7,Away,BUF,W,27-30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2017,8,Away,BUF,W,14-34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2017,9,Away,NYJ,L,21-34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2017,10,Home,NO,L,47-10,126.7,7,10,70,79,7.9,1,0,0,0,0,0,0,0,0,0
9,2017,11,Away,LAC,L,24-54,17.9,6,14,42.9,66,4.7,0,5,0,2,4,2,4,0,1,0
10,2017,12,Away,KC,W,16-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2017,13,Home,NE,L,23-3,49.3,6,15,40,50,3.3,0,0,1,1,9,9,9,0,0,0
12,2017,14,Home,IND,W,7-13,100.8,5,10,50,57,5.7,1,0,0,4,10,2.5,7,0,1,0
13,2017,15,Away,BUF,W,16-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2017,16,Away,NE,L,16-37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2017,17,Away,MIA,W,22-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2018,1,Away,BAL,W,3-47,0,5,18,27.8,24,1.3,0,2,3,1,1,1,1,0,0,0
1,2018,6,Away,HOU,W,13-20,53.1,6,12,50,61,5.1,1,2,0,1,2,2,2,0,0,0
2,2018,8,Home,NE,W,25-6,114.6,2,2,100,23,11.5,0,0,0,0,0,0,0,0,0,0
3,2018,9,Home,CHI,W,41-9,45.4,31,49,63.3,189,3.9,0,3,4,8,46,5.8,24,1,0,0
