,Year,Week,H/A,Opp,Result,Score,QB Rat,Cmp,Pa-Att,Pa-Pct,Pa-Yds,Pa-Y/A,Pa-TD,Int,Sacks,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2017,1,Away,DEN,L,21-24,99.6,22,33,66.7,192,5.8,3,1,1,0,0,0,0,0,0,0
1,2017,2,Home,MIA,L,19-17,110.6,31,39,79.5,331,8.5,1,0,1,1,0,0,0,0,0,0
2,2017,3,Home,KC,L,24-10,37.2,20,40,50,237,5.9,0,3,2,0,0,0,0,0,0,0
3,2017,4,Home,PHI,L,26-24,105.9,22,38,57.9,347,9.1,2,0,2,0,0,0,0,0,1,1
4,2017,5,Away,NYG,W,27-22,79.5,21,44,47.7,258,5.9,3,1,0,4,5,1.3,8,0,1,0
5,2017,6,Away,OAK,W,17-16,100.2,25,36,69.4,268,7.4,1,0,1,2,-4,-2,-2,0,0,0
6,2017,7,Home,DEN,W,0-21,105.1,15,26,57.7,183,7,2,0,3,0,0,0,0,0,0,0
7,2017,8,Away,NE,L,13-21,76,17,30,56.7,212,7.1,1,1,1,0,0,0,0,0,1,0
8,2017,10,Away,JAC,L,17-20,82.6,21,37,56.8,235,6.4,2,1,0,2,-1,-0.5,0,0,1,0
9,2017,11,Home,BUF,W,24-54,107.7,20,32,62.5,251,7.8,2,0,1,0,0,0,0,0,1,0
10,2017,12,Away,DAL,W,28-6,149.1,27,33,81.8,434,13.2,3,0,0,5,-5,-1,0,0,0,0
11,2017,13,Home,CLE,W,10-19,103.2,31,43,72.1,344,8,1,0,1,2,-2,-1,-1,0,1,0
12,2017,14,Home,WAS,W,13-30,114.9,18,31,58.1,319,10.3,2,0,2,0,0,0,0,0,0,0
13,2017,15,Away,KC,L,13-30,49.2,20,36,55.6,227,6.3,1,3,2,0,0,0,0,0,0,0
14,2017,16,Away,NYJ,W,14-7,86.5,22,40,55,290,7.3,1,0,0,1,0,0,0,0,1,0
15,2017,17,Home,OAK,W,10-30,135.8,28,37,75.7,387,10.5,3,0,1,1,5,5,5,0,1,0
0,2018,1,Home,KC,L,38-28,103.7,34,51,66.7,424,8.3,3,1,1,0,0,0,0,0,0,0
1,2018,2,Away,BUF,W,31-20,143.2,23,27,85.2,256,9.5,3,0,2,3,5,1.7,7,0,1,0
2,2018,3,Away,LAR,L,23-35,105.7,18,30,60,226,7.5,2,0,1,0,0,0,0,0,0,0
3,2018,4,Home,SF,W,27-29,97.2,25,39,64.1,250,6.4,3,1,1,4,-3,-0.7,1,0,0,0
4,2018,5,Home,OAK,W,10-26,143.4,22,27,81.5,339,12.6,2,0,1,3,-2,-0.7,0,0,0,0
5,2018,6,Away,CLE,W,38-14,103.5,11,20,55,207,10.4,2,1,1,0,0,0,0,0,0,0
6,2018,7,Home,TEN,W,19-20,137.7,19,26,73.1,306,11.8,2,0,2,1,-1,-1,-1,0,0,0
7,2018,9,Away,SEA,W,25-17,105.9,13,26,50,228,8.8,2,0,2,0,0,0,0,0,0,0
8,2018,10,Away,OAK,W,20-6,105.1,18,26,69.2,223,8.6,2,1,1,1,1,1,1,0,0,0
9,2018,11,Home,DEN,L,23-22,91.3,28,43,65.1,401,9.3,2,2,3,1,-4,-4,-4,0,0,0
10,2018,12,Home,ARI,W,10-45,138.4,28,29,96.6,259,8.9,3,0,4,1,3,3,3,0,1,1
11,2018,13,Away,PIT,W,33-30,115.4,26,36,72.2,299,8.3,2,0,2,0,0,0,0,0,0,0
12,2018,14,Home,CIN,W,21-26,99.8,19,29,65.5,220,7.6,1,0,2,2,7,3.5,5,0,0,0
13,2018,15,Away,KC,W,29-28,89,26,38,68.4,313,8.2,2,2,5,0,0,0,0,0,0,0
14,2018,16,Home,BAL,L,22-10,51.7,23,37,62.2,181,4.9,0,2,4,1,1,1,1,0,0,0
15,2018,17,Away,DEN,W,23-9,60.4,14,24,58.3,176,7.3,1,2,0,1,0,0,0,0,0,0
0,2019,1,Home,IND,W,24-30,121.3,25,34,73.5,333,9.8,3,1,4,1,6,6,6,0,1,0
1,2019,2,Away,DET,L,10-13,73,21,36,58.3,293,8.1,0,1,1,1,12,12,12,0,0,0
2,2019,3,Home,HOU,L,27-20,101.5,31,46,67.4,318,6.9,2,0,5,2,9,4.5,8,0,1,1
3,2019,4,Away,MIA,W,30-10,131.9,24,30,80,310,10.3,2,0,1,1,0,0,0,0,1,0
