,Year,Week,H/A,Opp,Result,Score,QB Rat,Cmp,Pa-Att,Pa-Pct,Pa-Yds,Pa-Y/A,Pa-TD,Int,Sacks,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2013,1,Home,PHI,L,33-27,77.7,30,49,61.2,329,6.7,2,2,3,5,24,4.8,12,0,1,0
1,2013,2,Away,GB,L,20-38,104.2,26,40,65,320,8,3,1,1,4,1,0.3,4,0,0,0
2,2013,3,Home,DET,L,27-20,74.2,32,50,64,326,6.5,0,1,2,6,37,6.2,21,0,3,1
3,2013,4,Away,OAK,W,24-14,91.7,18,31,58.1,227,7.3,1,0,1,3,10,3.3,7,0,0,0
4,2013,6,Away,DAL,L,16-31,58.3,19,39,48.7,246,6.3,0,1,3,9,77,8.6,26,0,2,1
5,2013,7,Home,CHI,W,41-45,105.2,18,29,62.1,298,10.3,2,1,1,11,84,7.6,23,0,1,0
6,2013,8,Away,DEN,L,21-45,45.4,15,30,50,132,4.4,1,2,3,5,7,1.4,4,0,2,1
7,2013,9,Home,SD,W,24-30,86.8,23,32,71.9,291,9.1,0,1,0,6,17,2.8,10,0,0,0
8,2013,10,Away,MIN,L,27-34,114.8,24,37,64.9,281,7.6,3,0,4,7,44,6.3,12,0,0,0
9,2013,11,Away,PHI,L,16-24,81.1,17,35,48.6,264,7.5,2,1,4,10,44,4.4,14,0,1,1
10,2013,12,Home,SF,L,27-6,56.3,16,26,61.5,118,4.5,0,1,6,4,27,6.8,11,0,1,0
11,2013,13,Home,NYG,L,24-17,102,24,32,75,207,6.5,1,0,5,12,88,7.3,20,0,0,0
12,2013,14,Home,KC,L,45-10,63.6,12,26,46.2,164,6.3,1,1,5,4,29,7.3,18,0,0,0
13,2013,15,Away,ATL,L,26-27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2013,16,Away,WAS,L,24-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2013,17,Away,NYG,L,6-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2014,1,Away,HOU,L,6-17,96.7,29,37,78.4,267,7.2,0,0,3,3,2,0.7,1,0,2,1
1,2014,2,Home,JAC,W,10-41,109.7,2,3,66.7,38,12.7,0,0,1,2,22,11,12,0,0,0
2,2014,3,Away,PHI,L,34-37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2014,4,Away,WAS,L,45-14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2014,5,Away,WAS,L,27-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2014,6,Away,ARI,L,20-30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2014,7,Away,WAS,W,17-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2014,8,Away,DAL,W,20-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2014,9,Away,MIN,L,26-29,90,18,28,64.3,251,9,1,1,5,7,24,3.4,14,0,0,0
9,2014,11,Home,TB,L,27-7,73.3,23,32,71.9,207,6.5,1,2,6,6,41,6.8,10,0,1,0
10,2014,12,Away,SF,L,13-17,73.6,11,19,57.9,106,5.6,0,0,5,4,11,2.8,8,0,1,1
