,Year,Week,H/A,Opp,Result,Score,QB Rat,Cmp,Pa-Att,Pa-Pct,Pa-Yds,Pa-Y/A,Pa-TD,Int,Sacks,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2013,1,Away,CAR,W,12-7,115.7,25,33,75.8,320,9.7,1,0,2,5,7,1.4,7,0,1,1
1,2013,2,Home,SF,W,3-29,63.9,8,19,42.1,142,7.5,1,1,4,10,33,3.3,11,0,1,0
2,2013,3,Home,JAC,W,17-45,117.5,14,21,66.7,202,9.6,4,1,2,2,14,7,10,0,1,1
3,2013,4,Away,HOU,W,23-20,49.7,12,23,52.2,123,5.3,0,1,5,10,77,7.7,25,0,1,0
4,2013,5,Away,IND,L,28-34,78.7,15,31,48.4,210,6.8,2,1,2,13,102,7.8,22,0,1,1
5,2013,6,Home,TEN,W,13-20,98.5,23,31,74.2,257,8.3,0,0,2,10,61,6.1,23,0,0,0
6,2013,7,Away,ARI,W,34-22,122.1,18,29,62.1,235,8.1,3,0,3,8,29,3.6,11,0,3,2
7,2013,8,Away,STL,W,14-9,117.6,10,18,55.6,139,7.7,2,0,7,3,16,5.3,17,0,0,0
8,2013,9,Home,TB,W,24-27,91.3,19,26,73.1,217,8.3,2,2,0,6,36,6,16,1,0,0
9,2013,10,Away,ATL,W,33-10,134.6,19,26,73.1,287,11,2,0,1,3,20,6.7,10,0,0,0
10,2013,11,Home,MIN,W,20-41,151.4,13,18,72.2,230,12.8,2,0,1,2,14,7,12,0,0,0
11,2013,13,Home,NO,W,7-34,139.6,22,30,73.3,310,10.3,3,0,1,8,47,5.9,15,0,0,0
12,2013,14,Away,SF,L,17-19,81.9,15,25,60,199,8,1,1,2,1,2,2,2,0,1,0
13,2013,15,Away,NYG,W,23-0,86.3,18,27,66.7,206,7.6,1,1,4,8,50,6.3,16,0,1,0
14,2013,16,Home,ARI,L,17-10,49.6,11,27,40.7,108,4,1,1,4,2,32,16,27,0,0,0
15,2013,17,Home,STL,W,9-27,102.1,15,23,65.2,172,7.5,1,0,4,5,-1,-0.2,8,0,0,0
0,2014,1,Home,GB,W,16-36,110.9,19,28,67.9,191,6.8,2,0,1,7,29,4.1,13,0,0,0
1,2014,2,Away,SD,L,21-30,119.1,17,25,68,202,8.1,2,0,2,2,18,9,13,0,1,0
2,2014,3,Home,DEN,W,20-26,99.9,24,34,70.6,258,7.6,2,1,3,9,40,4.4,9,0,1,0
3,2014,5,Away,WAS,W,27-17,127.3,18,24,75,201,8.4,2,0,3,11,122,11.1,29,1,2,0
4,2014,6,Home,DAL,L,30-23,47.6,14,28,50,126,4.5,0,1,2,2,12,6,9,1,1,0
5,2014,7,Away,STL,L,26-28,110.1,23,36,63.9,313,8.7,2,0,3,7,106,15.1,52,1,0,0
6,2014,8,Away,CAR,W,13-9,77.5,20,32,62.5,199,6.2,1,1,1,6,35,5.8,15,0,1,0
7,2014,9,Home,OAK,W,24-30,63.9,17,35,48.6,179,5.1,0,0,1,8,31,3.9,19,0,0,0
8,2014,10,Home,NYG,W,17-38,53.7,10,17,58.8,172,10.1,0,2,2,14,107,7.6,26,1,1,0
9,2014,11,Away,KC,L,20-24,98.2,20,32,62.5,178,5.6,2,0,2,8,71,8.9,14,0,0,0
10,2014,12,Home,ARI,W,3-19,121.6,17,22,77.3,211,9.6,1,0,7,10,73,7.3,40,0,0,0
11,2014,13,Away,SF,W,19-3,118.8,15,22,68.2,236,10.7,1,0,4,7,35,5,12,0,2,0
12,2014,14,Away,PHI,W,24-14,99.3,22,37,59.5,263,7.1,2,0,2,10,48,4.8,26,1,0,0
