,Year,Week,H/A,Opp,Result,Score,QB Rat,Cmp,Pa-Att,Pa-Pct,Pa-Yds,Pa-Y/A,Pa-TD,Int,Sacks,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2019,1,Away,SEA,L,20-21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2019,2,Home,SF,L,41-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2019,3,Away,BUF,L,17-21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2019,4,Away,PIT,L,3-27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2019,5,Home,ARI,L,26-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2019,6,Away,BAL,L,17-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2019,7,Home,JAC,L,27-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2019,8,Away,LAR,L,10-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2019,10,Home,BAL,L,49-13,66.9,16,30,53.3,167,5.6,1,1,2,5,22,4.4,16,0,1,1
9,2019,11,Away,OAK,L,10-17,39,13,31,41.9,115,3.7,0,1,5,3,47,15.7,24,0,1,1
10,2019,12,Home,PIT,L,16-10,84.1,12,26,46.2,192,7.4,1,0,4,2,8,4,7,0,2,1
11,2019,13,Home,NYJ,W,6-22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2019,14,Away,CLE,L,19-27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2019,15,Home,NE,L,34-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2019,16,Away,MIA,L,35-38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2019,17,Home,CLE,W,23-33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
