,Year,Week,H/A,Opp,Result,Score,QB Rat,Cmp,Pa-Att,Pa-Pct,Pa-Yds,Pa-Y/A,Pa-TD,Int,Sacks,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2013,1,Away,PIT,W,16-9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2013,2,Away,HOU,L,24-30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2013,3,Away,TEN,W,17-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2013,4,Home,NYJ,W,13-38,125,3,8,37.5,108,13.5,1,0,0,2,-2,-1,-1,0,0,0
4,2013,5,Home,KC,L,26-17,57.7,21,41,51.2,247,6,1,2,3,6,50,8.3,26,1,1,0
5,2013,6,Away,SEA,L,13-20,46.8,17,29,58.6,171,5.9,0,2,3,6,33,5.5,11,0,2,0
6,2013,7,Away,TEN,L,31-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2013,9,Away,STL,W,28-21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2013,10,Home,JAC,L,29-27,111.2,22,33,66.7,264,8,2,0,1,3,13,4.3,8,1,2,1
9,2013,11,Home,IND,L,30-27,111.6,22,28,78.6,222,7.9,1,0,2,4,26,6.5,15,0,0,0
10,2013,12,Away,OAK,W,23-19,109.2,30,42,71.4,320,7.6,2,0,2,5,26,5.2,10,0,2,0
11,2013,13,Away,IND,L,14-22,47.2,21,37,56.8,201,5.4,1,3,1,8,54,6.8,16,1,1,1
12,2013,14,Away,DEN,L,28-51,73.6,13,24,54.2,172,7.2,1,1,2,1,4,4,4,0,0,0
13,2013,15,Home,ARI,L,37-34,91.3,36,58,62.1,402,6.9,4,2,3,3,22,7.3,17,0,1,0
14,2013,16,Away,JAC,W,20-16,82.4,17,26,65.4,181,7,1,1,3,3,1,0.3,3,0,0,0
15,2013,17,Home,HOU,W,10-16,65.6,15,24,62.5,166,6.9,0,1,1,2,-2,-1,-1,0,0,0
0,2014,1,Home,WAS,W,6-17,109.3,14,22,63.6,206,9.4,1,0,0,5,10,2,9,0,1,0
1,2014,2,Away,OAK,W,30-14,129.1,14,19,73.7,139,7.3,2,0,0,0,0,0,0,0,0,0
2,2014,3,Away,NYG,L,17-30,59.6,20,34,58.8,289,8.5,1,3,2,7,34,4.9,8,1,1,0
3,2014,4,Home,BUF,W,17-23,75.1,25,37,67.6,268,7.2,1,2,3,5,14,2.8,11,0,1,0
4,2014,5,Away,DAL,L,17-20,64.4,16,25,64,154,6.2,0,1,0,3,3,1,2,0,0,0
5,2014,6,Home,IND,L,33-28,109.3,15,23,65.2,212,9.2,1,0,5,1,5,5,5,0,1,1
6,2014,7,Away,PIT,L,23-30,98.7,21,32,65.6,262,8.2,2,1,1,5,16,3.2,6,0,0,0
7,2014,8,Away,TEN,W,30-16,83.9,19,35,54.3,227,6.5,1,0,5,4,12,3,12,0,0,0
