,Year,Week,H/A,Opp,Result,Score,QB Rat,Cmp,Pa-Att,Pa-Pct,Pa-Yds,Pa-Y/A,Pa-TD,Int,Sacks,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2019,1,Home,SF,L,31-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2019,2,Away,CAR,W,20-14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2019,3,Home,NYG,L,32-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2019,4,Away,LAR,W,55-40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2019,5,Away,NO,L,24-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2019,6,Home,CAR,L,37-26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2019,8,Away,TEN,L,23-27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2019,9,Away,SEA,L,34-40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2019,10,Home,ARI,W,27-30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2019,11,Home,NO,L,34-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2019,12,Away,ATL,W,35-22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2019,13,Away,JAC,W,28-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2019,14,Home,IND,W,35-38,62.5,2,4,50,18,4.5,0,0,0,0,0,0,0,0,0,0
13,2019,15,Away,DET,W,38-17,0,0,0,0,0,0,0,0,0,4,-1,-0.2,0,0,0,0
14,2019,16,Home,HOU,L,23-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2019,17,Home,ATL,L,28-22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
