,Year,Week,H/A,Opp,Result,Score,QB Rat,Cmp,Pa-Att,Pa-Pct,Pa-Yds,Pa-Y/A,Pa-TD,Int,Sacks,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2013,1,Away,CLE,W,23-10,82.3,24,38,63.2,272,7.2,1,1,4,5,3,0.6,3,0,0,0
1,2013,2,Away,IND,W,24-20,107.4,23,34,67.6,319,9.4,1,0,5,4,1,0.3,2,0,3,1
2,2013,3,Home,ATL,W,23-27,94.5,24,35,68.6,236,6.7,2,1,5,2,7,3.5,8,0,2,1
3,2013,4,Away,NO,L,17-38,57.9,22,35,62.9,249,7.1,1,3,4,4,48,12,26,0,1,1
4,2013,5,Home,BAL,L,26-23,86.1,21,40,52.5,307,7.7,1,0,6,2,6,3,6,0,0,0
5,2013,7,Home,BUF,L,23-21,71.2,19,37,51.4,194,5.2,3,2,2,3,5,1.7,3,0,1,1
6,2013,8,Away,NE,L,17-27,60.8,22,42,52.4,192,4.6,2,2,6,1,12,12,12,0,1,1
7,2013,9,Home,CIN,W,20-22,92.6,20,28,71.4,208,7.4,0,0,3,1,1,1,1,1,0,0
8,2013,10,Away,TB,L,19-22,84.3,27,42,64.3,229,5.5,2,1,2,1,2,2,2,0,0,0
9,2013,11,Home,SD,W,16-20,84,22,35,62.9,268,7.7,1,1,4,4,21,5.3,10,0,0,0
10,2013,12,Home,CAR,L,20-16,86.4,28,42,66.7,310,7.4,1,1,3,4,36,9,19,0,0,0
11,2013,13,Away,NYJ,W,23-3,94.2,28,43,65.1,331,7.7,2,1,1,3,22,7.3,18,0,0,0
12,2013,14,Away,PIT,W,34-28,95.5,20,33,60.6,200,6.1,3,1,2,3,56,18.7,48,0,1,0
13,2013,15,Home,NE,W,20-24,120.6,25,37,67.6,312,8.4,3,0,4,1,-1,-1,-1,0,0,0
14,2013,16,Away,BUF,L,0-19,45.6,10,27,37,82,3,0,0,7,0,0,0,0,0,0,0
15,2013,17,Home,NYJ,L,20-7,42.1,20,40,50,204,5.1,1,3,0,2,19,9.5,20,0,0,0
0,2014,1,Home,NE,W,20-33,79.9,18,32,56.3,178,5.6,2,1,1,3,-2,-0.7,0,0,1,0
1,2014,2,Away,BUF,L,10-29,73.6,31,49,63.3,241,4.9,1,1,4,4,11,2.8,6,0,0,0
2,2014,3,Home,KC,L,34-15,70.4,21,43,48.8,205,4.8,1,0,4,1,9,9,9,0,1,0
3,2014,4,Away,OAK,W,38-14,109.3,23,31,74.2,278,9,2,1,0,5,35,7,18,0,0,0
4,2014,6,Home,GB,L,27-24,83.3,20,31,64.5,244,7.9,2,2,1,3,49,16.3,40,0,0,0
5,2014,7,Away,CHI,W,27-14,123.6,25,32,78.1,277,8.7,2,0,4,6,48,8,30,0,0,0
6,2014,8,Away,JAC,W,27-13,73.3,16,29,55.2,196,6.8,1,1,3,5,48,9.6,30,0,0,0
7,2014,9,Home,SD,W,0-37,125.6,24,34,70.6,288,8.5,3,0,0,4,47,11.8,22,0,1,0
8,2014,10,Away,DET,L,16-20,81.8,27,38,71.1,207,5.4,1,1,3,2,0,0,3,0,1,0
9,2014,11,Home,BUF,W,9-22,114.8,26,34,76.5,240,7.1,2,0,5,4,16,4,15,0,1,1
10,2014,12,Away,DEN,L,36-39,104.9,26,36,72.2,228,6.3,3,1,1,4,15,3.8,8,1,0,0
11,2014,13,Away,NYJ,W,16-13,77.7,25,35,71.4,235,6.7,0,1,2,4,13,3.3,10,0,0,0
12,2014,14,Home,BAL,L,28-13,98.9,23,33,69.7,227,6.9,1,0,6,2,6,3,7,0,1,0
13,2014,15,Away,NE,L,13-41,73.5,29,47,61.7,346,7.4,1,2,4,3,21,7,15,0,2,0
14,2014,16,Home,MIN,W,35-37,118.8,35,47,74.5,396,8.4,4,1,1,6,-5,-0.8,5,0,0,0
15,2014,17,Home,NYJ,L,37-24,87.4,23,39,59,259,6.6,1,0,7,0,0,0,0,0,1,1
0,2015,1,Away,WAS,W,17-10,93.5,22,34,64.7,226,6.6,1,0,3,3,7,2.3,5,0,1,1
1,2015,2,Away,JAC,L,20-23,108,30,44,68.2,359,8.2,2,0,2,3,17,5.7,9,0,1,0
2,2015,3,Home,BUF,L,41-14,59.7,26,49,53.1,297,6.1,2,3,2,1,-1,-1,-1,0,1,0
3,2015,4,Home,NYJ,L,27-14,53,19,44,43.2,198,4.5,2,2,3,1,4,4,4,0,1,0
4,2015,6,Away,TEN,W,38-10,97.8,22,29,75.9,266,9.2,2,2,2,2,14,7,10,0,0,0
5,2015,7,Home,HOU,W,26-44,158.3,18,19,94.7,282,14.8,4,0,4,1,3,3,3,0,0,0
