,Year,Week,H/A,Opp,Result,Score,QB Rat,Cmp,Pa-Att,Pa-Pct,Pa-Yds,Pa-Y/A,Pa-TD,Int,Sacks,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2018,1,Away,DET,W,48-17,116.8,16,21,76.2,198,9.4,2,1,2,6,-1,-0.2,6,0,0,0
1,2018,2,Home,MIA,L,20-12,74.6,25,41,61,334,8.1,1,2,3,2,1,0.5,1,0,1,0
2,2018,3,Away,CLE,L,17-21,38.2,15,31,48.4,169,5.5,0,2,2,0,0,0,0,0,0,0
3,2018,4,Away,JAC,L,12-31,74,17,34,50,167,4.9,1,0,3,2,8,4,5,0,0,0
4,2018,5,Home,DEN,W,16-34,98.1,10,22,45.5,198,9,3,1,1,3,5,1.7,3,0,0,0
5,2018,6,Home,IND,W,34-42,113.9,24,30,80,280,9.3,2,1,2,6,8,1.3,6,0,0,0
6,2018,7,Home,MIN,L,37-17,34.4,17,42,40.5,206,4.9,1,3,3,6,18,3,10,1,2,1
7,2018,8,Away,CHI,L,10-24,75.8,14,29,48.3,153,5.3,1,0,1,5,22,4.4,13,0,1,0
8,2018,9,Away,MIA,L,6-13,31.8,21,39,53.8,229,5.9,0,4,4,0,0,0,0,0,0,0
9,2018,10,Home,BUF,L,41-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2018,12,Home,NE,L,27-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2018,13,Away,TEN,L,22-26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2018,14,Away,BUF,W,27-23,83.7,16,24,66.7,170,7.1,1,1,0,4,10,2.5,9,0,0,0
13,2018,15,Home,HOU,L,29-22,100,24,38,63.2,253,6.7,2,0,3,6,35,5.8,14,0,0,0
14,2018,16,Home,GB,L,44-38,128.4,24,35,68.6,341,9.7,3,0,2,3,4,1.3,3,0,0,0
15,2018,17,Away,NE,L,3-38,74.6,16,28,57.1,167,6,0,0,4,1,28,28,28,0,1,1
0,2019,1,Home,BUF,L,17-16,84.9,28,41,68.3,175,4.3,1,0,4,1,0,0,0,0,1,0
1,2019,2,Home,CLE,L,23-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2019,3,Away,NE,L,14-30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2019,5,Away,PHI,L,6-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2019,6,Home,DAL,W,22-24,113.8,23,32,71.9,338,10.6,2,1,2,5,1,0.2,3,0,0,0
5,2019,7,Home,NE,L,33-0,3.6,11,32,34.4,86,2.7,0,4,1,2,-1,-0.5,0,0,1,1
6,2019,8,Away,JAC,L,15-29,73.3,21,30,70,218,7.3,2,3,8,1,-1,-1,-1,0,1,0
7,2019,9,Away,MIA,L,18-26,85.4,27,39,69.2,260,6.7,1,1,3,2,1,0.5,1,0,0,0
8,2019,10,Home,NYG,W,27-34,97.9,19,30,63.3,230,7.7,1,0,2,3,25,8.3,24,1,0,0
9,2019,11,Away,WAS,W,34-17,121.2,19,30,63.3,293,9.8,4,1,2,2,-3,-1.5,-1,0,1,0
10,2019,12,Home,OAK,W,3-34,127.8,20,29,69,315,10.9,2,0,1,4,16,4,8,1,1,0
11,2019,13,Away,CIN,L,6-22,71.4,28,48,58.3,239,5,0,0,4,2,9,4.5,7,0,0,0
12,2019,14,Home,MIA,W,21-22,86.6,20,36,55.6,270,7.5,2,1,1,3,3,1,4,0,1,0
13,2019,15,Away,BAL,L,21-42,85.2,18,32,56.3,218,6.8,2,1,1,1,11,11,11,0,1,1
14,2019,16,Home,PIT,W,10-16,95.5,16,26,61.5,183,7,1,0,2,4,3,0.8,4,0,3,1
15,2019,17,Away,BUF,W,13-6,76,23,36,63.9,199,5.5,1,1,2,3,-2,-0.7,0,0,1,0
