,Year,Week,H/A,Opp,Result,Score,QB Rat,Cmp,Pa-Att,Pa-Pct,Pa-Yds,Pa-Y/A,Pa-TD,Int,Sacks,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2017,1,Away,MIN,L,19-29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2017,2,Home,NE,L,36-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2017,3,Away,CAR,W,34-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2017,4,Away,MIA,W,20-0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2017,6,Home,DET,W,38-52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2017,7,Away,GB,W,26-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2017,8,Home,CHI,W,12-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2017,9,Home,TB,W,10-30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2017,10,Away,BUF,W,47-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2017,11,Home,WAS,W,31-34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2017,12,Away,LAR,L,20-26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2017,13,Home,CAR,W,21-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2017,14,Away,ATL,L,17-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2017,15,Home,NYJ,W,19-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2017,16,Home,ATL,W,13-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2017,17,Away,TB,L,24-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2018,1,Home,TB,L,48-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2018,2,Home,CLE,W,18-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2018,3,Away,ATL,W,43-37,0,0,0,0,0,0,0,0,0,3,39,13,35,0,0,0
3,2018,4,Away,NYG,W,33-18,64.6,1,2,50,10,5,0,0,0,4,28,7,19,0,0,0
4,2018,5,Home,WAS,W,19-43,0,0,0,0,0,0,0,0,0,5,23,4.6,6,1,0,0
5,2018,7,Away,BAL,W,24-23,0,0,0,0,0,0,0,0,0,6,35,5.8,11,0,1,1
6,2018,8,Away,MIN,W,30-20,118.8,1,1,100,44,44,0,0,0,3,-2,-0.7,2,0,0,0
7,2018,9,Home,LAR,W,35-45,0,0,0,0,0,0,0,0,0,2,10,5,9,0,0,0
8,2018,10,Away,CIN,W,51-14,39.6,0,1,0,0,0,0,0,0,4,24,6,8,0,0,0
9,2018,11,Home,PHI,W,7-48,64.6,1,2,50,10,5,0,0,0,3,4,1.3,2,0,0,0
10,2018,12,Home,ATL,W,17-31,0,0,0,0,0,0,0,0,1,2,13,6.5,8,0,0,0
11,2018,13,Away,DAL,L,10-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2018,14,Away,TB,W,28-14,0,0,0,0,0,0,0,0,0,1,-6,-6,-6,0,0,0
13,2018,15,Away,CAR,W,12-9,0,0,0,0,0,0,0,0,0,1,17,17,17,0,0,0
14,2018,16,Home,PIT,W,28-31,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
15,2018,17,Home,CAR,L,33-14,0,0,0,0,0,0,0,0,0,3,11,3.7,9,1,0,0
0,2019,1,Home,HOU,W,28-30,0,0,0,0,0,0,0,0,0,2,8,4,6,0,0,0
1,2019,2,Away,LAR,L,9-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2019,3,Away,SEA,W,33-27,0,0,0,0,0,0,0,0,0,1,5,5,5,0,0,0
3,2019,4,Home,DAL,W,10-12,0,0,0,0,0,0,0,0,0,2,16,8,18,0,0,0
4,2019,5,Home,TB,W,24-31,118.8,1,1,100,18,18,0,0,0,2,14,7,11,0,0,0
5,2019,6,Away,JAC,W,13-6,0,0,0,0,0,0,0,0,0,3,17,5.7,19,0,0,0
6,2019,7,Away,CHI,W,36-25,0,0,0,0,0,0,0,0,0,2,21,10.5,23,0,0,0
7,2019,8,Home,ARI,W,9-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2019,10,Home,ATL,L,26-9,118.8,1,1,100,17,17,0,0,0,1,11,11,11,0,0,0
9,2019,11,Away,TB,W,34-17,0,0,0,0,0,0,0,0,1,1,2,2,2,0,0,0
10,2019,12,Home,CAR,W,31-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2019,13,Away,ATL,W,26-18,39.6,0,1,0,0,0,0,0,0,2,33,16.5,30,1,0,0
12,2019,14,Home,SF,L,48-46,39.6,0,1,0,0,0,0,0,0,5,13,2.6,7,0,0,0
13,2019,15,Home,IND,W,7-34,0,0,0,0,0,0,0,0,0,2,1,0.5,5,0,0,0
14,2019,16,Away,TEN,W,38-28,85.4,1,2,50,20,10,0,0,0,2,11,5.5,7,0,0,0
15,2019,17,Away,CAR,W,42-10,0,0,0,0,0,0,0,0,0,2,4,2,2,0,0,0
