,Year,Week,H/A,Opp,Result,Score,QB Rat,Cmp,Pa-Att,Pa-Pct,Pa-Yds,Pa-Y/A,Pa-TD,Int,Sacks,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2013,1,Away,BUF,W,23-21,76.4,29,52,55.8,288,5.5,2,1,3,4,-4,-1,0,0,1,1
1,2013,2,Home,NYJ,W,10-13,71,19,39,48.7,185,4.7,1,0,1,2,-2,-1,0,0,0,0
2,2013,3,Home,TB,W,3-23,92.9,25,36,69.4,225,6.3,2,1,3,5,5,1,5,0,0,0
3,2013,4,Away,ATL,W,30-23,119.8,20,31,64.5,316,10.2,2,0,0,5,-2,-0.4,1,0,1,0
4,2013,5,Away,CIN,L,6-13,52.2,18,38,47.4,197,5.2,0,1,4,0,0,0,0,0,1,0
5,2013,6,Home,NO,W,27-30,74.7,25,43,58.1,269,6.3,1,1,5,2,16,8,11,0,0,0
6,2013,7,Away,NYJ,L,27-30,53.5,22,46,47.8,228,5,0,1,4,0,0,0,0,0,2,0
7,2013,8,Home,MIA,W,17-27,69.5,13,22,59.1,116,5.3,1,1,3,4,5,1.3,8,0,0,0
8,2013,9,Home,PIT,W,31-55,151.8,23,33,69.7,432,13.1,4,0,3,1,-1,-1,-1,0,0,0
9,2013,11,Away,CAR,L,20-24,91.2,29,40,72.5,296,7.4,1,1,2,1,3,3,3,0,0,0
10,2013,12,Home,DEN,W,31-34,107.4,34,50,68,344,6.9,3,0,3,2,0,0,1,0,2,1
11,2013,13,Away,HOU,W,34-31,104.8,29,41,70.7,371,9,2,1,1,0,0,0,0,0,0,0
12,2013,14,Home,CLE,W,26-27,91.7,32,52,61.5,418,8,2,1,4,2,1,0.5,2,0,1,1
13,2013,15,Away,MIA,L,20-24,85.7,34,55,61.8,364,6.6,2,1,1,0,0,0,0,0,0,0
14,2013,16,Away,BAL,W,41-7,87.3,14,26,53.8,172,6.6,1,0,2,0,0,0,0,0,0,0
15,2013,17,Home,BUF,W,20-34,68.4,14,24,58.3,122,5.1,1,1,1,4,-3,-0.7,0,0,1,0
0,2014,1,Away,MIA,L,20-33,69.7,29,56,51.8,249,4.4,1,0,4,1,3,3,3,0,2,2
1,2014,2,Away,MIN,W,30-7,103.1,14,21,66.7,149,7.1,1,0,1,1,0,0,0,0,0,0
2,2014,3,Home,OAK,W,9-16,91.5,24,37,64.9,234,6.3,1,0,2,3,-7,-2.3,-2,0,1,0
3,2014,4,Away,KC,L,14-41,59.9,14,23,60.9,159,6.9,1,2,2,0,0,0,0,0,2,1
4,2014,5,Home,CIN,W,17-43,110.7,23,35,65.7,292,8.3,2,0,1,4,13,3.3,6,0,0,0
5,2014,6,Away,BUF,W,37-22,139.6,27,37,73,361,9.8,4,0,2,4,3,0.8,4,0,0,0
6,2014,7,Home,NYJ,W,25-27,103.5,20,37,54.1,261,7.1,3,0,1,0,0,0,0,0,0,0
7,2014,8,Home,CHI,W,23-51,148.4,30,35,85.7,354,10.1,5,0,0,2,0,0,0,0,1,0
8,2014,9,Home,DEN,W,21-43,97.4,33,53,62.3,333,6.3,4,1,1,2,4,2,4,0,0,0
9,2014,11,Away,IND,W,42-20,85,19,30,63.3,257,8.6,2,2,0,2,-2,-1,-1,0,0,0
10,2014,12,Home,DET,W,9-34,94,38,53,71.7,349,6.6,2,1,0,0,0,0,0,0,0,0
11,2014,13,Away,GB,L,21-26,102.7,22,35,62.9,245,7,2,0,1,1,-1,-1,-1,0,0,0
12,2014,14,Away,SD,W,23-14,90.8,28,44,63.6,317,7.2,2,1,1,4,7,1.8,5,0,0,0
13,2014,15,Home,MIA,W,13-41,93.4,21,35,60,287,8.2,2,1,0,3,18,6,17,0,0,0
14,2014,16,Away,NYJ,W,17-16,76.1,23,35,65.7,182,5.2,1,1,4,7,10,1.4,11,0,0,0
15,2014,17,Home,BUF,L,17-9,64.6,8,16,50,80,5,0,0,1,2,9,4.5,7,0,0,0
0,2015,1,Home,PIT,W,21-28,143.8,25,32,78.1,288,9,4,0,2,3,1,0.3,2,0,0,0
