,Year,Week,H/A,Opp,Result,Score,QB Rat,Cmp,Pa-Att,Pa-Pct,Pa-Yds,Pa-Y/A,Pa-TD,Int,Sacks,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2019,1,Away,MIA,W,59-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2019,2,Home,ARI,W,17-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2019,3,Away,KC,L,28-33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2019,4,Home,CLE,L,40-25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2019,5,Away,PIT,W,26-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2019,6,Home,CIN,W,17-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2019,7,Away,SEA,W,30-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2019,9,Home,NE,W,20-37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2019,10,Away,CIN,W,49-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2019,11,Home,HOU,W,7-41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2019,12,Away,LAR,W,45-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2019,13,Home,SF,W,17-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2019,14,Away,BUF,W,24-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2019,15,Home,NYJ,W,21-42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2019,16,Away,CLE,W,31-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2019,17,Home,PIT,W,10-28,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
