,Year,Week,H/A,Opp,Result,Score,QB Rat,Cmp,Pa-Att,Pa-Pct,Pa-Yds,Pa-Y/A,Pa-TD,Int,Sacks,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2015,1,Away,DEN,W,13-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2015,2,Away,KC,W,31-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2015,3,Away,DET,W,24-12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2015,4,Away,DEN,W,20-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2015,5,Away,OAK,W,16-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2015,6,Away,CLE,W,26-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2015,8,Away,DEN,W,10-29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2015,9,Away,IND,L,24-27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2015,10,Away,DEN,L,29-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2015,11,Away,CHI,W,17-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2015,12,Away,DEN,W,24-30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2015,13,Away,SD,W,17-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2015,14,Away,DEN,L,15-12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2015,15,Away,PIT,L,27-34,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,0,0,0
14,2015,16,Away,DEN,W,17-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2015,17,Away,DEN,W,20-27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2016,1,Home,CAR,W,20-21,69.1,18,26,69.2,178,6.8,1,2,2,5,20,4,11,0,0,0
1,2016,2,Home,IND,W,20-34,78.6,22,33,66.7,266,8.1,0,1,1,1,7,7,7,0,0,0
2,2016,3,Away,CIN,W,29-17,132.1,23,35,65.7,312,8.9,4,0,2,3,5,1.7,5,0,0,0
3,2016,4,Away,TB,W,27-7,141.7,5,7,71.4,68,9.7,1,0,3,0,0,0,0,0,0,0
4,2016,5,Away,DEN,L,23-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2016,6,Away,SD,L,13-21,77.9,30,50,60,230,4.6,1,0,2,1,1,1,1,0,0,0
6,2016,7,Home,HOU,W,9-27,88.2,14,25,56,157,6.3,1,0,0,1,-1,-1,-1,0,0,0
7,2016,8,Home,SD,W,19-27,65.2,20,38,52.6,276,7.3,0,1,1,3,-2,-0.7,0,0,2,1
8,2016,9,Away,OAK,L,20-30,81.2,18,37,48.6,283,7.6,2,1,2,0,0,0,0,0,1,1
9,2016,10,Away,NO,W,25-23,76.9,25,40,62.5,258,6.5,2,2,6,6,5,0.8,3,0,0,0
10,2016,12,Home,KC,L,30-27,125.6,20,34,58.8,368,10.8,3,0,5,5,23,4.6,14,0,1,0
11,2016,13,Away,JAC,W,20-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2016,14,Away,TEN,L,10-13,93.1,35,51,68.6,334,6.5,1,0,3,0,0,0,0,0,0,0
13,2016,15,Home,NE,L,16-3,73.1,25,40,62.5,282,7.1,0,1,4,1,4,4,4,0,0,0
14,2016,16,Away,KC,L,10-33,43.1,17,43,39.5,183,4.3,0,1,0,0,0,0,0,0,0,0
15,2016,17,Home,OAK,W,6-24,95.6,17,27,63,206,7.6,2,1,0,2,-5,-2.5,-2,0,0,0
0,2017,1,Home,LAC,W,21-24,94.2,17,28,60.7,219,7.8,2,1,4,6,19,3.2,8,1,0,0
1,2017,2,Home,DAL,W,17-42,116,22,32,68.8,231,7.2,4,1,2,5,14,2.8,6,0,1,1
2,2017,3,Away,BUF,L,16-26,58.2,24,40,60,259,6.5,0,2,3,3,12,4,7,0,1,0
3,2017,4,Home,OAK,W,10-16,94.9,16,26,61.5,179,6.9,1,0,4,4,1,0.3,4,0,0,0
4,2017,6,Home,NYG,L,23-10,71.8,29,50,58,376,7.5,1,2,4,1,9,9,9,0,1,0
5,2017,7,Away,LAC,L,0-21,74.3,25,35,71.4,207,5.9,0,1,5,2,14,7,8,0,2,1
6,2017,8,Away,KC,L,19-29,43.5,19,36,52.8,198,5.5,1,3,3,2,20,10,14,0,0,0
7,2017,9,Away,PHI,L,23-51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2017,10,Away,DEN,L,41-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2017,11,Away,DEN,L,20-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2017,12,Away,OAK,L,14-21,107,11,21,52.4,149,7.1,2,0,1,2,9,4.5,5,0,0,0
11,2017,13,Away,MIA,L,9-35,30.5,19,41,46.3,200,4.9,0,3,3,3,16,5.3,15,0,0,0
12,2017,14,Home,NYJ,W,0-23,90.8,19,31,61.3,200,6.5,1,0,2,3,13,4.3,9,0,0,0
13,2017,15,Away,IND,W,25-13,39.8,5,9,55.6,67,7.4,0,1,2,0,0,0,0,0,0,0
14,2017,16,Away,WAS,L,11-27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2017,17,Away,DEN,L,27-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2019,1,Away,NYJ,L,17-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2019,2,Home,CLE,L,23-3,56.2,3,6,50,3,0.5,0,0,2,0,0,0,0,0,0,0
2,2019,3,Away,NE,L,14-30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2019,5,Away,PHI,L,6-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2019,6,Away,NYJ,W,22-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2019,7,Away,NYJ,L,33-0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2019,8,Away,JAC,L,15-29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2019,9,Away,MIA,L,18-26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
