,Year,Week,H/A,Opp,Result,Score,QB Rat,Cmp,Pa-Att,Pa-Pct,Pa-Yds,Pa-Y/A,Pa-TD,Int,Sacks,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2013,1,Away,DEN,L,27-49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2013,2,Away,BAL,W,6-14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2013,3,Away,BAL,W,9-30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2013,4,Away,BUF,L,20-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2013,5,Away,MIA,W,26-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2013,6,Away,BAL,L,19-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2013,7,Away,PIT,L,16-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2013,9,Away,CLE,L,18-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2013,10,Home,CIN,W,17-20,0,0,0,0,0,0,0,0,0,1,18,18,18,0,0,0
9,2013,11,Away,CHI,L,20-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2013,12,Home,NYJ,W,3-19,39.6,0,1,0,0,0,0,0,0,4,7,1.8,17,0,0,0
11,2013,13,Away,BAL,W,20-22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2013,14,Away,BAL,W,26-29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2013,15,Away,DET,W,18-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2013,16,Home,NE,L,41-7,0,1,4,25,2,0.5,0,1,0,3,39,13,25,0,0,0
15,2013,17,Away,CIN,L,17-34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2014,1,Away,BAL,L,23-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2014,2,Away,BAL,W,6-26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2014,3,Away,CLE,W,23-21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2014,4,Away,BAL,W,10-38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2014,5,Away,IND,L,13-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2014,6,Away,TB,W,48-17,0,0,0,0,0,0,0,0,0,4,-3,-0.7,0,0,0,0
6,2014,7,Away,BAL,W,7-29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2014,8,Away,CIN,L,24-27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2014,9,Away,PIT,L,23-43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2014,10,Away,BAL,W,7-21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2014,12,Away,NO,W,34-27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2014,13,Away,BAL,L,34-33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2014,14,Away,MIA,W,28-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2014,15,Away,BAL,W,12-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2014,16,Away,HOU,L,13-25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2014,17,Away,BAL,W,10-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2015,1,Home,IND,W,14-27,123.8,14,19,73.7,195,10.3,1,0,0,9,41,4.6,31,0,1,0
1,2015,2,Home,NE,L,40-32,93.3,23,30,76.7,242,8.1,3,3,8,5,43,8.6,23,1,2,0
2,2015,3,Away,MIA,W,41-14,136.7,21,29,72.4,277,9.6,3,0,0,3,12,4,6,0,0,0
3,2015,4,Home,NYG,L,24-10,82.8,28,42,66.7,274,6.5,1,1,2,6,15,2.5,7,0,0,0
4,2015,5,Away,TEN,W,14-13,97.4,10,17,58.8,109,6.4,1,0,4,8,76,9.5,26,1,0,0
5,2015,6,Away,BUF,L,34-21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2015,7,Away,JAC,L,31-34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2015,9,Home,MIA,W,17-33,146.5,11,12,91.7,181,15.1,1,0,3,10,44,4.4,14,0,0,0
8,2015,10,Away,NYJ,W,22-17,91.3,17,27,63,158,5.9,1,0,4,6,12,2,8,0,0,0
9,2015,11,Away,NE,L,13-20,75.3,20,36,55.6,233,6.5,0,0,2,4,1,0.3,5,0,1,0
10,2015,12,Away,KC,L,22-30,106.4,21,38,55.3,291,7.7,3,0,1,5,46,9.2,15,0,3,1
11,2015,13,Home,HOU,W,21-30,127.2,11,21,52.4,211,10,3,0,1,7,28,4,9,1,0,0
12,2015,14,Away,PHI,L,20-23,74.8,19,36,52.8,268,7.4,1,1,1,8,53,6.6,14,0,0,0
13,2015,15,Away,WAS,L,25-35,112.4,16,27,59.3,235,8.7,2,0,5,9,79,8.8,18,0,1,0
14,2015,16,Home,DAL,W,6-16,80.6,13,18,72.2,179,9.9,0,1,3,14,67,4.8,16,0,0,0
15,2015,17,Home,NYJ,W,17-22,82.7,18,28,64.3,182,6.5,0,0,2,10,51,5.1,18,1,1,0
0,2016,1,Away,BAL,L,7-13,79.9,15,22,68.2,111,5,0,0,2,5,11,2.2,6,0,0,0
1,2016,2,Home,NYJ,L,37-31,112.8,18,30,60,297,9.9,3,1,0,2,25,12.5,15,0,0,0
