,Year,Week,H/A,Opp,Result,Score,QB Rat,Cmp,Pa-Att,Pa-Pct,Pa-Yds,Pa-Y/A,Pa-TD,Int,Sacks,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2019,1,Home,LAR,L,30-27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2019,2,Home,TB,L,20-14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2019,3,Away,ARI,W,38-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2019,4,Away,HOU,W,16-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2019,5,Home,JAC,W,27-34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2019,6,Away,TB,W,37-26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2019,8,Away,SF,L,13-51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2019,9,Home,TEN,W,20-30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2019,10,Away,GB,L,16-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2019,11,Home,ATL,L,29-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2019,12,Away,NO,L,31-34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2019,13,Home,WAS,L,29-21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2019,14,Away,ATL,L,20-40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2019,15,Home,SEA,L,30-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2019,16,Away,IND,L,6-38,46,27,44,61.4,224,5.1,0,3,5,4,17,4.3,11,0,0,0
15,2019,17,Home,NO,L,42-10,0,1,8,12.5,4,0.5,0,1,1,3,5,1.7,3,0,1,1
