,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2017,1,Home,SEA,W,9-17,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2017,2,Away,ATL,L,23-34,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2017,3,Home,CIN,W,24-27,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2017,4,Home,CHI,W,14-35,13,49,3.8,11,1,0,0,0,0,0,0,0,0
4,2017,5,Away,DAL,W,35-31,19,125,6.6,22,1,1,1,9,9,9,0,0,0
5,2017,6,Away,MIN,L,10-23,13,41,3.2,9,0,1,4,1,1,1,0,0,0
6,2017,7,Home,NO,L,26-17,17,131,7.7,46,1,3,5,7,2.3,4,0,0,0
7,2017,9,Home,DET,L,30-17,5,12,2.4,4,0,2,5,-1,-0.5,2,0,0,0
8,2017,10,Away,CHI,W,23-16,3,12,4,6,0,1,1,0,0,0,0,0,0
9,2017,11,Home,BAL,L,23-0,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2017,12,Away,PIT,L,28-31,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2017,13,Home,TB,W,20-26,1,20,20,20,1,0,0,0,0,0,0,0,0
12,2017,14,Away,CLE,W,27-21,4,-2,-0.5,1,0,0,0,0,0,0,0,0,0
13,2017,15,Away,CAR,L,24-31,3,47,15.7,23,0,1,2,6,6,6,0,0,0
14,2017,16,Home,MIN,L,16-0,3,13,4.3,6,0,0,0,0,0,0,0,0,0
15,2017,17,Away,DET,L,11-35,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2018,1,Home,CHI,W,23-24,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2018,2,Home,MIN,T,29-29,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2018,3,Away,WAS,L,17-31,6,42,7,17,0,1,1,5,5,5,0,0,0
3,2018,4,Home,BUF,W,0-22,11,65,5.9,30,1,1,1,17,17,17,0,0,0
4,2018,5,Away,DET,L,23-31,7,40,5.7,18,0,2,3,19,9.5,12,0,0,0
5,2018,6,Home,SF,W,30-33,8,41,5.1,16,0,0,1,0,0,0,0,0,0
6,2018,8,Away,LAR,L,27-29,12,86,7.2,33,1,2,2,0,0,1,0,0,0
7,2018,9,Away,NE,L,17-31,14,76,5.4,13,0,2,4,10,5,7,0,1,1
8,2018,10,Home,MIA,W,12-31,15,145,9.7,67,2,3,5,27,9,19,0,0,0
9,2018,11,Away,SEA,L,24-27,11,40,3.6,8,1,5,6,63,12.6,24,1,0,0
10,2018,12,Away,MIN,L,17-24,17,72,4.2,11,1,3,5,21,7,10,0,0,0
11,2018,13,Home,ARI,L,20-17,11,36,3.3,13,1,4,4,16,4,6,0,0,0
12,2018,14,Home,ATL,W,20-34,17,78,4.6,29,1,3,3,28,9.3,15,0,0,0
13,2018,15,Away,CHI,L,17-24,4,8,2,3,0,0,0,0,0,0,0,0,0
14,2018,16,Away,NYJ,W,44-38,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2018,17,Home,DET,L,31-0,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2019,1,Away,CHI,W,10-3,13,39,3,9,0,1,1,0,0,0,0,1,0
1,2019,2,Home,MIN,W,16-21,23,116,5,15,1,4,6,34,8.5,15,0,0,0
2,2019,3,Home,DEN,W,16-27,10,19,1.9,7,2,1,1,4,4,4,0,0,0
3,2019,4,Home,PHI,L,34-27,13,21,1.6,7,1,6,7,37,6.2,14,0,0,0
4,2019,5,Away,DAL,W,34-24,19,107,5.6,18,4,7,8,75,10.7,22,0,0,0
5,2019,6,Home,DET,W,22-23,11,47,4.3,9,0,4,7,13,3.3,9,0,1,1
6,2019,7,Home,OAK,W,24-42,12,50,4.2,15,0,4,4,33,8.3,21,1,0,0
7,2019,8,Away,KC,W,31-24,13,67,5.2,9,0,7,8,159,22.7,67,2,0,0
8,2019,9,Away,LAC,L,11-26,8,30,3.8,7,0,1,3,-1,-1,-1,0,0,0
9,2019,10,Home,CAR,W,16-24,13,93,7.2,28,3,0,0,0,0,0,0,0,0
10,2019,12,Away,SF,L,8-37,13,38,2.9,11,0,0,1,0,0,0,0,0,0
11,2019,13,Away,NYG,W,31-13,11,18,1.6,9,0,4,6,13,3.3,7,0,0,0
12,2019,14,Home,WAS,W,15-20,16,134,8.4,42,1,6,7,58,9.7,25,0,0,0
13,2019,15,Home,CHI,W,13-21,13,51,3.9,21,2,0,0,0,0,0,0,0,0
14,2019,16,Away,MIN,W,23-10,23,154,6.7,56,2,2,3,6,3,3,0,1,1
15,2019,17,Away,DET,W,23-20,25,100,4,14,0,2,6,43,21.5,31,0,0,0
