,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2013,1,Away,DET,L,24-34,18,93,5.2,78,2,4,4,18,4.5,9,1,0,0
1,2013,2,Away,CHI,L,30-31,26,100,3.8,36,0,1,2,7,7,7,0,1,1
2,2013,3,Home,CLE,L,31-27,25,88,3.5,9,1,6,6,27,4.5,7,0,1,1
3,2013,4,Home,PIT,W,27-34,23,140,6.1,60,2,0,1,0,0,0,0,0,0
4,2013,6,Home,CAR,L,35-10,10,62,6.2,31,0,3,4,21,7,11,0,1,0
5,2013,7,Away,NYG,L,7-23,13,28,2.2,8,0,2,4,28,14,22,0,0,0
6,2013,8,Home,GB,L,44-31,13,60,4.6,17,1,3,3,23,7.7,13,0,0,0
7,2013,9,Away,DAL,L,23-27,25,140,5.6,52,1,3,3,37,12.3,19,0,0,0
8,2013,10,Home,WAS,W,27-34,20,75,3.8,18,2,2,2,2,1,5,0,0,0
9,2013,11,Away,SEA,L,20-41,21,65,3.1,13,0,0,3,0,0,0,0,0,0
10,2013,12,Away,GB,T,26-26,32,146,4.6,22,1,1,1,2,2,2,0,1,1
11,2013,13,Home,CHI,W,20-23,35,211,6,23,0,2,4,0,0,2,0,0,0
12,2013,14,Away,BAL,L,26-29,7,13,1.9,4,0,1,2,4,4,4,0,1,0
13,2013,15,Away,MIN,W,30-48,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2013,16,Away,CIN,L,14-42,11,45,4.1,11,0,1,1,2,2,2,0,0,0
15,2013,17,Away,MIN,W,13-14,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2014,1,Away,STL,W,34-6,21,75,3.6,17,0,2,3,18,9,9,0,0,0
1,2014,2,Away,MIN,L,30-7,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2014,3,Away,NO,L,9-20,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2014,4,Away,MIN,W,28-41,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2014,5,Away,GB,L,10-42,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2014,6,Away,MIN,L,17-3,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2014,7,Away,BUF,L,16-17,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2014,8,Away,TB,W,19-13,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2014,9,Away,MIN,W,26-29,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2014,11,Away,CHI,L,13-21,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2014,12,Away,MIN,L,24-21,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2014,13,Away,MIN,W,13-31,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2014,14,Away,MIN,W,24-30,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2014,15,Away,DET,L,14-16,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2014,16,Away,MIA,L,35-37,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2014,17,Away,MIN,W,9-13,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2015,1,Away,SF,L,3-20,10,31,3.1,9,0,3,3,21,7,17,0,0,0
1,2015,2,Home,DET,W,16-26,29,134,4.6,25,0,2,2,58,29,49,0,2,1
2,2015,3,Home,SD,W,14-31,20,126,6.3,43,2,0,0,0,0,0,0,0,0
3,2015,4,Away,DEN,L,20-23,16,81,5.1,48,1,4,6,13,3.3,9,0,0,0
4,2015,6,Home,KC,W,10-16,26,60,2.3,23,0,1,1,-3,-3,-3,0,1,0
5,2015,7,Away,DET,W,28-19,19,98,5.2,75,0,3,3,12,4,11,0,0,0
6,2015,8,Away,CHI,W,23-20,20,103,5.2,12,0,2,2,6,3,5,0,0,0
7,2015,9,Home,STL,W,18-21,29,125,4.3,15,1,2,2,18,9,9,0,2,0
8,2015,10,Away,OAK,W,30-14,26,203,7.8,80,1,2,3,13,6.5,16,0,0,0
9,2015,11,Home,GB,L,30-13,13,45,3.5,11,1,2,2,16,8,10,0,1,1
10,2015,12,Away,ATL,W,20-10,29,158,5.4,35,2,2,4,29,14.5,18,0,0,0
11,2015,13,Home,SEA,L,38-7,8,18,2.3,5,0,4,4,6,1.5,3,0,0,0
12,2015,14,Away,ARI,L,20-23,23,69,3,21,1,1,1,17,17,17,0,1,1
13,2015,15,Home,CHI,W,17-38,18,63,3.5,10,0,0,0,0,0,0,0,0,0
14,2015,16,Home,NYG,W,17-49,22,104,4.7,39,1,1,2,15,15,15,0,0,0
15,2015,17,Away,GB,W,20-13,19,67,3.5,10,1,1,1,1,1,1,0,0,0
0,2016,1,Away,TEN,W,25-16,19,31,1.6,9,0,0,2,0,0,0,0,0,0
1,2016,2,Home,GB,W,14-17,12,19,1.6,5,0,2,3,7,3.5,7,0,0,0
2,2016,3,Away,CAR,W,22-10,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2016,4,Away,MIN,W,10-24,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2016,5,Away,MIN,W,13-31,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2016,7,Away,PHI,L,10-21,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2016,8,Away,CHI,L,10-20,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2016,9,Away,MIN,L,22-16,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2016,10,Home,MIN,L,20-26,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2016,11,Away,MIN,W,24-30,-,-,-,-,-,-,-,-,-,-,-,-,-
