,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2017,1,Away,SF,W,23-3,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2017,2,Home,BUF,W,3-9,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2017,3,Home,NO,L,34-13,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2017,4,Away,NE,W,33-30,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2017,5,Away,DET,W,27-24,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2017,6,Home,PHI,L,28-23,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2017,7,Away,CHI,L,3-17,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2017,8,Away,TB,W,17-3,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2017,9,Home,ATL,W,17-20,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2017,10,Home,MIA,W,21-45,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2017,12,Away,NYJ,W,35-27,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2017,13,Away,NO,L,21-31,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2017,14,Home,MIN,W,24-31,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2017,15,Home,GB,W,24-31,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2017,16,Home,TB,W,19-22,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2017,17,Away,ATL,L,10-22,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2018,1,Home,DAL,W,8-16,1,1,1,1,1,0,0,0,0,0,0,0,0
1,2018,2,Away,ATL,L,24-31,1,4,4,4,0,0,0,0,0,0,0,0,0
2,2018,3,Home,CIN,W,21-31,1,1,1,1,0,0,0,0,0,0,0,0,0
3,2018,5,Home,NYG,W,31-33,1,4,4,4,0,0,0,0,0,0,0,0,0
4,2018,6,Away,WAS,L,17-23,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2018,7,Away,PHI,W,21-17,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2018,8,Home,BAL,W,21-36,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2018,9,Home,TB,W,28-42,1,1,1,1,1,0,0,0,0,0,0,0,0
8,2018,10,Away,PIT,L,21-52,2,3,1.5,3,0,0,0,0,0,0,0,0,0
9,2018,11,Away,DET,L,19-20,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2018,12,Home,SEA,L,30-27,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2018,13,Away,TB,L,17-24,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2018,14,Away,CLE,L,20-26,1,0,0,0,0,0,0,0,0,0,0,0,0
13,2018,15,Home,NO,L,12-9,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2018,16,Home,ATL,L,24-10,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2018,17,Away,NO,W,33-14,1,1,1,1,0,1,1,5,5,5,0,0,0
0,2019,1,Home,LAR,L,30-27,1,1,1,1,1,0,0,0,0,0,0,0,0
1,2019,2,Home,TB,L,20-14,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2019,3,Away,ARI,W,38-20,1,4,4,4,0,1,1,2,2,2,0,0,0
3,2019,4,Away,HOU,W,16-10,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2019,5,Home,JAC,W,27-34,0,0,0,0,0,1,1,4,4,4,0,0,0
5,2019,6,Away,TB,W,37-26,2,4,2,3,0,0,0,0,0,0,0,0,0
6,2019,8,Away,SF,L,13-51,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2019,9,Home,TEN,W,20-30,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2019,10,Away,GB,L,16-24,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2019,11,Home,ATL,L,29-3,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2019,12,Away,NO,L,31-34,1,0,0,0,0,0,0,0,0,0,0,0,0
11,2019,13,Home,WAS,L,29-21,1,2,2,2,0,0,0,0,0,0,0,0,0
12,2019,14,Away,ATL,L,20-40,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2019,15,Home,SEA,L,30-24,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2019,16,Away,IND,L,6-38,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2019,17,Home,NO,L,42-10,0,0,0,0,0,0,0,0,0,0,0,0,0
