,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2019,1,Home,ATL,W,12-28,9,49,5.4,23,0,0,0,0,0,0,0,0,0
1,2019,2,Away,GB,L,16-21,4,25,6.3,14,0,0,0,0,0,0,0,0,0
2,2019,3,Home,OAK,W,14-34,12,58,4.8,21,1,0,0,0,0,0,0,0,0
3,2019,4,Away,CHI,L,6-16,2,5,2.5,3,0,1,1,8,8,8,0,0,0
4,2019,5,Away,NYG,W,28-10,7,52,7.4,19,0,0,0,0,0,0,0,0,0
5,2019,6,Home,PHI,W,20-38,14,63,4.5,35,0,0,0,0,0,0,0,1,1
6,2019,7,Away,DET,W,42-30,7,18,2.6,9,0,0,0,0,0,0,0,0,0
7,2019,8,Home,WAS,W,9-19,13,61,4.7,28,0,2,2,3,1.5,4,0,0,0
8,2019,9,Away,KC,L,23-26,3,6,2,3,0,0,1,0,0,0,0,0,0
9,2019,10,Away,DAL,W,28-24,8,52,6.5,16,0,1,1,2,2,2,0,0,0
10,2019,11,Home,DEN,W,23-27,3,5,1.7,6,0,0,0,0,0,0,0,0,0
11,2019,13,Away,SEA,L,30-37,4,22,5.5,15,0,4,5,51,12.8,17,0,0,0
12,2019,14,Home,DET,W,7-20,14,46,3.3,9,0,2,2,18,9,9,0,0,0
13,2019,15,Away,LAC,W,39-10,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2019,16,Home,GB,L,23-10,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2019,17,Home,CHI,L,21-19,-,-,-,-,-,-,-,-,-,-,-,-,-
