,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2017,1,Away,MIN,L,19-29,7,18,2.6,5,0,4,6,20,5,15,0,0,0
1,2017,2,Home,NE,L,36-20,1,3,3,3,0,3,7,51,17,38,0,0,0
2,2017,3,Away,CAR,W,34-13,2,37,18.5,25,1,3,5,5,1.7,7,0,0,0
3,2017,4,Away,MIA,W,20-0,5,25,5,12,0,10,10,71,7.1,16,1,0,0
4,2017,6,Home,DET,W,38-52,10,75,7.5,21,0,3,3,12,4,6,0,0,0
5,2017,7,Away,GB,W,26-17,9,57,6.3,19,0,5,7,50,10,24,0,0,0
6,2017,8,Home,CHI,W,12-20,8,28,3.5,10,1,3,3,48,16,34,0,0,0
7,2017,9,Home,TB,W,10-30,10,68,6.8,17,1,6,7,84,14,33,1,1,1
8,2017,10,Away,BUF,W,47-10,12,106,8.8,19,1,5,5,32,6.4,12,0,0,0
9,2017,11,Home,WAS,W,31-34,8,42,5.3,24,0,6,9,74,12.3,19,1,0,0
10,2017,12,Away,LAR,L,20-26,5,87,17.4,74,1,6,6,101,16.8,33,1,0,0
11,2017,13,Home,CAR,W,21-31,9,60,6.7,20,2,5,6,66,13.2,22,0,0,0
12,2017,14,Away,ATL,L,17-20,1,2,2,2,0,3,3,25,8.3,23,0,0,0
13,2017,15,Home,NYJ,W,19-31,12,44,3.7,12,0,6,7,45,7.5,29,1,0,0
14,2017,16,Home,ATL,W,13-23,12,32,2.7,15,0,7,9,58,8.3,25,0,0,0
15,2017,17,Away,TB,L,24-31,9,44,4.9,19,1,6,7,84,14,40,0,0,0
0,2018,1,Home,TB,L,48-40,8,29,3.6,10,2,9,12,112,12.4,35,1,0,0
1,2018,2,Home,CLE,W,18-21,13,46,3.5,18,0,6,6,53,8.8,14,0,0,0
2,2018,3,Away,ATL,W,43-37,16,66,4.1,17,0,15,20,124,8.3,21,0,0,0
3,2018,4,Away,NYG,W,33-18,19,134,7.1,49,3,5,9,47,9.4,25,0,0,0
4,2018,5,Home,WAS,W,19-43,6,24,4,9,0,3,4,15,5,6,0,0,0
5,2018,7,Away,BAL,W,24-23,17,64,3.8,12,1,2,2,11,5.5,8,0,0,0
6,2018,8,Away,MIN,W,30-20,13,45,3.5,17,1,7,8,31,4.4,17,1,0,0
7,2018,9,Home,LAR,W,35-45,19,82,4.3,17,2,4,5,34,8.5,16,1,0,0
8,2018,10,Away,CIN,W,51-14,12,56,4.7,14,2,4,5,46,11.5,19,0,0,0
9,2018,11,Home,PHI,W,7-48,13,71,5.5,16,0,1,1,37,37,37,1,0,0
10,2018,12,Home,ATL,W,17-31,14,89,6.4,18,0,1,1,9,9,9,0,0,0
11,2018,13,Away,DAL,L,10-13,11,36,3.3,7,0,8,11,36,4.5,8,0,1,0
12,2018,14,Away,TB,W,28-14,12,51,4.3,12,0,5,6,36,7.2,15,0,0,0
13,2018,15,Away,CAR,W,12-9,14,67,4.8,16,1,7,9,36,5.1,11,0,0,0
14,2018,16,Home,PIT,W,28-31,7,23,3.3,8,2,4,6,82,20.5,42,0,0,0
15,2018,17,Home,CAR,L,33-14,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2019,1,Home,HOU,W,28-30,13,97,7.5,28,0,7,8,72,10.3,41,0,1,0
1,2019,2,Away,LAR,L,9-27,13,45,3.5,12,0,1,3,15,15,15,0,0,0
2,2019,3,Away,SEA,W,33-27,16,69,4.3,16,1,9,10,92,10.2,29,1,0,0
3,2019,4,Home,DAL,W,10-12,17,69,4.1,13,0,3,3,20,6.7,8,0,0,0
4,2019,5,Home,TB,W,24-31,16,62,3.9,16,0,6,7,42,7,15,0,0,0
5,2019,6,Away,JAC,W,13-6,11,31,2.8,7,0,7,8,35,5,14,0,1,0
6,2019,7,Away,CHI,W,36-25,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2019,8,Home,ARI,W,9-31,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2019,10,Home,ATL,L,26-9,4,24,6,8,0,8,10,50,6.3,14,0,0,0
9,2019,11,Away,TB,W,34-17,13,75,5.8,14,0,10,10,47,4.7,17,0,1,0
10,2019,12,Home,CAR,W,31-34,11,54,4.9,30,0,9,9,48,5.3,16,0,0,0
11,2019,13,Away,ATL,W,26-18,11,61,5.5,24,0,4,8,23,5.8,10,0,0,0
12,2019,14,Home,SF,L,48-46,13,25,1.9,17,0,4,6,18,4.5,9,0,1,1
13,2019,15,Home,IND,W,7-34,14,66,4.7,15,0,5,5,23,4.6,7,0,0,0
14,2019,16,Away,TEN,W,38-28,11,80,7.3,40,2,6,7,30,5,14,0,0,0
15,2019,17,Away,CAR,W,42-10,8,39,4.9,15,2,2,3,18,9,15,0,0,0
