,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2015,1,Away,SD,L,28-33,7,50,7.1,24,1,4,4,44,11,36,0,1,0
1,2015,2,Away,MIN,L,16-26,6,9,1.5,7,0,1,1,9,9,9,0,0,0
2,2015,3,Home,DEN,L,24-12,8,23,2.9,9,0,2,5,19,9.5,16,1,0,0
3,2015,4,Away,SEA,L,10-13,13,33,2.5,9,0,2,5,11,5.5,12,0,0,0
4,2015,5,Home,ARI,L,42-17,6,16,2.7,5,0,1,2,9,9,9,0,2,1
5,2015,6,Home,CHI,W,34-37,14,48,3.4,12,0,3,4,21,7,13,0,1,0
6,2015,7,Home,MIN,L,28-19,8,43,5.4,13,0,0,0,0,0,0,0,0,0
7,2015,8,Away,KC,L,10-45,1,3,3,3,0,0,2,0,0,0,0,0,0
8,2015,10,Away,GB,W,18-16,5,15,3,9,0,1,1,7,7,7,0,0,0
9,2015,11,Home,OAK,W,13-18,12,44,3.7,9,0,1,2,2,2,2,0,0,0
10,2015,12,Home,PHI,W,14-45,16,63,3.9,23,0,1,2,12,12,12,0,0,0
11,2015,13,Home,GB,L,27-23,13,67,5.2,36,0,0,1,0,0,0,0,0,0
12,2015,14,Away,STL,L,14-21,7,23,3.3,7,0,2,2,21,10.5,14,0,0,0
13,2015,15,Away,NO,W,35-27,9,77,8.6,27,1,2,2,12,6,7,0,1,1
14,2015,16,Home,SF,W,17-32,8,39,4.9,10,0,4,4,9,2.3,4,0,0,0
15,2015,17,Away,CHI,W,24-20,10,44,4.4,11,0,1,1,7,7,7,0,0,0
0,2016,1,Away,IND,W,39-35,12,63,5.3,13,0,5,5,57,11.4,18,1,0,0
1,2016,2,Home,TEN,L,16-15,6,38,6.3,24,0,0,0,0,0,0,0,0,0
2,2016,3,Away,GB,L,27-34,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2016,4,Away,CHI,L,14-17,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2016,5,Away,DET,W,23-24,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2016,6,Away,DET,W,28-31,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2016,7,Away,DET,W,17-20,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2016,8,Away,HOU,L,13-20,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2016,9,Home,DET,W,22-16,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2016,11,Away,DET,W,19-26,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2016,12,Away,DET,W,13-16,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2016,13,Away,NO,W,28-13,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2016,14,Away,DET,W,17-20,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2016,15,Away,NYG,L,6-17,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2016,16,Away,DAL,L,21-42,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2016,17,Away,DET,L,31-24,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2017,1,Home,ARI,W,23-35,15,30,2,7,0,3,4,11,3.7,6,0,0,0
1,2017,2,Away,NYG,W,24-10,17,86,5.1,34,0,0,0,0,0,0,0,0,0
2,2017,3,Home,ATL,L,30-26,14,47,3.4,11,0,3,3,39,13,22,0,0,0
3,2017,4,Away,MIN,W,14-7,20,94,4.7,29,1,3,4,15,5,8,0,0,0
4,2017,5,Home,CAR,L,27-24,10,31,3.1,16,0,1,1,3,3,3,0,0,0
5,2017,6,Away,NO,L,38-52,14,54,3.9,34,0,0,2,0,0,0,0,0,0
6,2017,8,Home,PIT,L,20-15,11,27,2.5,8,0,3,3,11,3.7,8,0,0,0
7,2017,9,Away,GB,W,30-17,21,48,2.3,11,1,1,1,9,9,9,0,2,1
8,2017,10,Home,CLE,W,24-38,11,52,4.7,20,1,1,2,3,3,3,0,0,0
9,2017,11,Away,CHI,W,27-24,11,22,2,11,0,2,2,13,6.5,11,1,0,0
10,2017,12,Home,MIN,L,30-23,6,14,2.3,5,0,3,5,29,9.7,18,0,0,0
11,2017,13,Away,BAL,L,20-44,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2017,14,Away,TB,W,24-21,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2017,15,Home,CHI,W,10-20,1,8,8,8,0,3,4,13,4.3,11,0,0,0
14,2017,16,Away,CIN,L,17-26,6,21,3.5,6,0,1,2,5,5,5,0,0,0
15,2017,17,Home,GB,W,11-35,8,18,2.3,7,1,1,2,11,11,11,0,0,0
0,2018,5,Home,GB,W,23-31,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2018,7,Away,MIA,W,32-21,1,1,1,1,0,1,1,12,12,12,0,0,0
2,2018,8,Home,SEA,W,28-14,0,0,0,0,0,1,1,6,6,6,0,1,1
3,2018,11,Away,CHI,W,20-25,0,0,0,0,0,1,1,10,10,10,0,0,0
4,2018,12,Home,GB,W,17-24,0,0,0,0,0,0,1,0,0,0,0,0,0
5,2018,13,Away,NE,W,10-24,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2018,14,Away,SEA,W,7-21,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2018,15,Home,MIA,W,17-41,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2018,16,Away,DET,W,27-9,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2018,17,Home,CHI,W,24-10,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2019,1,Home,ATL,W,12-28,2,8,4,6,0,0,0,0,0,0,0,0,0
1,2019,2,Away,GB,L,16-21,1,2,2,2,0,0,0,0,0,0,0,0,0
2,2019,3,Home,OAK,W,14-34,0,0,0,0,0,0,1,0,0,0,0,0,0
