,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2016,1,Home,CAR,W,20-21,1,28,28,28,1,0,0,0,0,0,0,0,0
1,2016,2,Home,IND,W,20-34,0,0,0,0,0,1,1,11,11,11,0,0,0
2,2016,3,Away,CIN,W,29-17,1,2,2,2,0,1,1,13,13,13,0,0,0
3,2016,4,Away,TB,W,27-7,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2016,5,Home,ATL,L,23-16,1,2,2,2,0,0,1,0,0,0,0,0,0
5,2016,6,Away,SD,L,13-21,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2016,7,Home,HOU,W,9-27,1,1,1,1,0,1,2,12,12,12,0,0,0
7,2016,8,Home,SD,W,19-27,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2016,9,Away,OAK,L,20-30,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2016,10,Away,NO,W,25-23,0,0,0,0,0,1,1,9,9,9,0,0,0
10,2016,12,Home,KC,L,30-27,0,0,0,0,0,1,1,-1,-1,-1,0,0,0
11,2016,13,Away,JAC,W,20-10,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2016,14,Away,TEN,L,10-13,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2016,15,Away,DEN,L,16-3,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2016,16,Away,KC,L,10-33,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2016,17,Away,DEN,W,6-24,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2017,1,Home,LAC,W,21-24,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2017,2,Home,DAL,W,17-42,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2017,3,Away,BUF,L,16-26,1,2,2,2,0,0,0,0,0,0,0,0,0
3,2017,4,Home,OAK,W,10-16,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2017,6,Home,NYG,L,23-10,0,0,0,0,0,0,1,0,0,0,0,0,0
5,2017,7,Away,LAC,L,0-21,1,3,3,3,0,2,2,14,7,10,0,0,0
6,2017,8,Away,KC,L,19-29,0,0,0,0,0,0,1,0,0,0,0,0,0
7,2017,9,Away,PHI,L,23-51,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2017,10,Home,NE,L,41-16,1,3,3,3,0,0,0,0,0,0,0,0,0
9,2017,11,Home,CIN,L,20-17,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2017,12,Away,OAK,L,14-21,1,4,4,4,0,0,0,0,0,0,0,0,0
11,2017,13,Away,MIA,L,9-35,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2017,14,Home,NYJ,W,0-23,1,1,1,1,1,0,0,0,0,0,0,0,0
13,2017,15,Away,IND,W,25-13,1,-1,-1,-1,0,0,0,0,0,0,0,0,0
14,2017,16,Away,WAS,L,11-27,0,0,0,0,0,2,2,21,10.5,16,0,0,0
15,2017,17,Home,KC,L,27-24,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2018,1,Home,SEA,W,24-27,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2018,2,Home,OAK,W,19-20,0,0,0,0,0,1,1,11,11,11,0,0,0
2,2018,3,Away,BAL,L,14-27,1,2,2,2,0,0,0,0,0,0,0,0,0
3,2018,4,Home,KC,L,27-23,0,0,0,0,0,1,1,32,32,32,0,0,0
4,2018,5,Away,NYJ,L,16-34,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2018,6,Home,LAR,L,23-20,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2018,7,Away,ARI,W,45-10,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2018,8,Away,KC,L,23-30,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2018,9,Home,HOU,L,19-17,0,0,0,0,0,1,1,9,9,9,0,0,0
9,2018,11,Away,LAC,W,23-22,0,0,0,0,0,1,2,12,12,12,0,0,0
10,2018,12,Home,PIT,W,17-24,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2018,13,Away,CIN,W,24-10,0,0,0,0,0,1,2,7,7,7,0,0,0
12,2018,14,Away,SF,L,14-20,1,3,3,3,0,0,0,0,0,0,0,0,0
13,2018,15,Home,CLE,L,17-16,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2018,16,Away,OAK,L,14-27,0,0,0,0,0,1,1,11,11,11,0,0,0
15,2018,17,Home,LAC,L,23-9,0,0,0,0,0,2,2,30,15,20,1,0,0
0,2019,1,Away,OAK,L,16-24,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019,2,Away,DEN,L,16-14,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2019,3,Away,GB,L,16-27,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2019,4,Home,JAC,L,26-24,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2019,5,Away,LAC,W,20-13,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2019,6,Home,TEN,W,0-16,0,0,0,0,0,1,1,8,8,8,0,0,0
6,2019,7,Home,KC,L,30-6,0,0,0,0,0,1,1,22,22,22,0,0,0
7,2019,8,Away,IND,L,13-15,0,0,0,0,0,2,2,9,4.5,7,0,0,0
8,2019,9,Home,CLE,W,19-24,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2019,11,Away,MIN,L,23-27,1,1,1,1,1,1,1,3,3,3,0,0,0
10,2019,12,Away,BUF,L,3-20,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2019,13,Away,DEN,W,20-23,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2019,14,Away,HOU,W,38-24,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2019,15,Away,KC,L,3-23,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2019,16,Away,DEN,W,17-27,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2019,17,Away,DEN,W,15-16,-,-,-,-,-,-,-,-,-,-,-,-,-
