,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2013,1,Away,JAC,W,28-2,0,0,0,0,0,4,4,44,11,26,0,0,0
1,2013,2,Home,DAL,W,16-17,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2013,3,Away,PHI,W,26-16,0,0,0,0,0,1,2,10,10,10,0,0,0
3,2013,4,Home,NYG,W,7-31,0,0,0,0,0,1,1,6,6,6,0,0,0
4,2013,5,Away,TEN,W,26-17,0,0,0,0,0,2,2,13,6.5,8,0,0,0
5,2013,6,Home,OAK,W,7-24,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2013,7,Home,HOU,W,16-17,0,0,0,0,0,2,4,10,5,9,0,0,0
7,2013,8,Home,CLE,W,17-23,0,0,0,0,0,3,3,23,7.7,12,1,0,0
8,2013,9,Away,BUF,W,23-13,1,2,2,2,0,0,0,0,0,0,0,0,0
9,2013,11,Away,DEN,L,17-27,1,1,1,1,0,2,3,18,9,16,0,1,1
10,2013,12,Home,SD,L,41-38,0,0,0,0,0,1,2,8,8,8,0,0,0
11,2013,13,Home,DEN,L,35-28,0,0,0,0,0,1,2,8,8,8,0,0,0
12,2013,14,Away,WAS,W,45-10,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2013,15,Away,OAK,W,56-31,0,0,0,0,0,1,1,15,15,15,0,0,0
14,2013,16,Home,IND,L,23-7,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2013,17,Away,SD,L,24-27,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2014,1,Home,TEN,L,26-10,1,4,4,4,0,0,0,0,0,0,0,0,0
1,2014,2,Away,DEN,L,17-24,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2014,3,Away,MIA,W,34-15,1,4,4,4,0,1,1,1,1,1,0,0,0
3,2014,4,Home,NE,W,14-41,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2014,5,Away,SF,L,17-22,0,0,0,0,0,1,2,12,12,12,0,0,0
5,2014,7,Away,SD,W,23-20,0,0,0,0,0,2,2,12,6,11,1,0,0
6,2014,8,Home,STL,W,7-34,0,0,0,0,0,1,1,24,24,24,0,0,0
7,2014,9,Home,NYJ,W,10-24,0,0,0,0,0,0,1,0,0,0,0,0,0
8,2014,10,Away,BUF,W,17-13,0,0,0,0,0,0,2,0,0,0,0,0,0
9,2014,11,Home,SEA,W,20-24,0,0,0,0,0,1,1,13,13,13,0,0,0
10,2014,12,Away,OAK,L,20-24,0,0,0,0,0,1,1,0,0,0,0,0,0
11,2014,13,Home,DEN,L,29-16,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2014,14,Away,ARI,L,14-17,0,0,0,0,0,2,2,8,4,5,0,0,0
13,2014,15,Home,OAK,W,13-31,0,0,0,0,0,1,1,1,1,1,0,0,0
14,2014,16,Away,PIT,L,12-20,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2014,17,Home,SD,W,7-19,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2015,1,Away,HOU,W,27-20,0,0,0,0,0,1,1,0,0,0,0,0,0
1,2015,2,Home,DEN,L,31-24,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2015,3,Away,GB,L,28-38,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2015,4,Away,CIN,L,21-36,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2015,5,Home,CHI,L,18-17,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2015,6,Away,MIN,L,10-16,1,0,0,0,0,1,1,13,13,13,0,0,0
6,2015,7,Home,PIT,W,13-23,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2015,8,Home,DET,W,10-45,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2015,10,Away,DEN,W,29-13,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2015,11,Away,SD,W,33-3,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2015,12,Home,BUF,W,22-30,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2015,13,Away,OAK,W,34-20,0,0,0,0,0,0,1,0,0,0,0,0,0
12,2015,14,Home,SD,W,3-10,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2015,15,Away,BAL,W,34-14,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2015,16,Home,CLE,W,13-17,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2015,17,Home,OAK,W,17-23,0,0,0,0,0,2,2,21,10.5,18,0,0,0
0,2016,1,Home,SD,W,27-33,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2016,2,Away,HOU,L,12-19,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2016,3,Home,NYJ,W,3-24,0,0,0,0,0,1,1,3,3,3,0,0,0
3,2016,4,Away,PIT,L,14-43,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2016,6,Away,OAK,W,26-10,0,0,0,0,0,0,1,0,0,0,0,0,0
5,2016,7,Home,NO,W,21-27,0,0,0,0,0,1,1,0,0,0,0,0,0
6,2016,8,Away,IND,W,30-14,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2016,9,Home,JAC,W,14-19,0,0,0,0,0,1,1,6,6,6,0,0,0
8,2016,10,Away,CAR,W,20-17,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2016,11,Home,TB,L,19-17,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2016,12,Away,DEN,W,30-27,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2016,13,Away,ATL,W,29-28,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2016,14,Home,OAK,W,13-21,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2016,15,Home,TEN,L,19-17,0,0,0,0,0,0,1,0,0,0,0,0,0
14,2016,16,Home,DEN,W,10-33,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2016,17,Away,SD,W,37-27,0,0,0,0,0,1,1,2,2,2,0,0,0
0,2017,1,Away,NE,W,42-27,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2017,2,Home,PHI,W,20-27,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2017,3,Away,LAC,W,24-10,0,0,0,0,0,1,1,11,11,11,0,0,0
3,2017,4,Home,WAS,W,20-29,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2017,5,Away,HOU,W,42-34,0,0,0,0,0,0,1,0,0,0,0,0,0
5,2017,6,Home,PIT,L,19-13,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2017,7,Away,OAK,L,30-31,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2017,8,Home,DEN,W,19-29,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2017,9,Away,DAL,L,17-28,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2017,11,Away,NYG,L,9-12,0,0,0,0,0,1,1,11,11,11,0,0,0
10,2017,12,Home,BUF,L,16-10,0,0,0,0,0,1,1,4,4,4,0,0,0
11,2017,13,Away,NYJ,L,31-38,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2017,14,Home,OAK,W,15-26,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2017,15,Home,LAC,W,13-30,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2017,16,Home,MIA,W,13-29,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2017,17,Away,DEN,W,27-24,14,40,2.9,9,1,3,4,21,7,11,0,0,0
0,2018,1,Away,LAC,W,38-28,0,0,0,0,0,1,1,36,36,36,1,0,0
1,2018,2,Away,PIT,W,42-37,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2018,3,Home,SF,W,27-38,0,0,0,0,0,1,1,16,16,16,0,0,0
3,2018,4,Away,DEN,W,27-23,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2018,5,Home,JAC,W,14-30,0,0,0,0,0,1,1,15,15,15,0,0,0
5,2018,6,Away,NE,L,40-43,0,0,0,0,0,1,1,-2,-2,-2,0,0,0
6,2018,7,Home,CIN,W,10-45,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2018,8,Home,DEN,W,23-30,0,0,0,0,0,1,1,10,10,10,0,0,0
8,2018,9,Away,CLE,W,37-21,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2018,10,Home,ARI,W,14-26,0,0,0,0,0,1,1,2,2,2,0,0,0
10,2018,11,Away,LAR,L,51-54,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2018,13,Away,OAK,W,40-33,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2018,14,Home,BAL,W,24-27,1,2,2,2,0,0,1,0,0,0,0,0,0
13,2018,15,Home,LAC,L,29-28,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2018,16,Away,SEA,L,31-38,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2018,17,Home,OAK,W,3-35,0,0,0,0,0,2,2,19,9.5,12,0,0,0
0,2019,1,Away,JAC,W,40-26,0,0,0,0,0,1,1,15,15,15,0,0,0
1,2019,2,Away,OAK,W,28-10,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2019,3,Home,BAL,W,28-33,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2019,4,Away,DET,W,34-30,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2019,5,Home,IND,L,19-13,1,2,2,2,0,0,1,0,0,0,0,0,0
5,2019,6,Home,HOU,L,31-24,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2019,7,Away,DEN,W,30-6,2,7,3.5,5,0,0,0,0,0,0,0,0,0
7,2019,8,Home,GB,L,31-24,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2019,9,Home,MIN,W,23-26,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2019,10,Away,TEN,L,32-35,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2019,11,Away,LAC,W,24-17,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2019,13,Home,OAK,W,9-40,1,0,0,0,0,1,1,7,7,7,0,0,0
12,2019,14,Away,NE,W,23-16,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2019,15,Home,DEN,W,3-23,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2019,16,Away,CHI,W,26-3,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2019,17,Home,LAC,W,21-31,0,0,0,0,0,0,0,0,0,0,0,0,0
