,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2019,1,Away,NE,L,3-33,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019,2,Home,SEA,L,28-26,1,23,23,23,0,0,0,0,0,0,0,0,0
2,2019,3,Away,SF,L,20-24,3,6,2,4,0,0,0,0,0,0,0,0,0
3,2019,4,Home,CIN,W,3-27,2,1,0.5,1,0,0,1,0,0,0,0,0,0
4,2019,5,Home,BAL,L,26-23,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2019,6,Away,LAC,W,24-17,17,75,4.4,20,0,1,1,14,14,14,0,0,0
6,2019,8,Home,MIA,W,14-27,5,13,2.6,5,0,0,0,0,0,0,0,0,0
7,2019,9,Home,IND,W,24-26,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2019,10,Home,LAR,W,12-17,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2019,11,Away,CLE,L,7-21,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2019,12,Away,CIN,W,16-10,21,98,4.7,21,0,1,1,5,5,5,0,0,0
11,2019,13,Home,CLE,W,13-20,16,63,3.9,14,1,1,1,4,4,4,0,0,0
12,2019,14,Away,ARI,W,23-17,16,41,2.6,9,0,0,0,0,0,0,0,1,1
13,2019,15,Home,BUF,L,17-10,2,1,0.5,2,0,0,0,0,0,0,0,0,0
14,2019,16,Away,NYJ,L,10-16,7,14,2,6,0,0,0,0,0,0,0,0,0
15,2019,17,Away,BAL,L,10-28,18,91,5.1,19,1,0,0,0,0,0,0,0,0
