,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2013,1,Home,TB,W,17-18,12,29,2.4,6,0,4,5,35,8.8,14,0,1,0
1,2013,2,Away,NE,L,10-13,13,48,3.7,12,1,2,5,22,11,11,0,0,0
2,2013,3,Home,BUF,W,20-27,27,149,5.5,27,0,2,3,9,4.5,7,0,0,0
3,2013,4,Away,TEN,L,13-38,14,66,4.7,12,0,3,5,42,14,36,0,0,0
4,2013,5,Away,ATL,W,30-28,12,38,3.2,6,0,1,2,9,9,9,0,0,0
5,2013,6,Home,PIT,L,19-6,9,30,3.3,10,0,3,3,20,6.7,13,0,0,0
6,2013,7,Home,NE,W,27-30,3,6,2,4,0,0,2,0,0,0,0,0,0
7,2013,8,Away,CIN,L,9-49,10,19,1.9,7,0,4,6,20,5,17,0,0,0
8,2013,9,Home,NO,W,20-26,9,29,3.2,9,0,0,3,0,0,0,0,0,0
9,2013,11,Away,BUF,L,14-37,5,27,5.4,12,0,1,1,1,1,1,0,0,0
10,2013,12,Away,BAL,L,3-19,11,41,3.7,17,0,3,4,24,8,11,0,0,0
11,2013,13,Home,MIA,L,23-3,7,34,4.9,10,0,3,5,25,8.3,20,0,0,0
12,2013,14,Home,OAK,W,27-37,8,14,1.8,11,0,1,1,24,24,24,0,0,0
13,2013,15,Away,CAR,L,20-30,8,37,4.6,15,0,4,4,19,4.8,13,0,0,0
14,2013,16,Home,CLE,W,13-24,7,54,7.7,39,0,4,5,26,6.5,19,0,0,0
15,2013,17,Away,MIA,W,20-7,21,76,3.6,13,0,1,3,-4,-4,-4,0,0,0
0,2014,1,Home,OAK,W,14-19,1,4,4,4,0,0,0,0,0,0,0,0,0
1,2014,2,Away,GB,L,24-31,4,16,4,11,0,2,2,32,16,20,0,0,0
2,2014,3,Home,CHI,L,27-19,2,13,6.5,7,0,2,3,6,3,5,0,0,0
3,2014,4,Home,DET,L,24-17,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2014,5,Away,SD,L,0-31,2,6,3,5,0,0,0,0,0,0,0,0,0
5,2014,6,Home,DEN,L,31-17,2,4,2,4,0,0,0,0,0,0,0,0,0
6,2014,7,Away,NE,L,25-27,1,7,7,7,0,1,2,12,12,12,0,0,0
7,2014,8,Home,BUF,L,43-23,4,28,7,15,1,0,0,0,0,0,0,0,0
8,2014,9,Away,KC,L,10-24,5,20,4,12,0,0,0,0,0,0,0,0,0
9,2014,10,Home,PIT,W,13-20,1,4,4,4,0,0,1,0,0,0,0,0,0
10,2014,12,Away,BUF,L,3-38,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2014,13,Home,MIA,L,16-13,2,4,2,5,0,2,3,19,9.5,10,0,0,0
12,2014,14,Away,MIN,L,24-30,2,6,3,6,0,0,0,0,0,0,0,0,0
13,2014,15,Away,TEN,W,16-11,1,8,8,8,0,2,2,10,5,7,0,0,0
14,2014,16,Home,NE,L,17-16,5,21,4.2,14,0,2,2,13,6.5,7,0,0,0
15,2014,17,Away,MIA,W,37-24,1,0,0,0,0,0,0,0,0,0,0,0,0
0,2015,1,Home,CLE,W,10-31,12,62,5.2,21,0,2,4,16,8,11,0,0,0
1,2015,2,Away,IND,W,20-7,12,38,3.2,23,0,4,5,16,4,9,0,1,0
2,2015,3,Home,PHI,L,24-17,10,31,3.1,10,0,7,8,44,6.3,13,0,0,0
3,2015,4,Away,MIA,W,27-14,0,0,0,0,0,1,1,12,12,12,0,0,0
4,2015,6,Home,WAS,W,20-34,4,-2,-0.5,2,0,1,1,1,1,1,0,0,0
5,2015,7,Away,NE,L,23-30,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2015,8,Away,OAK,L,20-34,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2015,9,Away,NYJ,W,23-28,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2015,10,Away,NYJ,L,22-17,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2015,11,Away,HOU,L,17-24,4,22,5.5,9,0,5,7,67,13.4,25,0,0,0
10,2015,12,Home,MIA,W,20-38,6,28,4.7,17,0,2,5,7,3.5,6,0,0,0
11,2015,13,Away,NYG,W,23-20,6,17,2.8,7,0,8,13,91,11.4,25,1,0,0
12,2015,14,Home,TEN,W,8-30,3,36,12,24,0,5,5,46,9.2,16,1,0,0
13,2015,15,Away,DAL,W,19-16,6,25,4.2,12,1,7,7,54,7.7,19,0,0,0
14,2015,16,Home,NE,W,20-26,7,56,8,16,0,5,7,34,6.8,15,0,1,0
15,2015,17,Away,BUF,L,17-22,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2016,1,Home,CIN,L,23-22,4,41,10.3,16,0,2,4,7,3.5,7,0,0,0
1,2016,2,Away,BUF,W,37-31,1,2,2,2,0,1,2,1,1,1,0,0,0
2,2016,3,Away,KC,L,3-24,4,30,7.5,13,0,6,6,41,6.8,9,0,1,1
