,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2016,1,Away,HOU,L,14-23,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2016,2,Away,CHI,L,29-14,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2016,3,Away,DAL,L,17-31,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2016,4,Away,CHI,W,14-17,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2016,5,Away,IND,L,23-29,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2016,6,Away,CHI,L,17-16,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2016,7,Away,GB,L,10-26,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2016,8,Away,CHI,W,10-20,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2016,10,Away,TB,L,10-36,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2016,11,Away,NYG,L,16-22,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2016,12,Away,CHI,L,27-21,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2016,13,Away,CHI,W,6-26,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2016,14,Away,DET,L,17-20,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2016,15,Away,CHI,L,30-27,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2016,16,Home,WAS,L,41-21,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2016,17,Away,MIN,L,10-38,1,4,4,4,0,1,1,11,11,11,0,1,1
