,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2019,1,Home,TEN,L,43-13,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2019,2,Away,NYJ,W,23-3,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2019,3,Home,LAR,L,20-13,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2019,4,Away,BAL,W,40-25,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2019,5,Away,SF,L,3-31,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2019,6,Home,SEA,L,32-28,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2019,8,Away,NE,L,13-27,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2019,9,Away,DEN,L,19-24,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2019,10,Home,BUF,W,16-19,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2019,11,Home,PIT,W,7-21,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2019,12,Home,MIA,W,24-41,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2019,13,Away,PIT,L,13-20,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2019,14,Home,CIN,W,19-27,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2019,15,Away,ARI,L,24-38,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2019,16,Home,BAL,L,31-15,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2019,17,Away,CIN,L,23-33,-,-,-,-,-,-,-,-,-,-,-,-,-
