,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2017,4,Home,BUF,W,23-17,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2017,11,Away,DEN,W,20-17,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2017,13,Home,PIT,W,23-20,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2017,14,Home,CHI,W,33-7,2,8,4,4,0,1,1,2,2,2,0,0,0
4,2017,15,Away,MIN,W,7-34,5,12,2.4,8,0,0,0,0,0,0,0,0,0
5,2017,16,Home,DET,W,17-26,4,17,4.3,11,0,1,1,34,34,34,0,0,0
6,2017,17,Away,BAL,W,31-27,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2018,1,Away,PHI,L,12-18,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2018,2,Home,CAR,W,24-31,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2018,3,Home,NO,L,43-37,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2018,4,Home,CIN,L,37-36,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2018,5,Away,PIT,L,17-41,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2018,6,Home,TB,W,29-34,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2018,7,Home,NYG,W,20-23,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2018,9,Away,WAS,W,38-14,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2018,10,Away,CLE,L,16-28,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2018,11,Home,DAL,L,22-19,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2018,12,Away,NO,L,17-31,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2018,13,Home,BAL,L,26-16,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2018,14,Away,GB,L,20-34,1,5,5,5,0,0,0,0,0,0,0,0,0
13,2018,15,Home,ARI,W,14-40,3,7,2.3,5,0,0,0,0,0,0,0,0,0
14,2018,16,Away,CAR,W,24-10,8,115,14.4,60,0,0,1,0,0,0,0,1,1
15,2018,17,Away,TB,W,34-32,8,30,3.8,12,0,1,1,9,9,9,0,0,0
0,2019,1,Away,MIN,L,12-28,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2019,2,Home,PHI,W,20-24,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2019,3,Away,IND,L,24-27,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2019,4,Home,TEN,L,24-10,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2019,5,Away,HOU,L,32-53,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2019,6,Away,ARI,L,33-34,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2019,7,Home,LAR,L,37-10,5,11,2.2,5,0,2,2,14,7,12,0,0,0
7,2019,8,Home,SEA,L,27-20,3,29,9.7,23,1,0,0,0,0,0,0,0,0
8,2019,10,Away,NO,W,26-9,20,61,3.1,15,0,1,2,10,10,10,1,0,0
9,2019,11,Away,CAR,W,29-3,15,30,2,11,0,1,3,8,8,8,0,0,0
10,2019,12,Home,TB,L,35-22,9,14,1.6,5,0,3,4,13,4.3,7,0,0,0
11,2019,13,Home,NO,L,26-18,4,13,3.3,8,0,3,3,24,8,12,0,0,0
12,2019,14,Home,CAR,W,20-40,9,62,6.9,27,1,0,0,0,0,0,0,0,0
13,2019,15,Away,SF,W,29-22,1,16,16,16,0,0,0,0,0,0,0,0,0
14,2019,16,Home,JAC,W,12-24,7,66,9.4,18,0,0,0,0,0,0,0,0,0
15,2019,17,Away,TB,W,28-22,5,21,4.2,9,0,0,0,0,0,0,0,0,0
