,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2018,1,Away,NE,L,20-27,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2018,2,Away,TEN,L,17-20,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2018,3,Home,NYG,L,27-22,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2018,4,Away,IND,W,37-34,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2018,5,Home,DAL,W,16-19,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2018,6,Home,BUF,W,13-20,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2018,7,Away,JAC,W,20-7,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2018,8,Home,MIA,W,23-42,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2018,9,Away,DEN,W,19-17,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2018,11,Away,WAS,W,23-21,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2018,12,Home,TEN,W,17-34,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2018,13,Home,CLE,W,13-29,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2018,14,Home,IND,L,24-21,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2018,15,Away,NYJ,W,29-22,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2018,16,Away,PHI,L,30-32,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2018,17,Home,JAC,W,3-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2019,1,Away,NO,L,28-30,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019,2,Home,JAC,W,12-13,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2019,3,Away,LAC,W,27-20,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2019,4,Home,CAR,L,16-10,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2019,5,Home,ATL,W,32-53,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2019,6,Away,KC,W,31-24,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2019,7,Away,IND,L,23-30,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2019,8,Home,OAK,W,24-27,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2019,9,Away,JAC,W,26-3,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2019,11,Away,BAL,L,7-41,2,5,2.5,4,0,0,0,0,0,0,0,0,0
10,2019,12,Home,IND,W,17-20,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2019,13,Home,NE,W,22-28,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2019,14,Home,DEN,L,38-24,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2019,15,Away,TEN,W,24-21,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2019,16,Away,TB,W,23-20,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2019,17,Home,TEN,L,35-14,3,5,1.7,3,0,0,0,0,0,0,0,0,0
