,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2016,1,Home,MIA,W,10-12,1,-2,-2,-2,0,1,1,13,13,13,0,0,0
1,2016,2,Away,LAR,L,3-9,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2016,3,Home,SF,W,18-37,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2016,4,Away,NYJ,W,27-17,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2016,6,Home,ATL,W,24-26,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2016,7,Away,ARI,T,6-6,1,0,0,0,0,2,3,17,8.5,9,0,0,0
6,2016,8,Away,NO,L,20-25,4,23,5.8,8,0,4,4,80,20,43,0,0,0
7,2016,9,Home,BUF,W,25-31,3,9,3,4,0,1,1,6,6,6,0,0,0
8,2016,10,Away,NE,W,31-24,17,66,3.9,10,0,7,7,87,12.4,38,0,0,0
9,2016,11,Home,PHI,W,15-26,4,76,19,72,1,2,3,5,2.5,5,0,0,0
10,2016,12,Away,TB,L,5-14,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2016,13,Home,CAR,W,7-40,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2016,14,Away,GB,L,10-38,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2016,15,Home,LAR,W,3-24,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2016,16,Home,ARI,L,34-31,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2016,17,Away,SF,W,25-23,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2017,1,Away,GB,L,9-17,4,11,2.8,8,0,0,0,0,0,0,0,0,0
1,2017,2,Home,SF,W,9-12,0,0,0,0,0,3,6,22,7.3,9,0,0,0
2,2017,3,Away,TEN,L,27-33,4,9,2.3,6,0,3,5,65,21.7,46,0,0,0
3,2017,4,Home,IND,W,18-46,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2017,5,Away,LAR,W,16-10,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2017,7,Away,NYG,W,24-7,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2017,8,Home,HOU,W,38-41,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2017,9,Home,WAS,L,17-14,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2017,10,Away,ARI,W,22-16,3,3,1,2,0,0,0,0,0,0,0,0,0
9,2017,11,Home,ATL,L,34-31,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2017,12,Away,SF,W,24-13,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2017,13,Home,PHI,W,10-24,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2017,14,Away,JAC,L,24-30,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2017,15,Home,LAR,L,42-7,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2017,16,Away,DAL,W,21-12,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2017,17,Home,ARI,L,26-24,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2018,1,Away,DEN,L,24-27,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2018,2,Away,CHI,L,17-24,0,0,0,0,0,3,3,22,7.3,8,0,0,0
2,2018,3,Home,DAL,W,13-24,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2018,4,Away,ARI,W,20-17,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2018,5,Home,LAR,L,33-31,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2018,6,Away,OAK,W,27-3,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2018,8,Away,DET,W,28-14,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2018,9,Home,LAC,L,25-17,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2018,10,Away,LAR,L,31-36,1,-3,-3,-3,0,0,0,0,0,0,0,0,0
9,2018,11,Home,GB,W,24-27,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2018,12,Away,CAR,W,30-27,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2018,13,Home,SF,W,16-43,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2018,14,Home,MIN,W,7-21,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2018,15,Away,SF,L,23-26,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2018,16,Home,KC,W,31-38,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2018,17,Home,ARI,W,24-27,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2019,1,Home,CIN,W,20-21,0,0,0,0,0,0,0,0,0,0,0,0,0
