,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2019,1,Home,BAL,L,59-10,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019,2,Home,NE,L,43-0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2019,3,Away,DAL,L,6-31,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2019,4,Home,LAC,L,30-10,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2019,6,Home,WAS,L,17-16,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2019,7,Away,BUF,L,21-31,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2019,8,Away,PIT,L,14-27,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2019,9,Home,NYJ,W,18-26,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2019,10,Away,IND,W,16-12,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2019,11,Home,BUF,L,37-20,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2019,12,Away,CLE,L,24-41,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2019,13,Home,PHI,W,31-37,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2019,14,Away,NYJ,L,21-22,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2019,15,Away,NYG,L,20-36,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2019,16,Home,CIN,W,35-38,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2019,17,Away,NE,W,27-24,0,0,0,0,0,0,0,0,0,0,0,0,0
