,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2018,1,Home,WAS,L,24-6,4,24,6,9,0,4,4,24,6,8,0,0,0
1,2018,2,Away,LAR,L,0-34,1,5,5,5,0,5,5,15,3,7,0,0,0
2,2018,3,Home,CHI,L,16-14,5,10,2,5,0,0,0,0,0,0,0,0,0
3,2018,4,Home,SEA,L,20-17,3,1,0.3,6,0,0,0,0,0,0,0,0,0
4,2018,5,Away,SF,W,28-18,1,-1,-1,-1,0,0,1,0,0,0,0,0,0
5,2018,6,Away,MIN,L,17-27,1,4,4,4,0,0,0,0,0,0,0,0,0
6,2018,7,Home,DEN,L,45-10,5,9,1.8,6,0,3,3,12,4,6,0,0,0
7,2018,8,Home,SF,W,15-18,2,9,4.5,5,0,1,2,12,12,12,0,0,0
8,2018,10,Away,KC,L,14-26,2,7,3.5,5,0,0,0,0,0,0,0,0,0
9,2018,11,Home,OAK,L,23-21,5,17,3.4,8,0,0,0,0,0,0,0,0,0
10,2018,12,Away,LAC,L,10-45,5,0,0,2,0,0,0,0,0,0,0,0,0
11,2018,13,Away,GB,W,20-17,5,53,10.6,29,2,2,2,13,6.5,8,0,0,0
12,2018,14,Home,DET,L,17-3,3,14,4.7,8,0,0,0,0,0,0,0,1,0
13,2018,15,Away,ATL,L,14-40,8,22,2.8,13,0,2,2,22,11,13,0,0,0
14,2018,16,Home,LAR,L,31-9,4,20,5,20,0,1,2,1,1,1,0,0,0
15,2018,17,Away,SEA,L,24-27,6,14,2.3,4,0,2,2,4,2,8,0,0,0
0,2019,1,Home,DET,T,27-27,1,5,5,5,0,0,1,0,0,0,0,0,0
1,2019,2,Away,BAL,L,17-23,1,2,2,2,0,2,2,15,7.5,10,0,0,0
2,2019,3,Home,CAR,L,38-20,3,15,5,8,0,1,2,10,10,10,0,0,0
3,2019,4,Home,SEA,L,27-10,6,37,6.2,10,0,0,0,0,0,0,0,0,0
4,2019,5,Away,CIN,W,26-23,8,68,8.5,37,1,3,4,18,6,8,0,0,0
5,2019,6,Home,ATL,W,33-34,5,34,6.8,15,0,2,2,33,16.5,31,1,0,0
6,2019,7,Away,NYG,W,27-21,27,126,4.7,22,3,2,4,24,12,12,0,0,0
7,2019,8,Away,NO,L,9-31,7,8,1.1,3,0,2,4,5,2.5,7,0,0,0
8,2019,9,Home,SF,L,28-25,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2019,10,Away,TB,L,27-30,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2019,11,Away,SF,L,26-36,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2019,13,Home,LAR,L,34-7,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2019,14,Home,PIT,L,23-17,1,9,9,9,0,0,2,0,0,0,0,0,0
13,2019,15,Home,CLE,W,24-38,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2019,16,Away,SEA,W,27-13,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2019,17,Away,LAR,L,24-31,1,-1,-1,-1,0,0,0,0,0,0,0,0,0
