,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2017,1,Away,GB,L,9-17,6,39,6.5,30,0,1,1,10,10,10,0,0,0
1,2017,2,Home,SF,W,9-12,20,93,4.7,16,0,1,2,7,7,7,0,0,0
2,2017,3,Away,TEN,L,27-33,11,34,3.1,7,0,2,2,18,9,10,1,0,0
3,2017,4,Home,IND,W,18-46,12,42,3.5,11,0,3,3,24,8,9,0,0,0
4,2017,5,Away,LAR,W,16-10,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2017,7,Away,NYG,W,24-7,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2017,8,Home,HOU,W,38-41,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2017,9,Home,WAS,L,17-14,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2017,10,Away,ARI,W,22-16,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2017,11,Home,ATL,L,34-31,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2017,12,Away,SF,W,24-13,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2017,13,Home,PHI,W,10-24,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2017,14,Away,JAC,L,24-30,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2017,15,Home,LAR,L,42-7,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2017,16,Away,DAL,W,21-12,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2017,17,Home,ARI,L,26-24,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2018,1,Away,DEN,L,24-27,7,51,7.3,24,0,3,5,28,9.3,14,0,1,1
1,2018,2,Away,CHI,L,17-24,6,24,4,9,0,0,1,0,0,0,0,0,0
2,2018,3,Home,DAL,W,13-24,32,102,3.2,13,1,2,2,22,11,19,0,0,0
3,2018,4,Away,ARI,W,20-17,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2018,5,Home,LAR,L,33-31,19,116,6.1,21,0,1,1,11,11,11,0,0,0
5,2018,6,Away,OAK,W,27-3,14,59,4.2,21,0,0,0,0,0,0,0,0,0
6,2018,8,Away,DET,W,28-14,25,105,4.2,12,1,2,2,19,9.5,17,0,0,0
7,2018,9,Home,LAC,L,25-17,8,40,5,15,0,0,0,0,0,0,0,0,0
8,2018,10,Away,LAR,L,31-36,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2018,11,Home,GB,W,24-27,17,83,4.9,15,1,0,0,0,0,0,0,1,1
10,2018,12,Away,CAR,W,30-27,16,55,3.4,16,1,2,2,8,4,6,0,1,0
11,2018,13,Home,SF,W,16-43,13,69,5.3,23,0,3,4,39,13,27,0,0,0
12,2018,14,Home,MIN,W,7-21,22,90,4.1,11,1,0,0,0,0,0,0,0,0
13,2018,15,Away,SF,L,23-26,22,119,5.4,26,1,6,6,29,4.8,10,0,0,0
14,2018,16,Home,KC,W,31-38,27,116,4.3,17,2,0,0,0,0,0,0,0,0
15,2018,17,Home,ARI,W,24-27,19,122,6.4,61,1,1,1,7,7,7,0,0,0
0,2019,1,Home,CIN,W,20-21,15,46,3.1,21,1,6,7,34,5.7,10,1,1,1
1,2019,2,Away,PIT,W,28-26,15,60,4,21,0,3,3,27,9,10,0,1,1
2,2019,3,Home,NO,L,33-27,15,52,3.5,22,0,1,1,-2,-2,-2,0,1,1
3,2019,4,Away,ARI,W,27-10,22,104,4.7,12,0,4,4,41,10.3,17,0,0,0
4,2019,5,Home,LAR,W,29-30,27,118,4.4,14,0,1,2,5,5,5,1,0,0
5,2019,6,Away,CLE,W,32-28,24,124,5.2,25,1,4,4,35,8.8,21,0,0,0
6,2019,7,Home,BAL,L,30-16,21,65,3.1,9,0,3,5,9,3,10,0,0,0
7,2019,8,Away,ATL,W,27-20,20,90,4.5,19,1,0,1,0,0,0,0,0,0
8,2019,9,Home,TB,W,34-40,16,105,6.6,59,0,2,3,28,14,15,0,2,1
9,2019,10,Away,SF,W,27-24,25,89,3.6,9,1,3,4,12,4,5,0,1,0
10,2019,12,Away,PHI,W,17-9,8,26,3.3,6,0,4,4,31,7.8,13,0,1,0
11,2019,13,Home,MIN,W,30-37,23,102,4.4,25,1,1,2,7,7,7,0,0,0
12,2019,14,Away,LAR,L,12-28,15,76,5.1,13,0,3,4,15,5,5,0,0,0
13,2019,15,Away,CAR,W,30-24,24,133,5.5,23,2,1,2,4,4,4,0,0,0
14,2019,16,Home,ARI,L,27-13,8,40,5,16,0,1,1,20,20,20,0,0,0
15,2019,17,Home,SF,L,26-21,-,-,-,-,-,-,-,-,-,-,-,-,-
