,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2013,1,Home,PHI,L,33-27,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2013,2,Away,GB,L,20-38,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2013,3,Home,DET,L,27-20,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2013,4,Away,OAK,W,24-14,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2013,6,Away,DAL,L,16-31,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2013,7,Away,WAS,W,41-45,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2013,8,Away,DEN,L,21-45,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2013,9,Away,WAS,W,24-30,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2013,10,Away,MIN,L,27-34,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2013,11,Away,PHI,L,16-24,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2013,12,Away,WAS,L,27-6,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2013,13,Away,WAS,L,24-17,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2013,14,Away,WAS,L,45-10,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2013,15,Away,ATL,L,26-27,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2013,16,Away,WAS,L,24-23,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2013,17,Away,NYG,L,6-20,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2014,1,Away,HOU,L,6-17,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2014,2,Away,WAS,W,10-41,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2014,3,Away,PHI,L,34-37,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2014,4,Away,WAS,L,45-14,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2014,5,Away,WAS,L,27-17,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2014,6,Away,ARI,L,20-30,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2014,7,Away,WAS,W,17-19,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2014,8,Away,DAL,W,20-17,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2014,9,Away,MIN,L,26-29,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2014,11,Away,WAS,L,27-7,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2014,12,Away,SF,L,13-17,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2014,13,Away,IND,L,27-49,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2014,14,Away,WAS,L,24-0,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2014,15,Away,NYG,L,13-24,3,12,4,7,0,3,4,22,7.3,9,1,0,0
14,2014,16,Home,PHI,W,24-27,0,0,0,0,0,3,3,5,1.7,5,0,0,0
15,2014,17,Away,WAS,L,44-17,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2015,1,Home,MIA,L,17-10,3,11,3.7,7,0,0,1,0,0,0,0,0,0
1,2015,2,Home,STL,W,10-24,0,0,0,0,0,1,1,10,10,10,0,0,0
2,2015,3,Away,NYG,L,21-32,2,29,14.5,26,0,8,11,57,7.1,14,1,1,0
3,2015,4,Home,PHI,W,20-23,6,53,8.8,42,0,2,3,24,12,19,0,0,0
4,2015,5,Away,ATL,L,19-25,3,15,5,9,0,6,7,33,5.5,14,0,0,0
5,2015,6,Away,NYJ,L,20-34,5,12,2.4,8,0,6,10,26,4.3,13,0,0,0
6,2015,7,Away,WAS,W,30-31,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2015,9,Away,NE,L,10-27,0,0,0,0,0,2,4,21,10.5,13,0,0,0
8,2015,10,Home,NO,W,14-47,2,54,27,38,0,1,1,23,23,23,0,0,0
9,2015,11,Away,CAR,L,16-44,4,10,2.5,6,0,3,4,7,2.3,6,0,1,0
10,2015,12,Home,NYG,W,14-20,2,7,3.5,8,0,1,1,9,9,9,0,0,0
11,2015,13,Home,DAL,L,19-16,1,6,6,6,0,4,4,18,4.5,9,0,0,0
12,2015,14,Away,CHI,W,24-21,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2015,15,Away,WAS,W,25-35,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2015,16,Away,PHI,W,38-24,0,0,0,0,0,1,1,12,12,12,1,0,0
15,2015,17,Away,DAL,W,34-23,7,19,2.7,8,0,0,0,0,0,0,0,0,0
0,2016,1,Home,PIT,L,38-16,4,23,5.8,9,1,2,2,16,8,11,0,0,0
1,2016,2,Home,DAL,L,27-23,2,1,0.5,1,0,3,4,57,19,38,0,0,0
2,2016,3,Away,NYG,W,29-27,6,23,3.8,8,0,1,2,-7,-7,-7,0,0,0
3,2016,4,Home,CLE,W,20-31,3,24,8,20,0,2,4,16,8,11,1,0,0
4,2016,5,Away,BAL,W,16-10,2,12,6,9,0,4,4,33,8.3,10,0,0,0
5,2016,6,Home,PHI,W,20-27,9,37,4.1,10,0,3,3,29,9.7,13,0,0,0
6,2016,7,Away,DET,L,17-20,12,73,6.1,16,0,7,7,40,5.7,11,0,0,0
7,2016,8,Away,CIN,T,27-27,7,14,2,6,0,5,5,27,5.4,13,0,0,0
8,2016,10,Home,MIN,W,20-26,4,25,6.3,9,0,3,3,11,3.7,6,0,1,1
9,2016,11,Home,GB,W,24-42,2,10,5,9,0,1,3,9,9,9,0,0,0
10,2016,12,Away,DAL,L,26-31,4,17,4.3,11,0,5,6,17,3.4,9,0,0,0
11,2016,13,Away,ARI,L,23-31,2,24,12,16,0,1,2,21,21,21,0,0,0
12,2016,14,Away,PHI,W,27-22,3,38,12.7,25,1,0,1,0,0,0,0,0,0
13,2016,15,Home,CAR,L,26-15,2,10,5,6,0,5,7,26,5.2,9,0,0,0
14,2016,16,Away,CHI,W,41-21,3,20,6.7,9,1,1,1,17,17,17,1,0,0
15,2016,17,Home,NYG,L,19-10,3,5,1.7,4,0,6,8,37,6.2,11,0,1,0
0,2017,1,Home,PHI,L,30-17,3,4,1.3,4,0,4,5,52,13,29,1,0,0
1,2017,2,Away,LAR,W,27-20,3,77,25.7,61,2,3,7,29,9.7,15,0,0,0
2,2017,3,Home,OAK,W,10-27,8,38,4.8,13,0,6,7,150,25,74,1,0,0
3,2017,4,Away,KC,L,20-29,6,23,3.8,7,0,1,2,4,4,4,0,1,1
4,2017,6,Home,SF,W,24-26,16,33,2.1,11,0,4,5,105,26.3,49,0,1,0
5,2017,7,Away,PHI,L,24-34,7,38,5.4,15,0,5,5,26,5.2,10,1,0,0
6,2017,8,Home,DAL,L,33-19,4,18,4.5,16,0,8,9,76,9.5,26,0,1,1
7,2017,9,Away,SEA,W,17-14,4,20,5,11,0,4,6,11,2.8,6,0,0,0
8,2017,10,Home,MIN,L,38-30,9,26,2.9,14,0,3,7,41,13.7,27,0,0,0
9,2017,11,Away,NO,L,31-34,4,17,4.3,16,0,1,1,16,16,16,1,0,0
10,2017,12,Away,WAS,W,10-20,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2017,13,Away,DAL,L,14-38,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2017,14,Away,LAC,L,13-30,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2017,15,Away,WAS,W,15-20,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2017,16,Away,WAS,W,11-27,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2017,17,Away,NYG,L,10-18,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2018,1,Away,ARI,W,24-6,5,65,13,16,0,6,7,63,10.5,23,1,0,0
1,2018,2,Home,IND,L,21-9,4,1,0.3,8,0,13,14,92,7.1,14,0,0,0
2,2018,3,Home,GB,W,17-31,6,17,2.8,5,0,1,2,0,0,0,0,0,0
3,2018,5,Away,NO,L,19-43,8,17,2.1,11,0,6,8,45,7.5,17,0,0,0
4,2018,6,Away,WAS,W,17-23,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2018,7,Away,WAS,W,17-20,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2018,8,Away,NYG,W,20-13,3,13,4.3,10,0,2,3,9,4.5,6,0,0,0
7,2018,9,Away,WAS,L,38-14,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2018,10,Away,TB,W,16-3,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2018,11,Away,WAS,L,23-21,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2018,12,Away,DAL,L,23-31,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2018,13,Away,PHI,L,13-28,3,3,1,7,0,3,5,18,6,9,0,1,0
12,2018,14,Home,NYG,L,40-16,3,23,7.7,12,0,3,5,15,5,6,0,0,0
13,2018,15,Away,JAC,W,16-13,5,9,1.8,4,0,1,2,4,4,4,0,0,0
14,2018,16,Away,TEN,L,16-25,4,20,5,15,0,1,1,8,8,8,0,0,0
15,2018,17,Home,PHI,L,24-0,2,10,5,9,0,5,8,14,2.8,7,0,0,0
0,2019,1,Away,PHI,L,27-32,3,10,3.3,7,0,7,10,68,9.7,18,0,0,0
1,2019,2,Home,DAL,L,31-21,2,3,1.5,2,0,5,8,48,9.6,16,0,0,0
