,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2017,1,Away,SF,W,23-3,13,47,3.6,11,0,5,7,38,7.6,16,0,1,1
1,2017,2,Home,BUF,W,3-9,8,10,1.3,6,0,4,5,34,8.5,14,0,0,0
2,2017,3,Home,NO,L,34-13,4,16,4,7,0,9,11,101,11.2,37,0,0,0
3,2017,4,Away,NE,W,33-30,6,16,2.7,5,0,4,6,33,8.3,12,0,0,0
4,2017,5,Away,DET,W,27-24,3,7,2.3,5,0,5,7,31,6.2,10,1,0,0
5,2017,6,Home,PHI,L,28-23,4,8,2,4,0,10,14,56,5.6,15,1,1,0
6,2017,7,Away,CHI,L,3-17,7,10,1.4,4,0,7,9,36,5.1,20,0,0,0
7,2017,8,Away,TB,W,17-3,4,3,0.8,4,0,5,7,49,9.8,16,0,0,0
8,2017,9,Home,ATL,W,17-20,15,66,4.4,17,1,5,6,28,5.6,9,0,0,0
9,2017,10,Home,MIA,W,21-45,5,23,4.6,16,1,3,7,27,9,19,1,0,0
10,2017,12,Away,NYJ,W,35-27,7,62,8.9,40,0,2,5,35,17.5,26,0,0,0
11,2017,13,Away,NO,L,21-31,6,16,2.7,5,0,5,6,33,6.6,21,1,0,0
12,2017,14,Home,MIN,W,24-31,8,35,4.4,8,0,3,4,18,6,15,0,0,0
13,2017,15,Home,GB,W,24-31,12,63,5.3,15,0,6,7,73,12.2,21,1,0,0
14,2017,16,Home,TB,W,19-22,9,39,4.3,10,0,2,4,19,9.5,12,0,0,0
15,2017,17,Away,ATL,L,10-22,6,14,2.3,8,0,5,8,40,8,20,0,0,0
0,2018,1,Home,DAL,W,8-16,10,50,5,15,0,6,9,45,7.5,14,0,1,1
1,2018,2,Away,ATL,L,24-31,8,37,4.6,11,0,14,15,102,7.3,18,0,0,0
2,2018,3,Home,CIN,W,21-31,28,184,6.6,45,0,2,2,10,5,11,0,0,0
3,2018,5,Home,NYG,W,31-33,17,58,3.4,14,0,5,6,35,7,18,1,0,0
4,2018,6,Away,WAS,L,17-23,8,20,2.5,9,0,7,8,46,6.6,15,0,0,0
5,2018,7,Away,PHI,W,21-17,7,29,4.1,15,0,6,6,51,8.5,22,0,0,0
6,2018,8,Home,BAL,W,21-36,14,45,3.2,12,1,4,6,11,2.8,8,1,0,0
7,2018,9,Home,TB,W,28-42,17,79,4.6,35,2,5,6,78,15.6,32,0,0,0
8,2018,10,Away,PIT,L,21-52,14,77,5.5,21,1,5,5,61,12.2,25,2,0,0
9,2018,11,Away,DET,L,19-20,13,53,4.1,10,0,6,8,57,9.5,34,0,0,0
10,2018,12,Home,SEA,L,30-27,17,125,7.4,59,1,11,11,112,10.2,38,1,3,0
11,2018,13,Away,TB,L,17-24,10,106,10.6,53,0,9,10,55,6.1,15,1,0,0
12,2018,14,Away,CLE,L,20-26,16,63,3.9,25,2,6,7,38,6.3,20,0,0,0
13,2018,15,Home,NO,L,12-9,15,53,3.5,9,0,8,11,67,8.4,22,0,0,0
14,2018,16,Home,ATL,L,24-10,21,101,4.8,13,0,12,13,77,6.4,14,0,0,0
15,2018,17,Away,NO,W,33-14,4,18,4.5,7,0,1,1,22,22,22,0,0,0
0,2019,1,Home,LAR,L,30-27,19,128,6.7,23,2,10,11,81,8.1,17,0,0,0
1,2019,2,Home,TB,L,20-14,16,37,2.3,10,0,2,6,16,8,10,0,0,0
2,2019,3,Away,ARI,W,38-20,24,153,6.4,76,1,3,4,35,11.7,18,0,0,0
3,2019,4,Away,HOU,W,16-10,27,93,3.4,13,1,10,10,86,8.6,21,0,0,0
4,2019,5,Home,JAC,W,27-34,19,176,9.3,84,2,6,8,61,10.2,18,1,0,0
5,2019,6,Away,TB,W,37-26,22,31,1.4,10,1,4,5,26,6.5,25,1,0,0
6,2019,8,Away,SF,L,13-51,14,117,8.4,40,1,4,5,38,9.5,24,0,0,0
7,2019,9,Home,TEN,W,20-30,24,146,6.1,58,2,3,3,20,6.7,10,1,0,0
8,2019,10,Away,GB,L,16-24,20,108,5.4,18,1,6,7,33,5.5,11,0,1,0
9,2019,11,Home,ATL,L,29-3,14,70,5,18,0,11,15,121,11,23,0,0,0
10,2019,12,Away,NO,L,31-34,22,64,2.9,9,1,9,9,69,7.7,23,1,0,0
11,2019,13,Home,WAS,L,29-21,14,44,3.1,12,0,7,12,58,8.3,15,0,0,0
12,2019,14,Away,ATL,L,20-40,11,53,4.8,11,0,11,12,82,7.5,13,0,0,0
13,2019,15,Home,SEA,L,30-24,19,87,4.6,15,2,8,10,88,11,18,0,0,0
14,2019,16,Away,IND,L,6-38,13,54,4.2,14,0,15,15,119,7.9,13,0,0,0
15,2019,17,Home,NO,L,42-10,9,26,2.9,10,1,7,10,72,10.3,28,0,0,0
