,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2017,1,Home,NO,W,19-29,22,127,5.8,33,0,3,5,10,3.3,4,0,0,0
1,2017,2,Away,PIT,L,9-26,12,64,5.3,25,0,2,3,0,0,1,0,0,0
2,2017,3,Home,TB,W,17-34,27,97,3.6,26,1,5,5,72,14.4,36,0,0,0
3,2017,4,Home,DET,L,14-7,13,66,5.1,10,1,1,3,8,8,8,0,1,1
4,2017,5,Away,CHI,W,20-17,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2017,6,Home,GB,W,10-23,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2017,7,Home,BAL,W,16-24,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2017,8,Away,CLE,W,33-16,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2017,10,Away,WAS,W,38-30,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2017,11,Home,LAR,W,7-24,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2017,12,Away,DET,W,30-23,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2017,13,Away,ATL,W,14-9,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2017,14,Away,CAR,L,24-31,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2017,15,Home,CIN,W,7-34,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2017,16,Away,GB,W,16-0,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2017,17,Home,CHI,W,10-23,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2018,1,Home,SF,W,16-24,16,40,2.5,15,0,6,7,55,9.2,17,0,1,1
1,2018,2,Away,GB,T,29-29,10,38,3.8,9,0,3,5,52,17.3,24,0,0,0
2,2018,3,Home,BUF,L,27-6,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2018,4,Away,LAR,L,31-38,10,20,2,9,0,0,0,0,0,0,0,0,0
4,2018,5,Away,PHI,W,23-21,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2018,6,Home,ARI,W,17-27,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2018,7,Away,NYJ,W,37-17,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2018,8,Home,NO,L,30-20,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2018,9,Home,DET,W,9-24,10,89,8.9,70,0,4,4,20,5,6,0,0,0
9,2018,11,Away,CHI,L,20-25,9,12,1.3,7,0,3,3,-2,-0.7,5,0,1,1
10,2018,12,Home,GB,W,17-24,10,29,2.9,9,0,3,3,47,15.7,26,1,0,0
11,2018,13,Away,NE,L,10-24,9,84,9.3,32,0,8,10,22,2.8,5,0,0,0
12,2018,14,Away,SEA,L,7-21,13,55,4.2,13,0,5,7,28,5.6,17,1,0,0
13,2018,15,Home,MIA,W,17-41,19,136,7.2,26,2,1,2,27,27,27,0,0,0
14,2018,16,Away,DET,W,27-9,16,73,4.6,18,0,3,3,35,11.7,20,0,0,0
15,2018,17,Home,CHI,L,24-10,11,39,3.5,10,0,4,5,21,5.3,12,0,0,0
0,2019,1,Home,ATL,W,12-28,21,111,5.3,22,2,2,2,9,4.5,8,0,0,0
1,2019,2,Away,GB,L,16-21,20,154,7.7,75,1,3,3,37,12.3,13,0,0,0
2,2019,3,Home,OAK,W,14-34,16,110,6.9,25,1,4,5,33,8.3,18,0,0,0
3,2019,4,Away,CHI,L,6-16,14,35,2.5,9,1,6,8,35,5.8,13,0,0,0
4,2019,5,Away,NYG,W,28-10,21,132,6.3,41,0,6,6,86,14.3,24,0,2,1
5,2019,6,Home,PHI,W,20-38,16,41,2.6,14,1,2,2,13,6.5,11,0,0,0
6,2019,7,Away,DET,W,42-30,25,142,5.7,23,2,1,2,7,7,7,0,0,0
7,2019,8,Home,WAS,W,9-19,23,98,4.3,11,1,5,6,73,14.6,31,0,0,0
8,2019,9,Away,KC,L,23-26,21,71,3.4,12,0,4,7,45,11.3,22,0,0,0
9,2019,10,Away,DAL,W,28-24,26,97,3.7,23,1,7,7,86,12.3,30,0,0,0
10,2019,11,Home,DEN,W,23-27,11,26,2.4,5,1,5,6,31,6.2,21,0,0,0
11,2019,13,Away,SEA,L,30-37,9,29,3.2,9,1,3,4,35,11.7,15,0,2,1
12,2019,14,Home,DET,W,7-20,18,62,3.4,9,1,2,2,13,6.5,10,0,0,0
13,2019,15,Away,LAC,W,39-10,9,27,3,8,0,3,3,16,5.3,11,0,0,0
14,2019,16,Home,GB,L,23-10,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2019,17,Home,CHI,L,21-19,-,-,-,-,-,-,-,-,-,-,-,-,-
