,Year,Week,H/A,Opp,Result,Score,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Rec,Tgt,Re-Yds,Re-Y/R,Re-Lg,Re-TD,Fum,FumL
0,2018,1,Away,MIA,L,20-27,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2018,2,Home,HOU,W,17-20,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2018,3,Away,JAC,W,9-6,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2018,4,Home,PHI,W,23-26,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2018,5,Away,BUF,L,12-13,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2018,6,Home,BAL,L,21-0,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2018,7,Away,LAC,L,19-20,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2018,9,Away,DAL,W,28-14,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2018,10,Home,NE,W,10-34,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2018,11,Away,IND,L,10-38,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2018,12,Away,HOU,L,17-34,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2018,13,Home,NYJ,W,22-26,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2018,14,Home,JAC,W,9-30,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2018,15,Away,NYG,W,17-0,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2018,16,Home,WAS,W,16-25,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2018,17,Home,IND,L,33-17,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2019,1,Away,CLE,W,43-13,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2019,2,Home,IND,L,19-17,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2019,3,Away,JAC,L,7-20,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2019,4,Away,ATL,W,24-10,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2019,5,Home,BUF,L,14-7,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2019,6,Away,DEN,L,0-16,2,2,1,1,0,0,0,0,0,0,0,0,0
6,2019,7,Home,LAC,W,20-23,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2019,8,Home,TB,W,23-27,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2019,9,Away,CAR,L,20-30,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2019,10,Home,KC,W,32-35,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2019,12,Home,JAC,W,20-42,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2019,13,Away,IND,W,31-17,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2019,14,Away,OAK,W,42-21,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2019,15,Home,HOU,L,24-21,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2019,16,Home,NO,L,38-28,9,24,2.7,14,0,0,1,0,0,0,0,0,0
15,2019,17,Away,HOU,W,35-14,-,-,-,-,-,-,-,-,-,-,-,-,-
